R,side,crowd,h1,h4,year,crowd_excursion_atr,confirm_bars,abs_z,trend_relation,response_bucket
-1.0034848503356595,1,-1,1,1,2021,0.29968032760716773,1,2.8011608056907393,1,1
0.15467864744902649,1,-1,1,1,2021,0.44637969322935045,2,3.286860790529926,1,1
-1.0022548010428616,-1,1,-1,1,2021,0.41916321602685985,1,2.9429697749772235,0,1
-1.0021850859390915,1,-1,-1,-1,2021,0.0014144108257213878,1,2.6320191872478507,-1,0
0.34477064596186474,-1,1,0,1,2021,0.28580965143475795,1,2.9686201523845024,0,1
-1.0028158173029837,1,-1,-1,-1,2021,0.1535685782046091,1,3.070133834987835,-1,0
-1.00270840464998,-1,1,-1,-1,2021,0.10669846536707725,1,2.747857940171953,1,0
0.47196943197207236,1,-1,1,-1,2021,3.878857732600458e-05,1,3.0312574573934787,0,0
0.12357075774824376,-1,1,1,1,2021,0.18202780013485195,1,3.0986365035101957,-1,0
2.2191811873675205,1,-1,1,1,2021,1.0404142981094382,3,2.6246913621689973,1,2
-1.004454338630507,-1,1,1,1,2021,0.512569452539136,1,5.706741486461336,-1,1
2.218742711056524,-1,1,1,1,2021,0.6525268865522477,2,3.0840932478488217,-1,1
-1.0019432316554708,-1,1,-1,-1,2021,1.037265652683154,4,2.896495578602413,1,2
-1.001702025876055,-1,1,-1,-1,2021,0.18799611924503337,1,2.554281053741582,1,0
-1.0036970039655684,-1,1,-1,-1,2021,0.026244259068318218,1,2.7268452359803614,1,0
-1.0028181302779162,-1,1,0,-1,2021,0.33415193977622454,2,2.8632476553007584,0,1
1.950624472171685,1,-1,1,1,2021,0.08454019753341181,1,2.93425398515637,1,0
2.2194270128734988,-1,1,-1,0,2021,0.025435139635355895,1,2.8817537148649506,0,0
-1.0009284365645954,1,-1,-1,-1,2021,0.13332873061681205,1,3.880395952975385,-1,0
-1.001055377074395,1,-1,-1,-1,2021,0.6012109049861445,1,4.036879527907617,-1,1
0.3975409576759885,1,-1,1,-1,2021,0.4108458216916555,3,2.5880582350493597,0,1
-1.0021792479020897,1,-1,1,-1,2021,0.9820958136166614,3,3.14736832496724,0,2
-1.0021069430431075,1,-1,-1,-1,2021,0.6245400867355532,3,3.593944672909387,-1,1
-1.0019716891469441,1,-1,-1,-1,2021,0.37878254435221537,1,3.431838642735553,-1,1
2.219673557012535,-1,1,-1,-1,2021,0.6191171395960074,1,3.60643261493867,1,1
-0.2179430255946339,-1,1,-1,-1,2021,0.33411021949492603,3,3.699231295826394,1,1
2.216856976335875,1,-1,1,1,2021,0.18212600931904924,1,2.781145455054362,1,0
2.2176292906277686,-1,1,1,1,2021,2.1750077017403284,1,5.2787994099116675,-1,2
-1.0034763089543726,-1,1,1,1,2021,0.3075819249310539,1,3.210499748443175,-1,1
2.218632378012453,1,-1,1,1,2021,0.06992688870838065,1,2.62765375478535,1,0
-1.0017673739193054,-1,1,1,1,2021,0.031596695180411284,1,2.8499965942150696,-1,0
-1.0021082739871803,1,-1,1,1,2021,0.29267022974940826,1,2.914238236044126,1,1
-1.0017885688661046,1,-1,1,1,2021,0.18485587324834699,1,3.2314770214641735,1,0
-1.002652150820028,-1,1,0,1,2021,0.34584842487833145,1,2.9554171880067464,0,1
2.2195644609587295,-1,1,1,1,2021,4.203636143063504e-05,1,3.347656901956523,-1,0
-1.0042089534347607,1,-1,-1,1,2021,3.9619624115206324,3,4.004892952203371,0,2
-1.001412741910587,-1,1,-1,1,2021,0.34539797761701824,1,3.06568288982756,0,1
-1.0027494100102683,-1,1,1,1,2021,0.22476808279736632,2,2.8603529447108182,-1,0
2.220299961889954,1,-1,1,1,2021,0.08369201339072196,1,4.955761816957009,1,0
0.4518556500548496,-1,1,1,1,2021,0.22740339464462753,2,2.9471654579854802,-1,0
