flow_id,signal_time,side,origin,entry,atr14,reaccept_time,state,class_time,class_close,residual_atr,class_delay_h,post_class_mae_atr,post_class_mfe_atr,audit_first_passage,plus05_time,second_fail_time
1827,2024-02-25 17:45:00+00:00,-1,51599.1,51536.00357142857,126.19285714285694,2024-02-26 01:45:00+00:00,SECOND_FAIL,2024-02-26 05:45:00+00:00,51604.6,-0.0,4.0,0.2202977302315285,0.09271523178805656,PLUS05_FIRST,2024-02-26 02:15:00+00:00,2024-02-26 05:45:00+00:00
1829,2024-02-26 22:15:00+00:00,1,54587.6,54744.0,312.8000000000008,2024-02-27 01:15:00+00:00,PERSIST2,2024-02-27 01:45:00+00:00,55857.4,2.682864450127861,0.5,2.3906649616368316,6.146419437340133,PLUS05_FIRST,2024-02-27 01:30:00+00:00,
1834,2024-03-01 02:00:00+00:00,-1,61051.2,60900.267857142855,301.8642857142851,2024-03-01 03:15:00+00:00,SECOND_FAIL,2024-03-01 03:45:00+00:00,61183.4,-4.072028584273916,0.5,5.189749414353666,0.3879226710205587,SECOND_FAIL_FIRST,,2024-03-01 03:45:00+00:00
1839,2024-03-03 17:00:00+00:00,1,62762.2,62867.94642857143,211.4928571428568,2024-03-03 18:30:00+00:00,SECOND_FAIL,2024-03-03 21:15:00+00:00,62731.7,3.9954068019858893,2.75,2.045931980141163,8.026748623729313,SECOND_FAIL_FIRST,2024-03-03 22:00:00+00:00,2024-03-03 21:15:00+00:00
1842,2024-03-05 06:30:00+00:00,-1,67370.1,67071.01071428572,598.1785714285719,2024-03-05 15:30:00+00:00,PERSIST2,2024-03-05 16:00:00+00:00,65480.2,1.489521762493282,0.5,2.702035942444328,3.310215535255831,PLUS05_FIRST,2024-03-05 16:00:00+00:00,
1848,2024-03-08 09:15:00+00:00,1,67291.3,67414.82142857143,247.0428571428586,2024-03-08 16:45:00+00:00,PERSIST2,2024-03-08 17:15:00+00:00,68319.8,1.7976637945989247,0.5,2.2494072746197635,4.562771063436034,PLUS05_FIRST,2024-03-08 17:00:00+00:00,
1864,2024-03-16 21:30:00+00:00,-1,66424.0,66157.58571428571,532.8285714285697,2024-03-16 23:00:00+00:00,PERSIST2,2024-03-16 23:30:00+00:00,65624.9,-1.424848517346801,0.5,2.3499115234060994,1.998954367526399,PLUS05_FIRST,2024-03-16 23:15:00+00:00,2024-03-17 05:15:00+00:00
1867,2024-03-18 09:30:00+00:00,-1,68085.4,67915.42857142857,339.94285714285587,2024-03-18 13:30:00+00:00,PERSIST2,2024-03-18 14:00:00+00:00,67794.0,0.5924525130273847,0.5,1.0178181206925572,3.507648344259535,PLUS05_FIRST,2024-03-18 13:45:00+00:00,
1871,2024-03-20 12:15:00+00:00,-1,64055.9,63838.91428571429,433.971428571429,2024-03-20 15:30:00+00:00,PERSIST2,2024-03-20 16:00:00+00:00,63736.0,-9.211435907564676,0.5,10.148133517677257,3.867305286720656,PLUS05_FIRST,2024-03-20 15:45:00+00:00,2024-03-20 17:30:00+00:00
1879,2024-03-24 15:00:00+00:00,1,65545.2,65697.2,303.999999999999,2024-03-24 18:15:00+00:00,PERSIST2,2024-03-24 18:45:00+00:00,65892.1,3.1019736842105368,0.5,0.6476973684210835,5.947039473684211,PLUS05_FIRST,2024-03-24 18:30:00+00:00,
1883,2024-03-26 15:15:00+00:00,1,70204.0,70449.06785714286,490.13571428571385,2024-03-27 00:30:00+00:00,PERSIST2,2024-03-27 01:00:00+00:00,70729.4,-0.3721418266077793,0.5,1.0611346711552025,0.14261356184149043,PLUS05_FIRST,2024-03-27 00:45:00+00:00,
1884,2024-03-27 08:00:00+00:00,-1,69990.1,69881.47142857143,217.2571428571464,2024-03-27 14:00:00+00:00,SECOND_FAIL,2024-03-27 14:45:00+00:00,70127.8,5.122961599158255,0.75,0.10402419779059463,8.114807995791557,PLUS05_FIRST,2024-03-27 14:15:00+00:00,2024-03-27 14:45:00+00:00
1889,2024-03-30 06:00:00+00:00,1,70020.2,70099.33571428571,158.2714285714267,2024-03-30 09:15:00+00:00,UNRESOLVED,2024-03-30 09:30:00+00:00,70153.6,-1.0551493817131634,0.25,1.2263742215001867,1.3912808015163804,PLUS05_FIRST,2024-03-30 09:30:00+00:00,
1893,2024-04-01 17:45:00+00:00,-1,68784.8,68566.83571428571,435.9285714285735,2024-04-02 02:15:00+00:00,PERSIST2,2024-04-02 02:45:00+00:00,67025.7,0.5315090938882425,0.5,0.6668523676880125,2.0088153367196298,PLUS05_FIRST,2024-04-02 02:30:00+00:00,
1896,2024-04-03 05:45:00+00:00,1,66112.7,66219.27857142857,213.15714285714057,2024-04-03 14:00:00+00:00,PERSIST2,2024-04-03 14:30:00+00:00,66507.0,-2.469070437638268,0.5,3.630654781851094,1.4838817773607962,PLUS05_FIRST,2024-04-03 14:15:00+00:00,2024-04-03 15:45:00+00:00
1897,2024-04-03 17:45:00+00:00,-1,65980.7,65826.36428571428,308.6714285714292,2024-04-04 02:15:00+00:00,PERSIST2,2024-04-04 02:45:00+00:00,65751.0,0.4694312028509081,0.5,0.35766186883878265,2.109038737446194,PLUS05_FIRST,2024-04-04 02:30:00+00:00,
1902,2024-04-06 06:00:00+00:00,1,67985.2,68071.21428571429,172.028571428571,2024-04-06 09:00:00+00:00,SECOND_FAIL,2024-04-06 09:30:00+00:00,67878.7,2.24788241155953,0.5,2.0560538116591807,3.554060787244703,SECOND_FAIL_FIRST,2024-04-06 15:00:00+00:00,2024-04-06 09:30:00+00:00
1909,2024-04-11 00:45:00+00:00,1,70572.0,70735.94285714286,327.88571428571385,2024-04-11 12:30:00+00:00,UNRESOLVED,2024-04-11 12:45:00+00:00,70906.6,0.0,0.25,0.45198675496692353,0.40166434297663856,PLUS05_FIRST,2024-04-11 12:45:00+00:00,
1910,2024-04-11 13:45:00+00:00,-1,70322.8,70086.72857142857,472.1428571428582,2024-04-11 23:15:00+00:00,SECOND_FAIL,2024-04-12 00:45:00+00:00,70342.0,0.025204236006039053,1.5,0.16880484114976654,0.3996671709530943,SECOND_FAIL_FIRST,,2024-04-12 00:45:00+00:00
1928,2024-04-21 05:00:00+00:00,-1,65175.3,65050.53571428572,249.528571428571,2024-04-21 12:45:00+00:00,UNRESOLVED,2024-04-21 13:00:00+00:00,65047.3,1.9280357245091009,0.25,0.7197572565409011,3.3386958264155555,PLUS05_FIRST,2024-04-21 13:00:00+00:00,
1932,2024-04-23 08:15:00+00:00,-1,66118.0,66021.0,194.00000000000207,2024-04-23 11:30:00+00:00,SECOND_FAIL,2024-04-23 13:45:00+00:00,66467.2,1.6474226804123084,2.25,3.260309278350481,2.7963917525772897,PLUS05_FIRST,2024-04-23 11:45:00+00:00,2024-04-23 13:45:00+00:00
1934,2024-04-24 09:15:00+00:00,-1,66409.0,66327.68214285714,162.6357142857118,2024-04-24 12:45:00+00:00,PERSIST2,2024-04-24 13:15:00+00:00,66001.0,10.714743730510937,0.5,1.6490842812596147,14.91677280513001,PLUS05_FIRST,2024-04-24 13:00:00+00:00,
1939,2024-04-27 02:30:00+00:00,-1,62992.5,62834.425,316.1499999999993,2024-04-27 10:30:00+00:00,PERSIST2,2024-04-27 11:00:00+00:00,62820.0,-0.7594496283409745,0.5,1.8054720860351232,0.5377194369761201,PLUS05_FIRST,2024-04-27 11:00:00+00:00,2024-04-27 12:45:00+00:00
1942,2024-04-28 23:15:00+00:00,-1,62927.6,62830.42857142857,194.3428571428563,2024-04-29 02:30:00+00:00,PERSIST2,2024-04-29 03:00:00+00:00,62520.9,1.0805645398412278,0.5,1.178844457512494,3.2566157012643555,PLUS05_FIRST,2024-04-29 02:45:00+00:00,
1949,2024-05-02 12:15:00+00:00,1,58681.0,58825.514285714286,289.0285714285715,2024-05-02 14:30:00+00:00,PERSIST2,2024-05-02 15:00:00+00:00,59212.3,-1.247281534203242,0.5,2.1378509292210404,1.4704428627916168,PLUS05_FIRST,2024-05-02 14:45:00+00:00,
1952,2024-05-04 01:00:00+00:00,1,62810.7,62931.85,242.29999999999976,2024-05-04 04:45:00+00:00,PERSIST2,2024-05-04 05:15:00+00:00,63023.7,3.586050350804797,0.5,0.7304993809327288,6.290548906314511,PLUS05_FIRST,2024-05-04 05:00:00+00:00,
1954,2024-05-05 23:15:00+00:00,-1,64156.4,64079.24285714286,154.31428571428685,2024-05-06 02:30:00+00:00,PERSIST2,2024-05-06 03:00:00+00:00,63677.0,-3.2777263469727775,0.5,11.813553045732185,0.07128309572301374,PLUS05_FIRST,2024-05-06 02:45:00+00:00,2024-05-06 06:15:00+00:00
1967,2024-05-13 13:15:00+00:00,-1,62799.0,62687.70714285714,222.5857142857141,2024-05-13 17:15:00+00:00,SECOND_FAIL,2024-05-13 19:15:00+00:00,62950.5,-0.21654579295294263,2.0,0.9506450163660812,1.1995378987228045,PLUS05_FIRST,2024-05-13 18:15:00+00:00,2024-05-13 19:15:00+00:00
1982,2024-05-25 13:45:00+00:00,1,69038.3,69131.55714285714,186.51428571428443,2024-05-25 18:00:00+00:00,PERSIST2,2024-05-25 18:30:00+00:00,69143.2,0.20052083333338153,0.5,0.4380361519607717,1.347886029411821,PLUS05_FIRST,2024-05-25 18:15:00+00:00,
1988,2024-05-30 02:45:00+00:00,1,67980.0,68060.13928571428,160.278571428571,2024-05-30 11:15:00+00:00,UNRESOLVED,2024-05-30 11:30:00+00:00,68013.5,2.3783591069120606,0.25,1.3794732385579078,5.343197112170752,PLUS05_FIRST,2024-05-30 11:30:00+00:00,
