month,trades,net40_r,expectancy_net40,parent
2023-02,0,0.0,,P2_G1_D14
2023-03,7,-3.5996022385969253,-0.5142288912281322,P2_G1_D14
2023-04,9,-0.7517868769806002,-0.08353187522006669,P2_G1_D14
2023-05,0,0.0,,P2_G1_D14
2023-06,0,0.0,,P2_G1_D14
2023-07,8,-2.9961414592343156,-0.37451768240428945,P2_G1_D14
2023-08,0,0.0,,P2_G1_D14
2023-09,0,0.0,,P2_G1_D14
2023-10,4,-2.3934089586257707,-0.5983522396564427,P2_G1_D14
2023-11,16,-13.558294538067901,-0.8473934086292438,P2_G1_D14
2023-12,12,-0.9014642908305246,-0.07512202423587705,P2_G1_D14
2024-01,0,0.0,,P2_G1_D14
2024-02,6,-7.608116521657008,-1.268019420276168,P2_G1_D14
2024-03,4,-0.2747819513936134,-0.06869548784840335,P2_G1_D14
2024-04,2,0.3841190148107949,0.19205950740539746,P2_G1_D14
2024-05,2,0.3239627196231505,0.16198135981157524,P2_G1_D14
2024-06,0,0.0,,P2_G1_D14
2024-07,0,0.0,,P2_G1_D14
2024-08,24,-4.713768526881877,-0.19640702195341153,P2_G1_D14
2024-09,8,3.1151205115241614,0.38939006394052017,P2_G1_D14
2024-10,11,5.254729841534105,0.4777027128667368,P2_G1_D14
2024-11,0,0.0,,P2_G1_D14
2024-12,0,0.0,,P2_G1_D14
2025-01,0,0.0,,P2_G1_D14
2025-02,5,2.8710689046675446,0.5742137809335089,P2_G1_D14
2025-03,17,-4.848799693208569,-0.28522351136520996,P2_G1_D14
2025-04,3,-3.1878435298546144,-1.062614509951538,P2_G1_D14
2025-05,12,1.8321518773839462,0.15267932311532886,P2_G1_D14
2025-06,8,3.891088836880016,0.486386104610002,P2_G1_D14
2025-07,8,-1.5769190676927667,-0.19711488346159584,P2_G1_D14
2025-08,0,0.0,,P2_G1_D14
2025-09,10,-0.2560890872612467,-0.025608908726124667,P2_G1_D14
2025-10,0,0.0,,P2_G1_D14
2025-11,10,-1.3631869323599943,-0.13631869323599943,P2_G1_D14
2025-12,16,-3.4968127646334093,-0.21855079778958808,P2_G1_D14
2026-01,6,-0.008878968986793856,-0.0014798281644656426,P2_G1_D14
2026-02,19,3.4214434604653157,0.18007597160343766,P2_G1_D14
2026-03,6,-1.2304686137010798,-0.2050781022835133,P2_G1_D14
2026-04,0,0.0,,P2_G1_D14
