period,candidate_time,side_name,R,anchor_high,anchor_low,resolution_1m,resolution_3m,resolution_5m,resolution_minute_3m,resolution_close_3m,mfe_15m,mae_15m,mfe_60m,mae_60m,ret_60m,impulse60,delayed_release_R,delayed_minus_original_R
historical,2022-08-02 00:15:00,BUY,-1.007100216985627,23390.0,23274.4,UNRESOLVED,RELEASE,RELEASE,2.0,23417.2,0.5361846079497213,0.8414884620031405,0.5361846079497213,1.8504288993596945,-1.3759816358584078,0,-1.0066014417462146,0.0004987752394123302
historical,2022-08-25 00:15:00,SELL,-1.0094473502486503,21389.5,21303.0,UNRESOLVED,UNRESOLVED,UNRESOLVED,,,-0.2469470827679791,0.7623699683401294,-0.2469470827679791,2.582180009045708,-2.240253279059275,0,,
historical,2022-08-29 03:25:00,BUY,0.0009689310563128061,19835.2,19774.9,UNRESOLVED,UNRESOLVED,UNRESOLVED,,,1.7719165085389066,-0.0239089184061106,1.7719165085389066,0.0611005692599423,0.2576850094876836,1,,
historical,2022-09-09 03:15:00,BUY,5.902386912545351,19431.1,19380.9,UNRESOLVED,UNRESOLVED,UNRESOLVED,,,9.18843436832593,0.14259898143586347,22.59963857401021,0.14259898143586347,19.584360111713465,1,,
historical,2022-09-25 11:50:00,BUY,-1.019200787514355,19196.0,19078.0,UNRESOLVED,UNRESOLVED,UNRESOLVED,,,-0.38781163434903104,2.1598124866823394,-0.38781163434903104,3.487321542723253,-2.126997656083619,0,,
historical,2022-09-29 07:35:00,SELL,-1.0084631400920667,19327.2,19259.4,UNRESOLVED,UNRESOLVED,UNRESOLVED,,,0.2685851318944863,0.4377937649879931,0.2685851318944863,1.2126618705035959,-0.3800479616306883,0,,
historical,2022-09-30 00:35:00,BUY,-1.0096663851351326,19690.3,19503.3,UNRESOLVED,UNRESOLVED,REJECTION,,,1.1850096920094473,2.8494507861296396,1.1850096920094473,2.8494507861296396,-2.3745423217746997,1,,
historical,2022-09-30 00:50:00,BUY,-1.0078977750809188,19550.2,19454.0,UNRESOLVED,UNRESOLVED,UNRESOLVED,,,0.43325242718447265,0.7560679611650358,0.43325242718447265,1.0849514563106477,-0.4635922330097152,0,,
historical,2022-10-02 10:10:00,SELL,2.82075497609736,19251.0,19206.5,UNRESOLVED,RELEASE,RELEASE,2.0,19176.5,5.553625530195936,-0.18662896384574865,5.553625530195936,-0.18662896384574865,2.1518885073723,1,2.240660405305331,-0.5800945707920286
historical,2022-10-11 12:10:00,BUY,-1.016709000435391,19197.0,19142.9,UNRESOLVED,UNRESOLVED,UNRESOLVED,,,1.5883560365739644,0.46501212912864354,1.8835603657398337,1.7111401380854592,-1.0423586490017147,1,,
historical,2022-10-16 19:50:00,SELL,-1.0207627410309374,19338.6,19273.2,UNRESOLVED,UNRESOLVED,UNRESOLVED,,,1.1260659138050861,3.581470384881357,1.674579396174303,3.581470384881357,0.14842129522938793,1,,
historical,2022-11-10 00:15:00,BUY,1.0598706487241343,16309.4,15893.4,UNRESOLVED,UNRESOLVED,UNRESOLVED,,,0.34639977759244045,0.6140587241504631,0.9886016124548259,0.6140587241504631,0.6466927567845001,0,,
historical,2022-11-12 14:50:00,BUY,-1.0089732454645357,16958.4,16864.8,UNRESOLVED,UNRESOLVED,UNRESOLVED,,,0.17155649817363977,0.9782019559326416,1.2058442323553318,0.9782019559326416,-0.039589961117026104,0,,
historical,2022-11-18 08:05:00,SELL,-1.0136770679770446,16743.4,16666.7,UNRESOLVED,UNRESOLVED,UNRESOLVED,,,0.7559896793217571,0.4283081459638355,0.7559896793217571,1.0707703649096827,-1.047548838923652,0,,
historical,2023-01-15 09:20:00,BUY,2.342075718758887,20647.2,20593.4,UNRESOLVED,RELEASE,RELEASE,3.0,20651.7,0.7053800170794093,0.1742100768573999,2.3228010247651665,0.23740392826646464,2.037574722459431,1,2.254396982635907,-0.08767873612297983
historical,2023-01-22 21:00:00,BUY,2.0097454912048947,22468.2,22366.3,UNRESOLVED,RELEASE,RELEASE,3.0,22475.5,0.24479166666667254,0.9652777777777825,1.5303819444444355,1.2699652777777692,1.3055555555555343,0,1.4934966724537053,-0.5162488187511893
historical,2023-04-06 08:20:00,SELL,-1.015371715500945,27930.1,27846.6,UNRESOLVED,UNRESOLVED,UNRESOLVED,,,0.2580340264650618,1.4406899810963694,0.2580340264650618,1.8211247637050612,-1.5730151228733056,0,,
historical,2023-04-09 01:55:00,BUY,-1.0211377555411882,28071.0,28040.5,UNRESOLVED,UNRESOLVED,UNRESOLVED,,,0.2123950936087323,0.4134925758554598,0.2123950936087323,1.0190445448677143,-0.7546804389929378,0,,
historical,2023-04-26 00:15:00,BUY,0.3519864593092398,28460.0,28266.0,UNRESOLVED,UNRESOLVED,UNRESOLVED,,,0.981454005934725,0.20425321463895754,0.981454005934725,1.0082838773491534,-0.7546983184965085,0,,
historical,2023-05-11 13:15:00,SELL,-1.0103647345744378,27376.2,27275.3,UNRESOLVED,UNRESOLVED,UNRESOLVED,,,0.12480786965880028,0.5078389179219271,3.4505072241008454,1.7623731939747886,0.09145404242237955,0,,
historical,2023-05-12 02:35:00,SELL,4.479641579875934,26827.6,26720.9,UNRESOLVED,UNRESOLVED,UNRESOLVED,,,-0.27415143603133074,0.856570931244549,2.8073107049608446,0.856570931244549,1.1063533507398058,0,,
historical,2023-05-22 13:10:00,BUY,2.917922897462151,26744.5,26718.1,RELEASE,RELEASE,RELEASE,1.0,26744.9,1.0874018436326338,0.3943325367019441,8.443496073745246,0.3943325367019441,2.150904745646968,1,2.9115495277113594,-0.006373369750791724
historical,2023-06-04 08:40:00,BUY,2.148182664339743,27149.5,27120.4,UNRESOLVED,UNRESOLVED,UNRESOLVED,,,0.3490401396160603,0.06980802792321206,3.1902268760908417,0.06980802792321206,3.127399650959849,1,,
