signal_ts,entry_ts,exit_ts,side,entry_price,atr,horizon_min,rejection_minute,rejection_close,anchor_high,anchor_low,early_R,original_R,delta_R,saved_R,given_up_R,original_exit_ts,original_exit_reason,mfe_15m,mae_15m,ret_15m,mfe_30m,mae_30m,ret_30m,mfe_60m,mae_60m,ret_60m,mfe_120m,mae_120m,ret_120m,period
1705365900,1705366500,1705366920,-1,42588.6,164.59285714285735,15,7,42668.7,42644.3,42584.3,-0.3330619624180816,-1.0086250401423404,0.6755630777242588,0.6755630777242588,0.0,1705375500,INITIAL_STOP,0.049212342142941234,0.8815692401162943,-0.6798593933081709,0.049212342142941234,0.8815692401162943,-0.2734019007941671,0.1944191294536299,0.8815692401162943,-0.11239855921537979,0.22236687931258037,0.8815692401162943,-0.2114308032808402,historical
1705544400,1705544700,1705545480,1,42704.3,97.06428571428582,15,13,42673.2,42725.0,42674.9,-0.22826943851648684,-1.014665297912529,0.7863958593960422,0.7863958593960422,0.0,1705548900,INITIAL_STOP,0.058723967915195505,0.3636765030539703,-0.14835528736479517,0.27507542865549994,0.42033998086690716,-0.31010376039449633,0.27507542865549994,1.064243137832099,-0.997277209507719,0.27507542865549994,1.5906983589668247,-0.6696592832437994,historical
1705577100,1705577400,1705578060,-1,42454.9,100.02142857142982,15,11,42513.8,42497.7,42431.1,-0.4067311433264347,-1.0141486014901775,0.6074174581637428,0.6074174581637428,0.0,1705585800,INITIAL_STOP,0.7238448903806383,0.6508605298864302,-0.5608798114689494,0.7238448903806383,0.9507962579446997,-0.8508176819252765,1.0387774048418212,0.9587945440262826,-0.04499035920874042,1.0387774048418212,0.9587945440262826,0.34892523030780137,historical
1705675800,1705676100,1705676280,1,41078.0,133.15714285714316,15,3,40940.9,41132.0,40966.9,-0.6966901262382347,-1.0102830883667693,0.3135929621285346,0.3135929621285346,0.0,1705676700,INITIAL_STOP,0.0,1.7806029395987406,-1.4576762149983766,0.7299645960733592,1.7806029395987406,-0.4430855058470111,0.7299645960733592,2.6998176161356016,-0.5940349747881006,0.7299645960733592,5.7526016521832295,-5.2058791975109635,historical
1705795200,1705795800,1705795980,1,41718.1,86.54999999999927,15,3,41696.7,41727.4,41699.5,-0.1809043327556453,-0.4828492586173624,0.30194492586171706,0.30194492586171706,0.0,1705817400,TIME_EXIT,-0.001155401502005149,0.7868284228769395,-0.3316002310802696,-0.001155401502005149,0.839976891969933,-0.7279029462738362,-0.001155401502005149,1.0803004043905349,-0.6655112651646335,0.07972270363953221,1.0803004043905349,-0.32928942807625927,historical
1705885200,1705885500,1705885860,1,41680.9,86.89285714285818,15,6,41631.4,41690.6,41644.1,-0.3957674366351508,-1.0159893848472592,0.6202219482121084,0.6202219482121084,0.0,1705886100,INITIAL_STOP,0.1311960542540226,4.153390875462359,-3.8495684340320135,0.1311960542540226,4.818577887381826,-4.205178791615256,0.1311960542540226,4.818577887381826,-4.036004932182493,0.1311960542540226,4.8669132757911635,-4.383559391697458,historical
1705980000,1705980600,1705981260,-1,39996.0,136.1642857142859,15,11,40042.7,40040.8,39988.0,-0.2384364825403341,1.4902088863242868,-1.7286453688646208,0.0,1.7286453688646208,1705998000,PROFIT_STOP,0.11897392855267215,0.38776687824583733,-0.050674080679861636,0.1725856370980431,0.38776687824583733,-0.03011068562135002,0.1725856370980431,1.2976971095839878,-1.1397996118134377,0.1725856370980431,1.2976971095839878,-0.4714892724125048,historical
1705996200,1705996800,1705997520,1,39773.9,99.62142857142733,15,12,39641.2,39780.0,39656.8,-0.9013368370737241,-1.0133083482708418,0.11197151119711768,0.11197151119711768,0.0,1705997700,INITIAL_STOP,0.89338208933822,2.0889080088908125,-1.09012690901269,0.89338208933822,2.1270524127052823,-1.0770775077077934,0.89338208933822,4.630529863053074,-3.143901914390274,0.89338208933822,8.746110274611166,-8.124758012475917,historical
1706171400,1706173800,1706174220,1,40115.1,86.69285714285797,15,7,40054.5,40121.4,40063.5,-0.48143724149293965,-1.0154242234489577,0.533986981956018,0.533986981956018,0.0,1706177400,INITIAL_STOP,0.11419625937218345,0.7336244541484478,-0.3425887781164664,0.11419625937218345,0.7336244541484478,-0.5825162725549915,0.11419625937218345,1.90442448710551,-1.3288291999669966,0.4936969597100066,1.90442448710551,0.07497734201202862,historical
1706262300,1706262600,1706262660,1,40342.1,78.47857142857174,15,1,40273.5,40408.0,40294.6,-0.5998843906434731,-1.017135080853145,0.41725069020967187,0.41725069020967187,0.0,1706262900,INITIAL_STOP,0.22808774005644797,4.151451715663894,-3.2875216164557983,0.22808774005644797,4.151451715663894,-1.738054063893704,4.815327204878492,4.151451715663894,2.540820970237562,12.84299626831707,4.151451715663894,10.368435423682548,historical
1706418300,1706418600,1706419020,-1,42668.6,115.69999999999969,15,7,42740.4,42729.3,42626.0,-0.4260065110919223,2.0116195332757183,-2.4376260443676405,0.0,2.4376260443676405,1706424600,PROFIT_STOP,0.24027657735519195,1.4468452895419353,-0.025929127052722628,1.2229904926534172,1.4468452895419353,1.164217804667221,2.0812445980984986,1.4468452895419353,1.8452895419187603,3.535868625756263,1.4468452895419353,2.4096802074329853,historical
1706462400,1706463600,1706464260,-1,42108.9,122.13571428571439,15,11,42179.3,42168.5,42073.8,-0.3957643643877885,1.4885076203286933,-1.8842719847164817,0.0,1.8842719847164817,1706471400,PROFIT_STOP,0.11135154102577897,0.7385227206269128,-0.46751272004209543,0.11135154102577897,0.7941984911398321,0.0548570091818592,1.605590970232164,0.7941984911398321,0.2120591847476578,2.385051757412736,0.7941984911398321,2.302356862974477,historical
1706486700,1706487600,1706488140,-1,41871.0,129.4357142857147,15,9,41977.0,41955.6,41865.4,-0.5567425270864357,-1.0107829589978423,0.45404043191140664,0.45404043191140664,0.0,1706490900,INITIAL_STOP,0.03862921472324914,0.9881353126207243,-0.9301914905358506,0.03862921472324914,1.3790629656199944,-0.7107775509077843,0.03862921472324914,1.5567573533469405,-1.2685834115114794,0.03862921472324914,3.3962805584680535,-2.955907510623013,historical
1706659500,1706660400,1706660700,-1,42841.4,165.86428571428613,15,5,43012.8,43002.2,42831.3,-0.6975263712444236,-0.6460786873950228,-0.051447683849400794,0.0,0.051447683849400794,1706682000,TIME_EXIT,0.04702639851859975,1.2021876749494051,-0.4099737306748192,0.07114250032300087,1.2021876749494051,-0.009043538176650424,0.24960165367556045,1.2021876749494051,0.05787864433055394,0.9363076525558913,1.2021876749494051,0.7174540286809336,historical
1706799900,1706801400,1706802120,1,42889.9,159.57142857142858,15,12,42669.9,42926.4,42712.1,-0.928088012533572,-1.008959394210692,0.08087138167712005,0.08087138167712005,0.0,1706802600,INITIAL_STOP,0.2926589077887015,1.46768128916744,-1.2821844225604204,0.2926589077887015,2.443419874664288,-2.4427931960608955,0.2926589077887015,3.060698299015228,-2.410832587287404,1.6801253357206711,3.3834377797672426,1.1894359892569109,historical
1706880900,1706881200,1706881560,1,42857.6,86.25714285714223,15,6,42741.1,42914.9,42812.0,-0.9169704758750206,-1.0165619520812834,0.09959147620626285,0.09959147620626285,0.0,1706881800,INITIAL_STOP,0.5437230871149595,3.998509440212037,-2.848459754885711,0.5437230871149595,3.998509440212037,-1.5882742630010054,0.5437230871149595,3.998509440212037,-1.023683338853882,3.157999337529023,3.998509440212037,3.151043391851663,historical
1706931000,1706932200,1706932860,1,43180.0,78.01428571428707,15,11,43133.8,43183.8,43142.1,-0.4132490996764619,-1.0184496124031115,0.6052005127266495,0.6052005127266495,0.0,1706942700,INITIAL_STOP,0.0012818165171027312,0.5921992309100421,-0.08972715619849689,0.0012818165171027312,0.5921992309100421,-0.1448452664347537,0.3460904596227737,0.5921992309100421,-0.011536348654111109,0.3460904596227737,1.4035890862479155,-0.7652444607214289,historical
1706949300,1706950800,1706951340,-1,43004.2,53.435714285714184,15,9,43035.1,43032.3,42978.1,-0.4123360869759135,-1.0268261284142017,0.6144900414382882,0.6144900414382882,0.0,1706953200,INITIAL_STOP,0.1347413447399538,0.6044646437642582,-0.5296083411309204,0.1347413447399538,1.439112418125949,-1.1172303168026503,0.1347413447399538,1.9855634273493976,-1.3661275230584173,0.1347413447399538,1.9855634273493976,-0.9076326694292224,historical
1707022800,1707023100,1707023460,-1,42887.6,37.464285714286234,15,6,42912.4,42905.7,42879.9,-0.47946783603436355,2.1695947632664585,-2.649062599300822,0.0,2.649062599300822,1707028800,PROFIT_STOP,1.5428026692086323,1.2918970448045968,0.12545281220201782,1.5428026692086323,1.2918970448045968,0.2001906577693013,1.5428026692086323,1.2918970448045968,-0.10409914204007553,4.943374642516536,1.2918970448045968,2.5490943755957702,historical
1707105600,1707105900,1707106800,-1,42672.0,106.04285714285705,15,15,42716.8,42713.3,42650.1,-0.2950605774844139,-1.0134134446989265,0.7183528672145125,0.7183528672145125,0.0,1707113700,INITIAL_STOP,0.09430149535228353,0.42247069917825764,-0.42247069917825764,0.09430149535228353,1.4522430284251664,-1.097669405900594,0.09430149535228353,1.4522430284251664,-0.289505590731483,0.4639633571332075,1.4522430284251664,-1.0778660918766283,historical
1707191700,1707193800,1707194040,1,42899.7,103.54285714285705,15,4,42834.6,42911.0,42854.5,-0.4329607201986665,-1.0138106098234179,0.5808498896247514,0.5808498896247514,0.0,1707196800,INITIAL_STOP,0.0,0.8016004415011045,-0.8016004415011045,0.0,1.347268211920531,-0.8749999999999868,0.0,1.6292770419425784,-1.1589403973509944,0.0,2.5651214128035202,-2.116997792494455,historical
