flow_id,signal_time,side,origin,entry,extension050,atr14,reaccept_time,state,class_time,class_price,residual_atr,class_delay_h,post_class_mae_atr,post_class_mfe_atr
692,2022-03-04 15:45:00+00:00,-1,40694.6,40513.625,40332.65,361.9500000000002,2022-03-04 19:00:00+00:00,EXTENSION050_FIRST,2022-03-04 19:15:00+00:00,40332.65,3.6014642906478853,0.25,0.0,5.0052493438320225
693,2022-03-05 03:45:00+00:00,-1,39029.1,38932.95357142857,38836.807142857135,192.29285714285703,2022-03-05 10:15:00+00:00,SECOND_FAIL_FIRST,2022-03-05 11:00:00+00:00,39153.4,0.10192786300656728,0.75,1.0223988707700238,1.4940752572341456
695,2022-03-06 04:00:00+00:00,1,38901.0,38972.40714285714,39043.81428571428,142.81428571428685,2022-03-06 16:00:00+00:00,NONE,2022-03-06 16:00:00+00:00,,,0.0,0.0,0.0
700,2022-03-08 17:15:00+00:00,1,38907.7,39084.58928571428,39261.47857142857,353.778571428571,2022-03-09 01:30:00+00:00,EXTENSION050_FIRST,2022-03-09 01:45:00+00:00,39261.47857142857,6.351773708332505,0.25,0.4377839245694394,7.4397423731551395
704,2022-03-10 17:30:00+00:00,-1,39187.8,39054.89285714286,38921.98571428572,265.8142857142858,2022-03-11 01:00:00+00:00,EXTENSION050_FIRST,2022-03-11 01:15:00+00:00,38921.98571428572,0.9205137851346437,0.25,0.0,2.7157521362928256
706,2022-03-11 17:30:00+00:00,-1,38772.4,38635.275,38498.15,274.2500000000005,2022-03-11 20:30:00+00:00,EXTENSION050_FIRST,2022-03-11 20:45:00+00:00,38498.15,-2.2605287146763753,0.25,2.8858705560619713,0.5551504102096617
708,2022-03-13 00:15:00+00:00,-1,38901.5,38847.228571428575,38792.95714285715,108.54285714285548,2022-03-13 11:30:00+00:00,EXTENSION050_FIRST,2022-03-13 11:45:00+00:00,38792.95714285715,3.0619899973678613,0.25,0.0,4.237562516451836
709,2022-03-13 12:15:00+00:00,-1,38460.6,38383.55357142857,38306.50714285715,154.0928571428563,2022-03-13 22:45:00+00:00,EXTENSION050_FIRST,2022-03-13 23:00:00+00:00,38306.50714285715,3.5887915449868317,0.25,0.0,5.090483474713823
721,2022-03-21 09:15:00+00:00,1,41185.4,41262.31785714286,41339.235714285714,153.8357142857141,2022-03-21 13:00:00+00:00,EXTENSION050_FIRST,2022-03-21 13:15:00+00:00,41339.235714285714,-1.007800529321654,0.25,3.975251892092703,1.3336583553884112
722,2022-03-21 21:45:00+00:00,1,41278.0,41345.62142857143,41413.24285714286,135.24285714285776,2022-03-22 02:00:00+00:00,EXTENSION050_FIRST,2022-03-22 02:15:00+00:00,41413.24285714286,7.651103834371967,0.25,0.0,15.560578852857173
732,2022-03-30 07:30:00+00:00,-1,47412.3,47342.83214285714,47273.364285714284,138.9357142857147,2022-03-30 09:00:00+00:00,EXTENSION050_FIRST,2022-03-30 09:30:00+00:00,47273.364285714284,2.279214436275772,0.5,2.9886895275307106,3.047195516939982
746,2022-04-07 03:30:00+00:00,1,43296.6,43416.43571428571,43536.271428571425,239.67142857142863,2022-04-07 06:30:00+00:00,EXTENSION050_FIRST,2022-04-07 11:00:00+00:00,43536.271428571425,-1.3379626870119699,4.5,2.2542170829111114,1.4675448530726751
748,2022-04-08 03:30:00+00:00,1,43556.1,43615.078571428574,43674.05714285714,117.95714285714348,2022-04-08 05:30:00+00:00,SECOND_FAIL_FIRST,2022-04-08 06:30:00+00:00,43495.9,1.205522586895936,1.0,6.509991522344655,4.003148843405549
750,2022-04-09 04:00:00+00:00,1,42388.4,42459.19642857143,42529.99285714285,141.59285714285735,2022-04-09 07:45:00+00:00,EXTENSION050_FIRST,2022-04-09 11:15:00+00:00,42529.99285714285,-1.7726378449275817,3.5,2.683700751652092,0.0
752,2022-04-10 05:45:00+00:00,1,42636.3,42671.15,42706.0,69.69999999999916,2022-04-10 08:15:00+00:00,EXTENSION050_FIRST,2022-04-10 08:30:00+00:00,42706.0,5.281205164992869,0.25,4.1047345767575605,9.067431850789205
753,2022-04-10 18:00:00+00:00,-1,43203.8,43125.93571428572,43048.071428571435,155.72857142857123,2022-04-10 20:45:00+00:00,EXTENSION050_FIRST,2022-04-10 21:30:00+00:00,43048.071428571435,5.070177047977296,0.75,0.40473351068704405,8.977616732409922
759,2022-04-13 22:00:00+00:00,1,41204.9,41288.35,41371.799999999996,166.8999999999999,2022-04-14 01:15:00+00:00,EXTENSION050_FIRST,2022-04-14 01:45:00+00:00,41371.799999999996,-1.2492510485320123,0.5,2.6069502696225215,0.4835230677052392
765,2022-04-17 09:45:00+00:00,1,40406.5,40438.203571428574,40469.90714285715,63.40714285714265,2022-04-17 11:45:00+00:00,EXTENSION050_FIRST,2022-04-17 12:00:00+00:00,40469.90714285715,-4.430212909766906,0.25,11.069843415568437,1.6432353272501008
766,2022-04-17 23:15:00+00:00,-1,39628.0,39550.275,39472.55,155.45000000000124,2022-04-18 04:15:00+00:00,EXTENSION050_FIRST,2022-04-18 04:30:00+00:00,39472.55,2.9163718237375504,0.25,0.0,6.477002251527808
770,2022-04-20 07:00:00+00:00,-1,41446.6,41406.235714285714,41365.87142857143,80.72857142857174,2022-04-20 15:00:00+00:00,EXTENSION050_FIRST,2022-04-20 15:15:00+00:00,41365.87142857143,2.960184038223317,0.25,0.9677933109183946,7.0095558308263985
775,2022-04-22 20:00:00+00:00,-1,39470.1,39379.97142857143,39289.84285714286,180.25714285714275,2022-04-23 04:15:00+00:00,SECOND_FAIL_FIRST,2022-04-23 04:45:00+00:00,39511.4,-0.11594547471866402,0.5,0.8060706926612538,0.1730860675226111
776,2022-04-23 15:30:00+00:00,1,39738.7,39788.267857142855,39837.83571428571,99.13571428571493,2022-04-23 17:45:00+00:00,SECOND_FAIL_FIRST,2022-04-23 18:45:00+00:00,39659.3,0.9945961524605308,1.0,3.871460479861666,2.8042366164709094
783,2022-04-27 09:30:00+00:00,1,38976.7,39077.76071428571,39178.82142857142,202.1214285714273,2022-04-27 13:30:00+00:00,EXTENSION050_FIRST,2022-04-27 13:45:00+00:00,39178.82142857142,0.5950807506096429,0.25,3.843340283422254,1.0641057355904004
786,2022-04-28 22:45:00+00:00,-1,39790.1,39703.45,39616.799999999996,173.30000000000032,2022-04-29 02:15:00+00:00,EXTENSION050_FIRST,2022-04-29 02:45:00+00:00,39616.799999999996,4.773802654356573,0.5,0.17195614541259582,5.583958453548732
791,2022-05-01 16:15:00+00:00,-1,38543.6,38469.110714285714,38394.62142857143,148.97857142857123,2022-05-02 02:00:00+00:00,SECOND_FAIL_FIRST,2022-05-02 03:00:00+00:00,38626.5,0.0570551853094885,1.0,0.8289782806731564,0.3604545236611019
792,2022-05-02 04:15:00+00:00,1,38618.0,38669.43928571429,38720.87857142858,102.8785714285706,2022-05-02 13:00:00+00:00,EXTENSION050_FIRST,2022-05-02 13:15:00+00:00,38720.87857142858,0.6339651461500461,0.25,4.8880788724572195,4.870999097410249
807,2022-05-10 10:00:00+00:00,1,31367.2,31521.664285714287,31676.128571428573,308.928571428572,2022-05-10 17:30:00+00:00,EXTENSION050_FIRST,2022-05-10 17:45:00+00:00,31676.128571428573,-3.39052023121387,0.25,5.0061040462427755,0.3359075144508654
816,2022-05-15 02:30:00+00:00,1,29765.0,29849.617857142857,29934.235714285714,169.23571428571475,2022-05-15 06:45:00+00:00,EXTENSION050_FIRST,2022-05-15 07:00:00+00:00,29934.235714285714,0.08546828177099004,0.25,2.4175494871903127,3.668045414257364
820,2022-05-17 06:30:00+00:00,1,30421.9,30490.032142857144,30558.164285714287,136.26428571428576,2022-05-17 08:00:00+00:00,EXTENSION050_FIRST,2022-05-17 08:15:00+00:00,30558.164285714287,-5.807569324317253,0.25,8.35262357813074,1.730722859988458
822,2022-05-18 06:30:00+00:00,-1,29948.6,29880.175,29811.75,136.8499999999996,2022-05-18 11:00:00+00:00,EXTENSION050_FIRST,2022-05-18 11:15:00+00:00,29811.75,4.8538545853124,0.25,0.5717939349652922,7.928754110339806
832,2022-05-24 06:30:00+00:00,1,29266.9,29304.96071428572,29343.021428571436,76.12142857142862,2022-05-24 09:45:00+00:00,EXTENSION050_FIRST,2022-05-24 10:15:00+00:00,29343.021428571436,-1.038097025429386,0.5,9.267054518157185,4.321760345312845
835,2022-05-25 21:15:00+00:00,-1,29823.0,29743.132142857143,29663.264285714286,159.73571428571424,2022-05-26 05:15:00+00:00,EXTENSION050_FIRST,2022-05-26 05:30:00+00:00,29663.264285714286,3.546885480481147,0.25,0.5511335688413868,5.153914948799357
838,2022-05-27 09:15:00+00:00,-1,28997.6,28903.89642857143,28810.192857142858,187.4071428571429,2022-05-27 14:45:00+00:00,EXTENSION050_FIRST,2022-05-27 15:00:00+00:00,28810.192857142858,0.15950756565156907,0.25,1.244921294355295,2.9379502229675762
841,2022-05-28 22:45:00+00:00,1,28981.4,29006.33571428572,29031.271428571436,49.87142857142914,2022-05-29 05:45:00+00:00,EXTENSION050_FIRST,2022-05-29 06:00:00+00:00,29031.271428571436,2.262389000286256,0.25,1.8100830707534847,3.9366943569175747
842,2022-05-29 12:30:00+00:00,1,29335.2,29385.985714285714,29436.77142857143,101.5714285714291,2022-05-29 22:15:00+00:00,EXTENSION050_FIRST,2022-05-29 22:30:00+00:00,29436.77142857143,-1.1693389592123677,0.25,1.335724331926868,0.5338959212376937
844,2022-05-30 12:30:00+00:00,1,30424.7,30491.464285714286,30558.22857142857,133.52857142857152,2022-05-30 13:45:00+00:00,EXTENSION050_FIRST,2022-05-30 14:00:00+00:00,30558.22857142857,7.685781534182083,0.25,0.9767839948646695,13.101101957847415
849,2022-06-02 15:00:00+00:00,1,30186.6,30311.10714285714,30435.614285714284,249.01428571428525,2022-06-02 21:45:00+00:00,EXTENSION050_FIRST,2022-06-02 22:00:00+00:00,30435.614285714284,0.27181458321381874,0.25,0.4225230910446788,1.0344214330790087
872,2022-06-15 11:45:00+00:00,1,21163.8,21298.50357142857,21433.20714285714,269.4071428571427,2022-06-15 18:30:00+00:00,EXTENSION050_FIRST,2022-06-15 18:45:00+00:00,21433.20714285714,4.210329559615042,0.25,0.016358671156234066,5.073335631147773
889,2022-06-25 23:00:00+00:00,1,21464.3,21507.967857142856,21551.635714285712,87.3357142857146,2022-06-26 01:00:00+00:00,SECOND_FAIL_FIRST,2022-06-26 01:30:00+00:00,21366.0,0.6412038930236339,0.5,1.1713421117199514,1.7633107058149933
890,2022-06-26 13:00:00+00:00,-1,21376.4,21307.975,21239.55,136.8500000000001,2022-06-26 15:00:00+00:00,EXTENSION050_FIRST,2022-06-26 15:15:00+00:00,21239.55,2.1245889660211894,0.25,1.4004384362440723,2.4168797953964174
894,2022-06-29 09:30:00+00:00,-1,20103.5,20042.91071428572,19982.321428571435,121.17857142857144,2022-06-29 16:15:00+00:00,EXTENSION050_FIRST,2022-06-29 16:30:00+00:00,19982.321428571435,-2.8146772767462025,0.25,3.6943707633362286,0.5142941349838416
896,2022-06-30 09:30:00+00:00,1,18994.4,19085.132142857143,19175.864285714284,181.464285714286,2022-06-30 14:45:00+00:00,EXTENSION050_FIRST,2022-06-30 15:15:00+00:00,19175.864285714284,-1.7880338516039949,0.5,3.377327297776014,0.684077937413903
898,2022-07-01 09:30:00+00:00,-1,19436.4,19368.807142857146,19301.21428571429,135.18571428571445,2022-07-01 14:00:00+00:00,EXTENSION050_FIRST,2022-07-01 14:30:00+00:00,19301.21428571429,-1.2552044806086649,0.5,2.8522667230264847,0.8345133678537652
899,2022-07-02 05:15:00+00:00,-1,19242.8,19207.15,19171.5,71.30000000000005,2022-07-02 15:15:00+00:00,EXTENSION050_FIRST,2022-07-02 15:30:00+00:00,19171.5,-2.064516129032267,0.25,2.17110799438989,0.0
909,2022-07-10 17:00:00+00:00,-1,20892.1,20829.27142857143,20766.442857142858,125.65714285714265,2022-07-10 22:00:00+00:00,EXTENSION050_FIRST,2022-07-10 22:15:00+00:00,20766.442857142858,2.2922919508867654,0.25,0.8615279672578451,2.902683037744435
910,2022-07-11 09:15:00+00:00,-1,20551.7,20513.664285714287,20475.628571428573,76.0714285714291,2022-07-11 11:30:00+00:00,EXTENSION050_FIRST,2022-07-11 11:45:00+00:00,20475.628571428573,1.7040375586854575,0.25,3.976150234741714,2.8345539906103325
911,2022-07-12 01:30:00+00:00,-1,19928.2,19875.83571428572,19823.471428571436,104.7285714285712,2022-07-12 06:15:00+00:00,EXTENSION050_FIRST,2022-07-12 06:45:00+00:00,19823.471428571436,-0.639066975855896,0.5,1.680807529668461,2.588323557495632
915,2022-07-14 05:00:00+00:00,1,20106.7,20148.685714285715,20190.67142857143,83.97142857142846,2022-07-14 15:30:00+00:00,EXTENSION050_FIRST,2022-07-14 15:45:00+00:00,20190.67142857143,0.88040149710783,0.25,0.7225246682545229,3.364579789043892
919,2022-07-18 18:15:00+00:00,-1,21931.4,21825.92142857143,21720.442857142858,210.95714285714297,2022-07-19 04:00:00+00:00,SECOND_FAIL_FIRST,2022-07-19 05:15:00+00:00,22000.9,-0.3541003589083628,1.25,0.5863750253944465,0.580212636283612
927,2022-07-25 03:45:00+00:00,-1,21858.0,21798.310714285715,21738.62142857143,119.3785714285719,2022-07-25 14:00:00+00:00,EXTENSION050_FIRST,2022-07-25 14:15:00+00:00,21738.62142857143,-1.2203075450248044,0.25,1.5193561897923555,0.18111649614074374
