flow_id_new,signal_time,side,signed12_atr,signal_close,atr14,level,touch_time,class_time,state,class_price,pressure_mag_60,response_60,fut_elasticity_60,prior_n,pressure_med90,response_med90,book_state,response_router
85,2026-08-25 14:15:00+00:00,-1,-0.02491770649928071,79175.8,373.2285714285691,78100.1,2026-08-25 21:00:00+00:00,2026-08-25 21:45:00+00:00,REJECT,78535.8,8.224716426947321,1.9342034754650503,0.2351696247092312,81,1.2548235402086303,1.0301732528713448,DRIVEN_MOVE,HIGH_RESPONSE
86,2026-08-27 09:45:00+00:00,1,0.6422601136743303,79957.8,299.09999999999854,80499.9,2026-08-27 15:00:00+00:00,2026-08-27 15:00:00+00:00,ACCEPT,80638.1,2.3391755176530706,2.2343697759946712,0.9551954349438675,81,1.3087518696119238,1.0363075591147302,DRIVEN_MOVE,HIGH_RESPONSE
87,2026-08-28 04:45:00+00:00,-1,6.541162288412278,79616.3,284.41428571428696,79560.2,2026-08-28 05:00:00+00:00,2026-08-28 05:45:00+00:00,REJECT,79657.7,3.8461526505442127,0.5871716309206866,0.15266467149649002,82,1.3285584298760513,1.0710949560279435,ABSORPTION,LOW_RESPONSE
88,2026-08-28 16:45:00+00:00,-1,0.22801793721972569,77755.9,597.3214285714296,76853.1,,,NO_TOUCH,,,,,0,,,UNRESOLVED,UNRESOLVED
89,2026-08-30 01:45:00+00:00,1,8.778904333605924,78050.8,87.35714285714182,78314.9,2026-08-30 12:00:00+00:00,2026-08-30 12:00:00+00:00,ACCEPT,78624.1,0.8015312499863104,0.2552739165985645,0.31848279976972127,82,1.4050031987004112,1.0332404059930376,WEAK,LOW_RESPONSE
90,2026-08-30 15:00:00+00:00,1,-4.972656250000002,78635.9,204.79999999999876,78939.9,2026-08-30 16:00:00+00:00,2026-08-30 16:00:00+00:00,ACCEPT,79084.9,0.3825738536478154,0.22119140625001554,0.5781665530484394,81,1.348364990140179,1.008528101987955,WEAK,LOW_RESPONSE
91,2026-08-31 10:00:00+00:00,1,1.66104789540607,78491.3,219.07857142856977,78776.4,2026-08-31 16:45:00+00:00,2026-08-31 17:30:00+00:00,ACCEPT,78879.1,1.447109024146266,0.045645723973786655,0.03154269872701245,82,1.3285584298760513,1.0022845127555708,ABSORPTION,LOW_RESPONSE
92,2026-09-01 08:30:00+00:00,-1,2.7695403082799817,77936.1,209.45714285713933,77836.4,2026-09-01 08:30:00+00:00,2026-09-01 09:00:00+00:00,ACCEPT,77789.1,7.118783069497208,4.23762106124679,0.5952732398047478,83,1.348364990140179,0.9960409235231866,DRIVEN_MOVE,HIGH_RESPONSE
93,2026-09-01 21:00:00+00:00,-1,0.5406116251823212,77080.1,298.73571428571137,76368.0,,,NO_TOUCH,,,,,0,,,UNRESOLVED,UNRESOLVED
94,2026-09-02 09:45:00+00:00,-1,-2.373895696779738,76716.6,225.57857142856872,76476.1,2026-09-02 09:45:00+00:00,2026-09-02 10:30:00+00:00,REJECT,76576.7,4.550310065484424,1.7909502549001197,0.39358861904489933,83,1.348364990140179,1.008528101987955,DRIVEN_MOVE,HIGH_RESPONSE
95,2026-09-03 13:00:00+00:00,1,10.453274835474831,78516.8,227.92857142856934,78750.4,2026-09-03 13:30:00+00:00,2026-09-03 13:30:00+00:00,ACCEPT,78875.4,3.3854387567698665,2.300282043246665,0.6794634930691887,83,1.348364990140179,1.0301732528713448,DRIVEN_MOVE,HIGH_RESPONSE
96,2026-09-04 10:00:00+00:00,-1,5.965824468085091,80929.7,214.85714285714388,80458.0,2026-09-04 12:30:00+00:00,2026-09-04 12:30:00+00:00,ACCEPT,79653.0,1.3489151960684342,-0.008843085106355845,-0.006555701301408728,83,1.447109024146266,1.0363075591147302,WEAK,LOW_RESPONSE
97,2026-09-07 05:00:00+00:00,-1,3.155655342485898,79732.5,194.0642857142853,79500.8,2026-09-07 07:15:00+00:00,2026-09-07 07:15:00+00:00,ACCEPT,79390.8,1.4777622205812133,0.9960616879531241,0.674033801974831,83,1.447109024146266,1.0363075591147302,ABSORPTION,LOW_RESPONSE
98,2026-09-07 17:00:00+00:00,-1,2.383343539497883,79120.1,186.6285714285706,78636.0,2026-09-08 05:00:00+00:00,2026-09-08 05:00:00+00:00,UNRESOLVED,78675.3,,,,0,,,UNRESOLVED,UNRESOLVED
99,2026-09-08 05:00:00+00:00,-1,0.006681248757191988,78675.3,179.60714285714286,78650.0,2026-09-08 05:00:00+00:00,2026-09-08 05:30:00+00:00,ACCEPT,78596.1,1.0205548801166417,1.2805726784649036,1.2547808093559298,84,1.4543752157034548,1.0332404059930376,THIN_BOOK,HIGH_RESPONSE
