signal_time,side,signed12_atr,delta_ls_12,q20,q80,history_n,flow_id_new
2026-08-12 09:45:00+00:00,1,-6.899054116917359,-0.04471533000000005,-0.04106614199999998,0.04311316999999991,8640,65
2026-08-12 21:45:00+00:00,-1,-3.143873630283192,0.05410175000000006,-0.04103216200000007,0.043768290000000154,8640,66
2026-08-13 11:15:00+00:00,-1,-0.42725892785807645,0.04781458000000005,-0.041398454000000126,0.043457849999999985,8640,67
2026-08-14 06:45:00+00:00,-1,0.4521688753711148,0.04611620999999988,-0.041558807999999996,0.043543018000000114,8640,68
2026-08-14 18:45:00+00:00,1,1.5441964548613276,-0.1320244800000001,-0.041756615999999976,0.04381384999999998,8640,69
2026-08-15 11:30:00+00:00,-1,-1.5549273021002163,0.05227967999999983,-0.04192187599999997,0.043712902000000185,8640,70
2026-08-15 23:30:00+00:00,1,-5.247097844112516,-0.059428500000000106,-0.04200650200000004,0.043543018000000114,8640,71
2026-08-16 16:15:00+00:00,-1,-5.727552816901211,0.06970410000000005,-0.041912163999999884,0.04292788000000015,8640,72
2026-08-17 04:15:00+00:00,1,4.076233408464804,-0.1132133500000001,-0.04173371200000004,0.04318508200000004,8640,73
2026-08-17 16:15:00+00:00,1,0.38673373689148605,-0.19445559,-0.04255106200000007,0.043037717999999676,8640,74
2026-08-18 04:15:00+00:00,-1,-6.454193331087955,0.08181103999999984,-0.0430615819999999,0.043033261999999795,8640,75
2026-08-18 16:15:00+00:00,1,-1.7446548564447388,-0.16407472999999984,-0.042555514000000016,0.04311316999999991,8640,76
2026-08-19 04:15:00+00:00,-1,-64.64919231941467,0.058023999999999853,-0.04257781200000003,0.04342604399999999,8640,77
2026-08-19 16:15:00+00:00,1,0.7048914125276157,-0.21363185000000007,-0.04288673800000011,0.04369525000000018,8640,78
2026-08-20 06:45:00+00:00,1,13.394034536891736,-0.04312928999999999,-0.04309221399999994,0.043712902000000185,8640,79
2026-08-20 18:45:00+00:00,1,9.572224585282854,-0.05519133999999992,-0.04338507200000006,0.04336661,8640,80
2026-08-21 06:45:00+00:00,1,4.619003690036856,-0.05645142000000003,-0.043499039999999926,0.04324764399999999,8640,81
2026-08-23 05:00:00+00:00,1,5.558517914835456,-0.043559960000000064,-0.04283170800000011,0.04312190200000009,8640,82
2026-08-24 11:15:00+00:00,1,4.037700282752039,-0.04758364000000004,-0.04257781200000003,0.04292788000000015,8640,83
2026-08-25 02:15:00+00:00,1,-4.543627900289369,-0.06652877999999995,-0.04292259799999986,0.041863028,8640,84
2026-08-25 14:15:00+00:00,-1,-0.02491770649928071,0.06539325000000007,-0.04313053,0.04165978999999975,8640,85
2026-08-27 09:45:00+00:00,1,0.6422601136743303,-0.06037516999999992,-0.04279938799999998,0.040634229999999966,8640,86
2026-08-28 04:45:00+00:00,-1,6.541162288412278,0.04073340000000003,-0.04290646399999991,0.04032797800000001,8640,87
2026-08-28 16:45:00+00:00,-1,0.22801793721972569,0.10139122,-0.04279938799999998,0.040598806000000015,8640,88
