parent_id,parent_time,parent_i,signal_time,signal_i,event_time,event_i,impulse_dir,split,child_rule,event_open,event_high,event_low,event_close,child_range,parent_exit_i,router_conf,p_rev,p_cont,source_row,entry,filled,fill_time,fill_i,outcome,gross_R,cost_R,signal_net_R,stop_frac,exit_time,episode_7d,prior_virtual_fills,vf1_mature,real_fill,real_R
23,2021-07-31 03:45:00+00:00,20232,2021-07-31 04:00:00+00:00,20233,2021-07-31 03:45:00+00:00,20233,1.0,DEV_2021_2024,BREAK_CONFIRM_12H,41810.0,41876.34,41500.0,41653.14,376.3399999999965,20328,0.38716391348861073,0.38716391348861073,0.17100885140073718,23,41841.31,True,2021-07-31 05:00:00+00:00,20237.0,TP,1.5,0.055589772546102444,1.4444102274538975,0.00899446025948988,2021-07-31 05:30:00+00:00,10,5,True,True,1.4444102274538975
24,2021-08-04 11:45:00+00:00,20648,2021-08-04 12:00:00+00:00,20649,2021-08-04 11:45:00+00:00,20649,-1.0,DEV_2021_2024,BREAK_CONFIRM_12H,38160.06,38415.0,38154.32,38374.96,260.6800000000003,20744,0.36660105646674956,0.36660105646674956,0.18280438728193402,24,38244.619999999995,False,,,NO_FILL,0.0,0.0,0.0,0.006816122110770099,,10,6,True,False,0.0
25,2021-08-10 03:45:00+00:00,21192,2021-08-10 04:30:00+00:00,21195,2021-08-10 03:45:00+00:00,21195,1.0,DEV_2021_2024,BREAK_CONFIRM_12H,45749.62,45757.72,45500.0,45544.13,257.72000000000116,21288,0.35187979747605075,0.35187979747605075,0.13938400740875392,25,45672.99,True,2021-08-10 05:00:00+00:00,21197.0,SL,-1.0,0.08860971209064061,-1.0886097120906406,0.005642722317938921,2021-08-10 07:45:00+00:00,10,6,True,True,-1.0886097120906406
26,2021-08-14 11:45:00+00:00,21590,2021-08-14 12:15:00+00:00,21592,2021-08-14 11:45:00+00:00,21592,1.0,DEV_2021_2024,BREAK_CONFIRM_12H,46407.88,46474.57,46263.06,46310.5,211.51000000000204,21686,0.34212964694259124,0.34212964694259124,0.1739727251691006,26,46416.255000000005,True,2021-08-14 12:30:00+00:00,21593.0,SL,-1.0,0.109725911304429,-1.109725911304429,0.004556808816221861,2021-08-14 14:00:00+00:00,10,7,True,True,-1.109725911304429
27,2021-08-21 19:45:00+00:00,22294,2021-08-21 22:30:00+00:00,22305,2021-08-21 19:45:00+00:00,22305,1.0,DEV_2021_2024,BREAK_CONFIRM_12H,49295.63,49370.96,49156.0,49229.0,214.95999999999913,22390,0.3167368055580143,0.3167368055580143,0.124383310320356,27,49336.479999999996,True,2021-08-21 22:45:00+00:00,22306.0,TP,1.5,0.1147573502046897,1.3852426497953103,0.004357019390114559,2021-08-21 23:30:00+00:00,11,0,False,False,0.0
28,2021-08-23 07:45:00+00:00,22438,2021-08-23 08:30:00+00:00,22441,2021-08-23 07:45:00+00:00,22441,1.0,DEV_2021_2024,BREAK_CONFIRM_12H,50208.19,50217.0,50118.88,50122.87,98.12000000000262,22534,0.3641551374221976,0.3641551374221976,0.15524245099267833,28,50171.93000000001,True,2021-08-23 08:45:00+00:00,22442.0,SL,-1.0,0.25566617407255743,-1.2556661740725574,0.001955675215205048,2021-08-23 08:45:00+00:00,11,1,True,True,-1.2556661740725574
29,2021-08-23 11:45:00+00:00,22454,2021-08-23 12:30:00+00:00,22457,2021-08-23 11:45:00+00:00,22457,1.0,DEV_2021_2024,BREAK_CONFIRM_12H,50377.52,50408.02,50235.04,50256.67,172.97999999999593,22550,0.33602391874346815,0.33602391874346815,0.1402655715761868,29,50343.159999999996,False,,,NO_FILL,0.0,0.0,0.0,0.0034360179217990277,,11,2,True,False,0.0
30,2021-09-15 03:45:00+00:00,24630,2021-09-15 04:45:00+00:00,24634,2021-09-15 03:45:00+00:00,24634,1.0,DEV_2021_2024,BREAK_CONFIRM_12H,46990.01,47054.27,46831.78,46867.71,222.48999999999796,24726,0.359158949416678,0.359158949416678,0.13875114806568112,30,46978.955,True,2021-09-15 05:00:00+00:00,24635.0,SL,-1.0,0.1055754303564215,-1.1055754303564216,0.004735950384592376,2021-09-15 07:45:00+00:00,12,0,False,False,0.0
31,2021-09-15 19:45:00+00:00,24694,2021-09-15 20:15:00+00:00,24696,2021-09-15 19:45:00+00:00,24696,1.0,DEV_2021_2024,BREAK_CONFIRM_12H,48051.75,48113.75,47976.38,48010.69,137.37000000000262,24790,0.3243919085854328,0.3243919085854328,0.1182931741199272,31,48079.375,True,2021-09-15 21:15:00+00:00,24700.0,SL,-1.0,0.17499954502438336,-1.1749995450243833,0.0028571502853355023,2021-09-15 21:30:00+00:00,12,1,True,True,-1.1749995450243833
32,2021-09-15 23:45:00+00:00,24710,2021-09-16 00:30:00+00:00,24713,2021-09-15 23:45:00+00:00,24713,1.0,DEV_2021_2024,BREAK_CONFIRM_12H,48015.46,48023.09,47841.55,47883.37,181.5399999999936,24806,0.32076926152975815,0.32076926152975815,0.14214750421236966,32,47974.14,True,2021-09-16 01:00:00+00:00,24715.0,TP,1.5,0.13213104549961907,1.367868954500381,0.003784122029076365,2021-09-16 03:15:00+00:00,12,2,True,True,1.367868954500381
