parent_id,parent_time,parent_i,signal_time,signal_i,event_time,event_i,impulse_dir,split,child_rule,event_open,event_high,event_low,event_close,child_range,parent_exit_i,router_conf,p_rev,p_cont,source_row,entry,filled,fill_time,fill_i,outcome,gross_R,cost_R,signal_net_R,stop_frac,exit_time,episode_7d,prior_virtual_fills,vf1_mature,real_fill,real_R
121,2024-06-18 03:45:00+00:00,121289,2024-06-18 04:15:00+00:00,121291,2024-06-18 03:45:00+00:00,121291,-1.0,DEV_2021_2024,TWO_BAR_CONFIRM_12H,65582.26,65769.25,65544.37,65704.0,224.88000000000466,121385,0.3805891534521017,0.3805891534521017,0.206486935060923,121,65591.56,True,2024-06-18 04:30:00+00:00,121292.0,SL,-1.0,0.14583680184987247,-1.1458368018498724,0.0034284898849791753,2024-06-18 10:00:00+00:00,57,0,False,False,0.0
122,2024-07-20 19:45:00+00:00,124425,2024-07-20 21:00:00+00:00,124430,2024-07-20 19:45:00+00:00,124430,1.0,DEV_2021_2024,TWO_BAR_CONFIRM_12H,67339.28,67342.7,66790.9,67081.41,551.8000000000029,124521,0.3279668811870332,0.3279668811870332,0.1166155463878446,122,67357.31,False,,,NO_FILL,0.0,0.0,0.0,0.008192132375832748,,58,0,False,False,0.0
123,2024-07-22 03:45:00+00:00,124553,2024-07-22 04:30:00+00:00,124556,2024-07-22 03:45:00+00:00,124556,1.0,DEV_2021_2024,TWO_BAR_CONFIRM_12H,67915.99,67942.01,67806.0,67860.01,136.00999999999476,124649,0.3841195046998971,0.3841195046998971,0.1321576281543058,123,67928.01499999998,True,2024-07-22 04:45:00+00:00,124557.0,TP,1.5,0.2497169877215006,1.2502830122784994,0.002002266664203198,2024-07-22 05:15:00+00:00,58,0,False,False,0.0
124,2024-07-29 07:45:00+00:00,125241,2024-07-29 08:30:00+00:00,125244,2024-07-29 07:45:00+00:00,125244,1.0,DEV_2021_2024,TWO_BAR_CONFIRM_12H,69595.99,69632.0,69375.0,69410.01,257.0,125337,0.3335577538088327,0.3335577538088327,0.1914434665277634,124,69538.51,True,2024-07-29 09:00:00+00:00,125246.0,SL,-1.0,0.1352889299610895,-1.1352889299610895,0.0036957938845684213,2024-07-29 11:00:00+00:00,59,0,False,False,0.0
125,2024-08-03 03:45:00+00:00,125705,2024-08-03 05:45:00+00:00,125713,2024-08-03 03:45:00+00:00,125713,-1.0,DEV_2021_2024,TWO_BAR_CONFIRM_12H,61584.0,61720.34,61579.96,61693.99,140.37999999999738,125801,0.3958509552338636,0.3958509552338636,0.2509218073455325,125,61623.8,False,,,NO_FILL,0.0,0.0,0.0,0.0022780159613655336,,59,1,True,False,0.0
126,2024-08-27 23:45:00+00:00,128089,2024-08-28 01:45:00+00:00,128097,2024-08-27 23:45:00+00:00,128097,-1.0,DEV_2021_2024,TWO_BAR_CONFIRM_12H,59181.12,59459.45,59100.0,59383.63,359.4499999999971,128185,0.3897028621979364,0.3897028621979364,0.1964930558336911,126,59203.905,True,2024-08-28 02:15:00+00:00,128099.0,SL,-1.0,0.08235346362498328,-1.0823534636249832,0.006071390054422881,2024-08-28 07:30:00+00:00,60,0,False,False,0.0
127,2024-09-02 03:45:00+00:00,128585,2024-09-02 05:15:00+00:00,128591,2024-09-02 03:45:00+00:00,128591,-1.0,DEV_2021_2024,TWO_BAR_CONFIRM_12H,57526.0,57700.08,57510.67,57694.01,189.4100000000035,128681,0.3573838410521172,0.3573838410521172,0.1905170486737726,127,57599.305,False,,,NO_FILL,0.0,0.0,0.0,0.0032884077333919827,,60,1,True,False,0.0
128,2024-09-12 03:45:00+00:00,129545,2024-09-12 04:30:00+00:00,129548,2024-09-12 03:45:00+00:00,129548,1.0,DEV_2021_2024,TWO_BAR_CONFIRM_12H,58371.99,58388.0,58239.83,58327.54,148.16999999999825,129641,0.3470124734692993,0.3470124734692993,0.1644413963790172,128,58401.625,False,,,NO_FILL,0.0,0.0,0.0,0.002537086938933604,,61,0,False,False,0.0
129,2024-09-27 11:45:00+00:00,131017,2024-09-27 13:00:00+00:00,131022,2024-09-27 11:45:00+00:00,131022,1.0,DEV_2021_2024,TWO_BAR_CONFIRM_12H,65741.19,65791.95,65632.0,65644.0,159.9499999999971,131113,0.3259746518296628,0.3259746518296628,0.1368709462881662,129,65723.975,True,2024-09-27 13:15:00+00:00,131023.0,TP,1.5,0.20545162550797502,1.294548374492025,0.0024336629061160265,2024-09-27 13:30:00+00:00,62,0,False,False,0.0
130,2024-10-21 03:45:00+00:00,133289,2024-10-21 04:15:00+00:00,133291,2024-10-21 03:45:00+00:00,133291,1.0,DEV_2021_2024,TWO_BAR_CONFIRM_12H,68857.45,68895.49,68796.38,68807.98,99.11000000000058,133385,0.3893220899773907,0.3893220899773907,0.1748668372442514,130,68857.535,True,2024-10-21 04:30:00+00:00,133292.0,SL,-1.0,0.34737935122590863,-1.3473793512259087,0.0014393486493526173,2024-10-21 04:45:00+00:00,63,0,False,False,0.0
131,2024-11-26 23:45:00+00:00,136825,2024-11-27 00:00:00+00:00,136826,2024-11-26 23:45:00+00:00,136826,-1.0,DEV_2021_2024,TWO_BAR_CONFIRM_12H,91965.16,92428.58,91812.0,92427.99,616.5800000000017,136921,0.3604776674300868,0.3604776674300868,0.2110338078658887,131,92119.70000000001,True,2024-11-27 00:30:00+00:00,136828.0,TP,1.5,0.07470214732881358,1.4252978526711864,0.0066932480240383075,2024-11-27 04:15:00+00:00,64,0,False,False,0.0
132,2024-12-05 23:45:00+00:00,137689,2024-12-06 00:30:00+00:00,137692,2024-12-05 23:45:00+00:00,137692,-1.0,DEV_2021_2024,TWO_BAR_CONFIRM_12H,96911.77,97757.51,96878.68,97479.98,878.8300000000017,137785,0.3751576514555758,0.3751576514555758,0.1774306205960131,132,97040.565,False,,,NO_FILL,0.0,0.0,0.0,0.009056315778870432,,65,0,False,False,0.0
133,2024-12-15 07:45:00+00:00,138585,2024-12-15 13:00:00+00:00,138606,2024-12-15 07:45:00+00:00,138606,1.0,DEV_2021_2024,TWO_BAR_CONFIRM_12H,102946.55,102987.43,102654.0,102800.01,333.429999999993,138681,0.4523481458701806,0.4523481458701806,0.1019426630456736,133,102966.72499999999,True,2024-12-15 14:00:00+00:00,138610.0,SL,-1.0,0.15440530996011478,-1.1544053099601148,0.0032382306031389562,2024-12-15 16:30:00+00:00,66,0,False,False,0.0
134,2024-12-15 19:45:00+00:00,138633,2024-12-15 20:45:00+00:00,138637,2024-12-15 19:45:00+00:00,138637,1.0,DEV_2021_2024,TWO_BAR_CONFIRM_12H,103168.14,103198.33,103066.67,103144.83,131.6600000000035,138729,0.3792840082070295,0.3792840082070295,0.0769199335821582,134,103210.66,False,,,NO_FILL,0.0,0.0,0.0,0.0012756434267545958,,66,1,True,False,0.0
135,2025-01-06 07:45:00+00:00,140697,2025-01-06 08:30:00+00:00,140700,2025-01-06 07:45:00+00:00,140700,1.0,BRIDGE_2025,TWO_BAR_CONFIRM_12H,99395.08,99426.38,99000.0,99046.63,426.38000000000466,140793,0.3690830595381497,0.3690830595381497,0.1530121651200657,135,99259.82,False,,,NO_FILL,0.0,0.0,0.0,0.00429559513607827,,67,0,False,False,0.0
136,2025-01-07 03:45:00+00:00,140777,2025-01-07 04:45:00+00:00,140781,2025-01-07 03:45:00+00:00,140781,1.0,BRIDGE_2025,TWO_BAR_CONFIRM_12H,101780.41,101812.0,101667.01,101667.02,144.99000000000524,140873,0.366617027568789,0.366617027568789,0.1479121030400835,136,101739.51500000001,True,2025-01-07 05:00:00+00:00,140782.0,SL,-1.0,0.35085011035242547,-1.3508501103524255,0.0014251099978214484,2025-01-07 06:15:00+00:00,67,0,False,False,0.0
137,2025-01-08 19:45:00+00:00,140937,2025-01-08 20:30:00+00:00,140940,2025-01-08 19:45:00+00:00,140940,-1.0,BRIDGE_2025,TWO_BAR_CONFIRM_12H,94012.49,94238.74,93968.19,94201.03,270.5500000000029,141033,0.3646617228790201,0.3646617228790201,0.2052578970249751,137,94065.755,True,2025-01-08 20:45:00+00:00,140941.0,SL,-1.0,0.173841720569209,-1.173841720569209,0.0028761795405777895,2025-01-08 21:00:00+00:00,67,1,True,True,-1.173841720569209
138,2025-01-09 23:45:00+00:00,141049,2025-01-10 00:00:00+00:00,141050,2025-01-09 23:45:00+00:00,141050,-1.0,BRIDGE_2025,TWO_BAR_CONFIRM_12H,92552.49,92764.54,92524.08,92637.77,240.45999999999185,141145,0.3871165801092966,0.3871165801092966,0.2045473367991304,138,92517.54000000001,True,2025-01-10 00:15:00+00:00,141051.0,TP,1.5,0.19237615403810018,1.3076238459618998,0.002599074726803067,2025-01-10 01:00:00+00:00,67,2,True,True,1.3076238459618998
139,2025-01-15 03:45:00+00:00,141545,2025-01-15 04:15:00+00:00,141547,2025-01-15 03:45:00+00:00,141547,1.0,BRIDGE_2025,TWO_BAR_CONFIRM_12H,97296.57,97430.96,97072.7,97260.96,358.2600000000093,141641,0.341803308675045,0.341803308675045,0.1523442408905179,139,97440.09000000001,False,,,NO_FILL,0.0,0.0,0.0,0.0036767207419452228,,67,3,True,False,0.0
140,2025-01-15 07:45:00+00:00,141561,2025-01-15 08:45:00+00:00,141565,2025-01-15 07:45:00+00:00,141565,1.0,BRIDGE_2025,TWO_BAR_CONFIRM_12H,97386.77,97386.78,97184.61,97202.26,202.16999999999825,141657,0.3584761664241199,0.3584761664241199,0.1397231955742087,140,97303.345,True,2025-01-15 09:00:00+00:00,141566.0,TP,1.5,0.2406473388732276,1.2593526611267725,0.002077729188035604,2025-01-15 09:15:00+00:00,67,3,True,True,1.2593526611267725
141,2025-01-16 03:45:00+00:00,141641,2025-01-16 04:30:00+00:00,141644,2025-01-16 03:45:00+00:00,141644,1.0,BRIDGE_2025,TWO_BAR_CONFIRM_12H,99610.01,99698.7,99596.32,99600.0,102.3799999999901,141737,0.3466281736496792,0.3466281736496792,0.1596568589696747,141,99651.19,False,,,NO_FILL,0.0,0.0,0.0,0.001027383616793639,,67,4,True,False,0.0
142,2025-02-02 19:45:00+00:00,143337,2025-02-02 22:00:00+00:00,143346,2025-02-02 19:45:00+00:00,143346,-1.0,BRIDGE_2025,TWO_BAR_CONFIRM_12H,97020.56,97709.18,96980.96,97509.53,728.2199999999866,143433,0.313810029849091,0.313810029849091,0.2958656859170019,142,97145.42000000001,True,2025-02-02 22:30:00+00:00,143348.0,SL,-1.0,0.06670059872016822,-1.0667005987201683,0.0074961845859535785,2025-02-02 22:30:00+00:00,68,0,False,False,0.0
143,2025-02-02 23:45:00+00:00,143353,2025-02-03 03:15:00+00:00,143367,2025-02-02 23:45:00+00:00,143367,-1.0,BRIDGE_2025,TWO_BAR_CONFIRM_12H,94348.07,94688.0,94280.21,94436.0,407.7899999999936,143449,0.3389049086897864,0.3389049086897864,0.2266341417431717,143,94232.10500000001,True,2025-02-03 03:30:00+00:00,143368.0,SL,-1.0,0.11553998994580728,-1.1155399899458072,0.004327506002333213,2025-02-03 03:30:00+00:00,68,1,True,True,-1.1155399899458072
144,2025-02-12 15:45:00+00:00,144281,2025-02-12 16:30:00+00:00,144284,2025-02-12 15:45:00+00:00,144284,-1.0,BRIDGE_2025,TWO_BAR_CONFIRM_12H,95384.61,95960.0,95363.02,95960.0,596.9799999999959,144377,0.3269065290099921,0.3269065290099921,0.1367863186067273,144,95661.51000000001,False,,,NO_FILL,0.0,0.0,0.0,0.006240545439853457,,69,0,False,False,0.0
145,2025-02-18 19:45:00+00:00,144873,2025-02-18 20:00:00+00:00,144874,2025-02-18 19:45:00+00:00,144874,-1.0,BRIDGE_2025,TWO_BAR_CONFIRM_12H,94104.15,94458.4,93957.61,94444.0,500.7899999999936,144969,0.3257543318697294,0.3257543318697294,0.153862906367654,145,94193.60500000001,True,2025-02-18 20:15:00+00:00,144875.0,TP,1.5,0.09404501387807386,1.405954986121926,0.005316602968959448,2025-02-18 21:00:00+00:00,69,0,False,False,0.0
146,2025-02-25 03:45:00+00:00,145481,2025-02-25 05:45:00+00:00,145489,2025-02-25 03:45:00+00:00,145489,-1.0,BRIDGE_2025,TWO_BAR_CONFIRM_12H,91932.0,92086.96,91850.0,92070.34,236.9600000000064,145577,0.3596467025426288,0.3596467025426288,0.2108689519045001,146,91951.85999999999,True,2025-02-25 06:00:00+00:00,145490.0,SL,-1.0,0.1940240124915545,-1.1940240124915544,0.002577000617497095,2025-02-25 06:15:00+00:00,69,1,True,True,-1.1940240124915544
147,2025-02-25 15:45:00+00:00,145529,2025-02-25 16:45:00+00:00,145533,2025-02-25 15:45:00+00:00,145533,-1.0,BRIDGE_2025,TWO_BAR_CONFIRM_12H,87278.01,87777.0,87222.0,87460.0,555.0,145625,0.3559319442065428,0.3559319442065428,0.3392541875220193,147,87182.5,True,2025-02-25 17:00:00+00:00,145534.0,SL,-1.0,0.0785427927927928,-1.0785427927927929,0.006365956470621971,2025-02-25 19:15:00+00:00,69,2,True,True,-1.0785427927927929
148,2025-02-26 23:45:00+00:00,145657,2025-02-27 00:00:00+00:00,145658,2025-02-26 23:45:00+00:00,145658,-1.0,BRIDGE_2025,TWO_BAR_CONFIRM_12H,84250.09,84641.51,84236.69,84333.95,404.81999999999243,145753,0.3802357965602344,0.3802357965602344,0.2190798140397047,148,84131.54000000001,True,2025-02-27 00:15:00+00:00,145659.0,TP,1.5,0.10391228200187934,1.3960877179981206,0.004811750741755023,2025-02-27 00:30:00+00:00,69,3,True,True,1.3960877179981206
149,2025-03-11 03:45:00+00:00,146825,2025-03-11 04:15:00+00:00,146827,2025-03-11 03:45:00+00:00,146827,-1.0,BRIDGE_2025,TWO_BAR_CONFIRM_12H,79801.53,80245.02,79790.21,80097.75,454.8099999999977,146921,0.3730929211876581,0.3730929211876581,0.2122020804927859,149,79870.345,True,2025-03-11 04:30:00+00:00,146828.0,TP,1.5,0.08780627624722458,1.4121937237527755,0.005694353767972301,2025-03-11 07:15:00+00:00,70,0,False,False,0.0
150,2025-03-20 03:45:00+00:00,147689,2025-03-20 04:00:00+00:00,147690,2025-03-20 03:45:00+00:00,147690,1.0,BRIDGE_2025,TWO_BAR_CONFIRM_12H,85891.01,85930.39,85801.44,85825.55,128.9499999999971,147785,0.3643028231941455,0.3643028231941455,0.1544054008050998,150,85890.025,False,,,NO_FILL,0.0,0.0,0.0,0.0015013384848822327,,71,0,False,False,0.0
151,2025-03-29 19:45:00+00:00,148617,2025-03-29 23:00:00+00:00,148630,2025-03-29 19:45:00+00:00,148630,-1.0,BRIDGE_2025,TWO_BAR_CONFIRM_12H,82389.75,82478.75,82342.0,82458.62,136.75,148713,0.3586077475509763,0.3586077475509763,0.1387055699470495,151,82390.245,False,,,NO_FILL,0.0,0.0,0.0,0.0016597838736855317,,72,0,False,False,0.0
152,2025-04-02 23:45:00+00:00,149017,2025-04-03 02:15:00+00:00,149027,2025-04-02 23:45:00+00:00,149027,1.0,BRIDGE_2025,TWO_BAR_CONFIRM_12H,83715.36,83748.55,83313.13,83423.04,435.41999999999825,149113,0.3626907619892936,0.3626907619892936,0.2135669277750424,152,83640.75,True,2025-04-03 02:30:00+00:00,149028.0,TP,1.5,0.09604605897753932,1.4039539410224606,0.005205835672205214,2025-04-03 12:00:00+00:00,72,0,False,False,0.0
153,2025-04-12 23:45:00+00:00,149977,2025-04-13 01:45:00+00:00,149985,2025-04-12 23:45:00+00:00,149985,1.0,BRIDGE_2025,TWO_BAR_CONFIRM_12H,85726.99,85812.94,85142.46,85259.77,670.4799999999959,150073,0.3201493552834373,0.3201493552834373,0.1359238238629201,153,85595.01000000001,False,,,NO_FILL,0.0,0.0,0.0,0.00783316691008034,,73,0,False,False,0.0
