available_time,close,atr14,bias,D1_HTF_BIAS,D2_TREND_PRESSURE,D14_CONCORDANCE,resolution,target_dir,touch_time,time_to_touch_min,close_ret_atr_24h
2022-11-22 20:00:00,1739.59,7.916641226524787,NEUTRAL,0,0,0,NO_BREAKOUT,0.0,,,0.4698962468497536
2022-11-23 00:00:00,1740.15,7.6154525674873055,NEUTRAL,0,0,0,NO_BREAKOUT,0.0,,,1.2356455399872124
2022-11-23 04:00:00,1740.28,7.345777384095365,NEUTRAL,0,0,0,NO_BREAKOUT,0.0,,,2.077383944827953
2022-11-23 08:00:00,1736.53,7.448936142374265,NEUTRAL,0,0,0,BULL_FIRST,1.0,2022-11-23 09:37:00,97.0,2.2352185173510013
2022-11-23 12:00:00,1739.55,7.644726417918965,NEUTRAL,0,0,0,BEAR_FIRST,-1.0,2022-11-23 15:30:00,210.0,2.1897448103259847
2022-11-23 16:00:00,1736.72,8.26081738806761,NEUTRAL,0,0,0,BULL_FIRST,1.0,2022-11-23 16:50:00,50.0,2.448910204602921
2022-11-23 20:00:00,1743.31,8.531473288919921,NEUTRAL,0,0,0,BULL_FIRST,1.0,2022-11-23 21:03:00,63.0,1.417105767148306
2022-11-24 00:00:00,1749.56,8.689225196854213,NEUTRAL,0,0,0,NO_BREAKOUT,0.0,,,0.6571356905408833
2022-11-24 08:00:00,1753.18,8.230811521777351,BULL,1,1,1,NO_BREAKOUT,0.0,,,0.4191567248104178
2022-11-24 12:00:00,1756.29,8.05432498450754,BULL,1,1,1,NO_BREAKOUT,0.0,,,-0.666722538552773
2022-11-24 16:00:00,1756.95,7.7704446284712985,BULL,1,1,1,NO_BREAKOUT,0.0,,,-1.1067577740003842
2022-11-24 20:00:00,1755.4,7.472555726437628,BULL,1,1,1,NO_BREAKOUT,0.0,,,-0.29574888176225134
2022-11-25 00:00:00,1755.27,7.061658888834942,BULL,1,1,1,NO_BREAKOUT,0.0,,,0.1175361219036259
2022-11-25 04:00:00,1756.61,6.930111825346734,BULL,1,1,1,BEAR_FIRST,-1.0,2022-11-25 11:46:00,466.0,
2022-11-25 08:00:00,1756.63,6.820103837821975,BULL,1,1,1,BEAR_FIRST,-1.0,2022-11-25 11:46:00,226.0,
2022-11-25 12:00:00,1750.92,6.890810706548973,BULL,1,0,0,NO_BREAKOUT,0.0,,,
2022-11-25 16:00:00,1748.35,7.006467084652617,BULL,1,0,0,BULL_FIRST,1.0,2022-11-25 19:11:00,191.0,
2022-11-25 20:00:00,1753.19,7.109576578606005,BULL,1,1,1,NO_BREAKOUT,0.0,,,
2022-11-26 00:00:00,1756.1,6.8524639658484325,BULL,1,1,1,NO_BREAKOUT,0.0,,,
2022-11-28 04:00:00,1746.85,7.083716539716396,BULL,1,0,0,BULL_FIRST,1.0,2022-11-28 09:14:00,314.0,-0.0734077933644703
2022-11-28 08:00:00,1749.47,7.007022501165224,BULL,1,0,0,BULL_FIRST,1.0,2022-11-28 10:26:00,146.0,0.670755659656932
2022-11-28 12:00:00,1760.95,7.483663751081982,BULL,1,1,1,BEAR_FIRST,-1.0,2022-11-28 15:07:00,187.0,-0.917999555900258
2022-11-30 08:00:00,1753.81,7.490349936842841,BULL,1,1,1,BULL_FIRST,1.0,2022-11-30 11:12:00,192.0,3.507179266857151
2022-12-09 12:00:00,1792.69,7.954300381376102,BULL,1,1,1,BULL_FIRST,1.0,2022-12-09 13:51:00,111.0,
2022-12-13 12:00:00,1784.52,7.4454549483333805,BULL,1,0,0,BULL_FIRST,1.0,2022-12-13 15:29:00,209.0,3.1025639346821516
2022-12-23 08:00:00,1794.76,8.171054110908369,NEUTRAL,0,0,0,NO_BREAKOUT,0.0,,,
2022-12-23 12:00:00,1798.62,7.926693102986342,NEUTRAL,0,0,0,NO_BREAKOUT,0.0,,,
2022-12-23 16:00:00,1794.25,7.8633578813444585,NEUTRAL,0,0,0,BULL_FIRST,1.0,2022-12-23 18:10:00,130.0,
2022-12-23 20:00:00,1797.19,8.162403746962708,NEUTRAL,0,0,0,NO_BREAKOUT,0.0,,,
2022-12-24 00:00:00,1798.0,7.910089193608237,NEUTRAL,0,0,0,NO_BREAKOUT,0.0,,,
2022-12-27 04:00:00,1804.5,7.8157971083505,BULL,1,1,1,NO_BREAKOUT,0.0,,,1.0862615651740988
2022-12-27 08:00:00,1805.81,7.6232401720397425,BULL,1,1,1,NO_BREAKOUT,0.0,,,0.6099768464668345
2022-12-27 12:00:00,1808.59,7.423723016894042,BULL,1,1,1,BULL_FIRST,1.0,2022-12-27 17:10:00,310.0,-1.1436310299669665
2022-12-27 16:00:00,1806.48,7.293457087115889,BULL,1,1,1,BULL_FIRST,1.0,2022-12-27 17:08:00,68.0,-0.37156590730990013
2022-12-31 00:00:00,1824.51,7.703215889963313,BULL,1,1,1,NO_BREAKOUT,0.0,,,
2023-01-24 08:00:00,1934.04,9.205727329054469,BULL,1,1,1,NO_BREAKOUT,0.0,,,-0.7028233369002652
2023-01-24 12:00:00,1936.15,9.161032519836303,BULL,1,1,1,BEAR_FIRST,-1.0,2023-01-24 16:45:00,285.0,-0.8929124508932789
2023-01-24 16:00:00,1932.46,9.150958768419423,BULL,1,1,1,BEAR_FIRST,-1.0,2023-01-24 16:57:00,57.0,-1.1113589578282692
2023-01-25 04:00:00,1937.34,9.152137906055923,BULL,1,1,1,BEAR_FIRST,-1.0,2023-01-25 06:59:00,179.0,0.8992434428412917
2023-01-25 16:00:00,1922.29,9.283315225803536,BULL,1,0,0,BULL_FIRST,1.0,2023-01-25 16:45:00,45.0,1.6513497201289973
2023-01-31 00:00:00,1922.76,9.235945842014045,BULL,1,0,0,NO_BREAKOUT,0.0,,,0.5478594273455085
2023-01-31 04:00:00,1925.22,9.02980685329875,BULL,1,0,0,BEAR_FIRST,-1.0,2023-01-31 08:02:00,242.0,0.20487702893933674
2023-01-31 08:00:00,1917.31,9.052677792348833,NEUTRAL,0,0,0,BEAR_FIRST,-1.0,2023-01-31 10:14:00,134.0,0.9643555421113589
2023-02-01 20:00:00,1925.64,9.076368069945339,BULL,1,0,0,BULL_FIRST,1.0,2023-02-01 21:40:00,100.0,-1.4840737942970121
2023-02-09 16:00:00,1889.56,9.798942165029016,NEUTRAL,0,0,0,BEAR_FIRST,-1.0,2023-02-09 16:58:00,58.0,-2.3053508857946223
2023-02-21 08:00:00,1839.73,7.641000968530034,BEAR,-1,-1,-1,BEAR_FIRST,-1.0,2023-02-21 10:17:00,137.0,-0.35990049096002685
2023-02-21 12:00:00,1835.44,7.713072327920752,BEAR,-1,-1,-1,BULL_FIRST,1.0,2023-02-21 16:35:00,275.0,-0.1931785333590506
2023-02-21 16:00:00,1836.77,7.652138590212121,BEAR,-1,-1,-1,NO_BREAKOUT,0.0,,,0.2391488311961165
2023-02-21 20:00:00,1836.75,7.940557262339814,BEAR,-1,-1,-1,NO_BREAKOUT,0.0,,,-0.4558873993855186
2023-02-22 00:00:00,1834.6,7.783374600744114,BEAR,-1,-1,-1,NO_BREAKOUT,0.0,,,-1.2346829611774248
2023-02-22 04:00:00,1836.29,7.50313355783383,BEAR,-1,-1,-1,NO_BREAKOUT,0.0,,,-1.1355255686611718
2023-02-22 08:00:00,1836.98,7.177909732274274,BEAR,-1,-1,-1,BULL_FIRST,1.0,2023-02-22 14:32:00,392.0,-1.1214964105503407
2023-02-22 12:00:00,1833.95,7.253773322826096,BEAR,-1,-1,-1,BULL_FIRST,1.0,2023-02-22 14:18:00,138.0,-1.0628950832718043
2023-02-22 16:00:00,1838.6,7.7320752283385215,BEAR,-1,0,0,BEAR_FIRST,-1.0,2023-02-22 19:35:00,215.0,-1.6916545188361514
2023-02-22 20:00:00,1833.13,7.779069854885761,BEAR,-1,-1,-1,BEAR_FIRST,-1.0,2023-02-22 21:46:00,106.0,-1.5297458721914057
2023-02-23 00:00:00,1824.99,7.989136293822495,BEAR,-1,-1,-1,NO_BREAKOUT,0.0,,,-0.29790454342860767
2023-02-23 04:00:00,1827.77,7.821340844263736,BEAR,-1,-1,-1,NO_BREAKOUT,0.0,,,-0.22118969553268103
2023-02-23 08:00:00,1828.93,7.556245069673479,BEAR,-1,-1,-1,BEAR_FIRST,-1.0,2023-02-23 15:32:00,452.0,-0.5730359404803241
2023-02-23 12:00:00,1826.24,7.5943704218396535,BEAR,-1,-1,-1,BEAR_FIRST,-1.0,2023-02-23 15:42:00,222.0,-0.6122956534524265
2023-02-23 16:00:00,1825.52,7.8490582488510965,BEAR,-1,-1,-1,NO_BREAKOUT,0.0,,,-1.2396391632619421
2023-02-23 20:00:00,1821.23,8.123411231076023,BEAR,-1,-1,-1,NO_BREAKOUT,0.0,,,-1.3935032559591958
2023-02-24 00:00:00,1822.61,7.898881857427737,BEAR,-1,-1,-1,NO_BREAKOUT,0.0,,,-1.50527634348893
2023-02-24 04:00:00,1826.04,7.692533153325756,BEAR,-1,-1,-1,NO_BREAKOUT,0.0,,,
2023-02-24 08:00:00,1824.6,7.409495070945345,BEAR,-1,-1,-1,BEAR_FIRST,-1.0,2023-02-24 14:05:00,365.0,
2023-02-24 12:00:00,1821.59,7.348816851592103,BEAR,-1,-1,-1,BEAR_FIRST,-1.0,2023-02-24 15:30:00,210.0,
2023-02-24 16:00:00,1815.79,7.733187076478383,BEAR,-1,-1,-1,NO_BREAKOUT,0.0,,,
2023-03-07 04:00:00,1847.81,6.41914878942356,NEUTRAL,0,1,0,NO_BREAKOUT,0.0,,,-5.533443944861368
2023-03-07 08:00:00,1847.45,6.239923875893312,NEUTRAL,0,1,0,BEAR_FIRST,-1.0,2023-03-07 13:52:00,352.0,-5.669940964613945
2023-03-07 12:00:00,1843.79,6.382786456186647,NEUTRAL,0,0,0,BEAR_FIRST,-1.0,2023-03-07 15:18:00,198.0,-4.711108574038846
2023-03-07 16:00:00,1835.45,6.7061588521733215,NEUTRAL,0,0,0,BEAR_FIRST,-1.0,2023-03-07 17:01:00,61.0,-3.2552166569877063
2023-03-28 20:00:00,1969.04,12.349779348013003,BULL,1,1,1,NO_BREAKOUT,0.0,,,-0.3230826954525283
2023-03-29 00:00:00,1973.51,11.929080823154933,BULL,1,1,1,NO_BREAKOUT,0.0,,,-0.8483470059450409
2023-03-29 04:00:00,1970.41,11.392717907215285,BULL,1,1,1,BEAR_FIRST,-1.0,2023-03-29 10:07:00,367.0,-0.7864672919115684
2023-03-29 08:00:00,1966.21,11.008952342414192,BULL,1,0,0,NO_BREAKOUT,0.0,,,-0.48778483483038787
2023-03-29 12:00:00,1964.3,10.86331288938461,BULL,1,0,0,NO_BREAKOUT,0.0,,,0.33231115008458795
2023-03-29 16:00:00,1964.87,10.566647682999998,BULL,1,0,0,NO_BREAKOUT,0.0,,,0.5119883015219562
2023-03-29 20:00:00,1965.05,10.60188713421428,BULL,1,0,0,NO_BREAKOUT,0.0,,,1.7053567700841297
2023-03-30 00:00:00,1963.39,10.423895196056126,BULL,1,0,0,NO_BREAKOUT,0.0,,,1.6395022857161792
2023-03-30 04:00:00,1961.45,9.972188396337842,BULL,1,0,0,BULL_FIRST,1.0,2023-03-30 10:03:00,363.0,1.8200618839757599
2023-03-30 08:00:00,1960.84,9.734174939456576,BULL,1,0,0,BULL_FIRST,1.0,2023-03-30 10:02:00,122.0,2.0443437809338403
2023-03-30 12:00:00,1967.91,9.842448158066821,BULL,1,1,1,BULL_FIRST,1.0,2023-03-30 19:03:00,423.0,0.7315253160971678
2023-03-30 16:00:00,1970.28,9.74798757534776,BULL,1,1,1,BULL_FIRST,1.0,2023-03-30 19:27:00,207.0,0.9571206290409207
2023-03-30 20:00:00,1983.13,10.503131319965773,BULL,1,1,1,NO_BREAKOUT,0.0,,,-0.5712582102629136
2023-03-31 00:00:00,1980.48,10.133621939968211,BULL,1,1,1,NO_BREAKOUT,0.0,,,-1.151611937877039
2023-03-31 04:00:00,1979.6,9.612648944256192,BULL,1,1,1,NO_BREAKOUT,0.0,,,
2023-03-31 08:00:00,1980.74,9.251031162523605,BULL,1,1,1,NO_BREAKOUT,0.0,,,
2023-03-31 12:00:00,1975.11,9.433100365200488,BULL,1,1,1,BULL_FIRST,1.0,2023-03-31 15:32:00,212.0,
2023-03-31 16:00:00,1979.61,9.64573605340046,BULL,1,1,1,BEAR_FIRST,-1.0,2023-03-31 20:27:00,267.0,
2023-03-31 20:00:00,1977.13,9.616040621014715,BULL,1,1,1,BEAR_FIRST,-1.0,2023-03-31 20:55:00,55.0,
2023-04-01 00:00:00,1968.81,9.669894862370816,BULL,1,0,0,NO_BREAKOUT,0.0,,,
2023-04-03 04:00:00,1962.33,9.839902372201468,BULL,1,0,0,BEAR_FIRST,-1.0,2023-04-03 05:57:00,117.0,2.0864028141172324
2023-04-03 08:00:00,1952.55,10.19848077418707,NEUTRAL,0,0,0,BULL_FIRST,1.0,2023-04-03 11:03:00,183.0,2.6660833708506346
2023-04-04 12:00:00,1980.66,9.996058238736184,BULL,1,1,1,BULL_FIRST,1.0,2023-04-04 16:42:00,282.0,4.337709821654857
2023-04-04 16:00:00,1983.65,9.792054078826448,BULL,1,1,1,BULL_FIRST,1.0,2023-04-04 17:00:00,60.0,4.8886576416596945
2023-04-11 16:00:00,1998.56,9.636477236616797,BULL,1,0,0,NO_BREAKOUT,0.0,,,2.456291798216317
2023-04-12 00:00:00,2003.1,9.449411494837953,BULL,1,1,1,BULL_FIRST,1.0,2023-04-12 04:40:00,280.0,1.2244148756058142
2023-04-12 04:00:00,2005.48,8.948739245206674,BULL,1,1,1,BULL_FIRST,1.0,2023-04-12 04:59:00,59.0,1.3823176272150057
