signal_ts,confirm_ts,entry_ts,side,atr,entry,signal_to_confirm_s,confirm_to_entry_s,mfe_1h,mae_1h,tmfe_1h,tmae_1h,mfe_3h,mae_3h,tmfe_3h,tmae_3h,mfe_6h,mae_6h,tmfe_6h,tmae_6h,mfe_12h,mae_12h,tmfe_12h,tmae_12h,mfe_24h,mae_24h,tmfe_24h,tmae_24h,fav0.25_before_mae1,fav0.5_before_mae1,fav1.0_before_mae1,fav1.5_before_mae1,fav2.0_before_mae1,fav3.0_before_mae1
1785990300,1785991539,1785992086,-1,91.36428571428613,64671.9775,1239,547,0.11139473066997954,3.280521460401789,45,832,0.11139473066997954,3.280521460401789,45,832,1.3066101164881754,3.280521460401789,19285,832,6.1400085997967135,3.280521460401789,30625,832,6.1400085997967135,3.280521460401789,30625,832,0,0,0,0,0,0
1785994200,1785994321,1785994441,1,107.24285714285672,64823.965,121,120,0.5225056613827441,1.038437458372171,710,2658,1.1220793925670016,1.038437458372171,6583,2658,1.3710470227787779,3.2726188890368793,11952,19983,1.3710470227787779,6.648135073930991,11952,28270,1.3710470227787779,6.648135073930991,11952,28270,1,1,0,0,0,0
1786125600,1786128282,1786129288,-1,155.02857142857152,64794.45999999999,2682,1006,0.2867858459269653,1.325820125322573,157,2096,0.2867858459269653,1.8334684850719087,157,9576,0.2867858459269653,1.8334684850719087,157,9576,0.2867858459269653,1.8334684850719087,157,9576,0.2867858459269653,2.3772392185772717,157,70208,1,0,0,0,0,0
1786199100,1786199137,1786199330,-1,32.57857142857237,65104.2025,37,193,1.7834575750931567,1.804790616092928,3125,166,3.19542863407141,1.804790616092928,7657,166,3.6220894540670576,1.804790616092928,18130,166,9.905360666520197,1.804790616092928,41887,166,12.407005042753406,4.337130015347404,46046,83523,0,0,0,0,0,0
1786199400,1786200079,1786200484,-1,39.55714285714358,65116.345,679,405,2.235879378837077,0.8786023835318787,3475,540,2.938660166124967,0.8786023835318787,6503,540,3.2900505597689125,0.8786023835318787,16976,540,9.210599494402173,0.8786023835318787,43015,540,10.525153485012476,3.2650234741783146,44892,82369,1,1,1,1,1,1
1786283100,1786284001,1786284145,1,46.042857142856,65176.985,901,144,2.235200124108048,1.2724014892956999,3400,2342,2.235200124108048,1.2724014892956999,3400,2342,2.235200124108048,1.2724014892956999,3400,2342,6.639792119143744,8.30932361154223,29524,38530,6.639792119143744,15.09213465715214,29524,85879,1,1,0,0,0,0
1786284300,1786284325,1786285420,1,45.84285714285631,65157.455,25,1095,2.6709722655033143,0.8519320660642162,2125,1067,2.6709722655033143,0.8519320660642162,2125,1067,2.6709722655033143,2.485774384543555,2125,21033,7.094780305391115,7.91955437831115,28249,37255,7.094780305391115,14.731956995949231,28249,84604,1,1,1,1,1,0
1786285500,1786285569,1786286487,1,46.899999999998855,65119.784999999996,69,918,3.4139658848616024,0.0295309168442387,1058,0,3.4139658848616024,0.0295309168442387,1058,0,3.4139658848616024,1.626545842217443,1058,19966,7.738059701492745,6.937846481876391,27182,36188,7.738059701492745,13.59669509594911,27182,83537,1,1,1,1,1,1
1786315200,1786315359,1786315398,-1,78.7642857142855,64991.36750000001,159,39,2.2264849913848845,1.1290967624920087,2821,1325,2.50072095764949,3.9184320304705773,7277,5269,2.50072095764949,4.852865693298166,7277,11227,2.50072095764949,4.852865693298166,7277,11227,15.278085608053097,4.852865693298166,71593,11227,1,1,0,0,0,0
1786315500,1786315509,1786316114,-1,97.54285714285705,65040.24,9,605,2.2988869361452657,0.41069127123613786,2105,609,2.5203280609255674,3.4175746924428916,6561,10511,2.5203280609255674,3.4175746924428916,6561,10511,2.5203280609255674,3.4175746924428916,6561,10511,12.837844171060333,3.4175746924428916,70877,10511,1,1,1,1,1,0
1786318500,1786319782,1786320217,-1,123.64285714285766,64885.274999999994,1282,435,0.7349797804736526,3.354217215482413,2458,450,0.7349797804736526,3.9494800693241086,2458,6408,0.7349797804736526,3.9494800693241086,2458,6408,0.7349797804736526,3.9494800693241086,2458,6408,8.874552281917882,3.9494800693241086,66774,6408,0,0,0,0,0,0
