signal_ts,confirm_ts,exit_ts,side,z,atr,entry,exit,R,spread_atr_entry,kind,mfe_atr,confirm_lag_s
1780447200,1780447788,1780451403,SELL,1.554310749837267,385.34654017857144,67603.296875,66766.07170758929,1.7381241664144402,0.0025950667664917794,trail,2.6726552080180612,588
1780468800,1780469016,1780469548,SELL,2.081903251799482,341.30636160714283,65839.421875,65788.22592075892,0.12000000000001268,0.002929919018477129,be,1.2863031190884553,216
1780490400,1780490975,1780498903,BUY,-1.2570601284819212,235.75,66880.296875,66915.659375,0.12000000000000988,0.007621951219512195,be,2.372746553552492,575
1780501200,1780501453,1780503600,BUY,-1.2705412503782432,227.62555803571428,66924.046875,67196.90625,0.9589762322109315,0.006006300486632917,signal,1.2010198453071181,253
1780512000,1780512418,1780513427,SELL,1.5446350697587896,322.66517857142856,66172.1328125,66123.7330357143,0.1199999999999825,0.0030991878467562296,be,1.0343539438548917,418
1780523400,1780524628,1780526863,SELL,1.0338802094617365,372.5990513392857,65872.078125,65816.1882672991,0.12000000000000445,0.006416079137633434,be,0.8261435754963887,1228
1780548600,1780550445,1780553512,BUY,-1.0996710813146344,481.12862723214283,62651.98828125,63738.17396763393,1.8060628695200824,0.0043192711519892835,trail,2.7575785869001055,1845
1780572900,1780574854,1780578000,SELL,1.3755093578932809,414.8959263392857,63309.6015625,63247.36717354911,0.1199999999999984,0.002410242994726921,be,1.5259003609311985,1954
1780587000,1780587122,1780587798,BUY,-1.0198887380083375,470.11021205357144,63441.05078125,63511.56731305803,0.11999999999999468,0.002127160768603012,be,0.525574894279991,122
1780604100,1780604176,1780606275,SELL,1.201035161751247,393.9453125,63384.19140625,63325.099609375,0.12,0.002538423401090729,be,1.195319781854239,76
1780614900,1780615273,1780617961,SELL,1.18177297944514,411.30357142857144,63293.6015625,63807.73102678572,-1.000000000000006,0.0024312942300178005,stop,0.36914834151000736,373
1780625700,1780625909,1780627846,SELL,1.9470821423762923,315.20814732142856,63440.87890625,63834.88909040178,-0.9999999999999922,0.003172506829210432,stop,0.30962923096805717,209
1780639800,1780649957,1780650000,SELL,1.28551266096721,323.3814174107143,62241.16015625,62301.578125,-0.14946553016870592,0.0030923236344466217,signal,0.018771370812226757,10157
1780650600,1780655771,1780658156,BUY,-1.8018233215994586,439.8046875,62577.1484375,62643.119140625,0.12,0.0022737365663025137,be,1.152988720135003,5171
1780667400,1780668071,1780672773,SELL,1.4000119561214188,422.63002232142856,62403.33984375,62339.945340401784,0.12000000000000316,0.0023661357385525643,be,1.8588861468826294,671
1780678200,1780678336,1780679339,SELL,1.502405528815858,398.52371651785717,61078.30859375,61018.53003627232,0.12000000000000083,0.002813116769550566,be,1.6193946828032308,136
1780689000,1780690599,1780690800,SELL,1.0489693350913851,718.5142299107143,60839.671875,60819.58984375,0.022359508456772505,0.001391760884296285,signal,0.11000891208490363,1599
