Index,flow_id,signal_time,side,signal_i,signal_close,atr0,horizon_time,horizon_close,cost_atr,immediate_net_atr,immediate_gross_atr,filled,depth_atr,limit_price,fill_i,fill_time,delay_bars,delay_hours,stopped,postfill_mae_atr,postfill_mfe_atr,limit_net_atr,limit_bounded_net_atr
1970,1970,2024-05-15 03:15:00+00:00,1,164198,61921.9,143.45714285714297,2024-05-15 15:15:00+00:00,64840.1,0.21582020513841849,20.126143547102135,20.341963752240552,False,1.5,61706.71428571429,,,,,,,,,
1971,1971,2024-05-15 15:15:00+00:00,1,164246,64840.1,473.2071428571435,2024-05-16 03:15:00+00:00,65983.9,0.06851132847288252,2.348611948859593,2.417123277332476,False,1.5,64130.28928571429,,,,,,,,,
1972,1972,2024-05-16 03:15:00+00:00,1,164294,65983.9,201.82857142857392,2024-05-16 15:15:00+00:00,65769.5,0.16346521092865027,-1.2257528666477475,-1.0622876557190972,True,1.5,65681.15714285713,164305.0,2024-05-16 06:00:00+00:00,11.0,2.75,True,1.695285956964824,5.543530577576423,0.2749971333522524,-1.6627152109286503
1973,1973,2024-05-16 17:30:00+00:00,-1,164351,64713.2,337.1571428571432,2024-05-17 05:30:00+00:00,65615.0,0.09596889962289724,-2.770686072624047,-2.67471717300115,True,1.5,65218.93571428571,164357.0,2024-05-16 19:00:00+00:00,6.0,1.5,True,1.8717215372230052,0.5938943265115886,-1.2714360726240481,-1.5967188996228971
1974,1974,2024-05-17 09:45:00+00:00,1,164416,66324.1,225.68571428571263,2024-05-17 21:45:00+00:00,66779.1,0.1469390745664019,1.8691389099886198,2.0160779845550216,True,1.5,65985.57142857143,164431.0,2024-05-17 13:30:00+00:00,15.0,3.75,False,0.9383466261552311,6.269907583238429,3.369888909988629,3.369888909988629
1975,1975,2024-05-19 22:00:00+00:00,-1,164657,66316.5,212.8000000000029,2024-05-20 10:00:00+00:00,67019.7,0.1558188439849603,-3.46033012218039,-3.30451127819543,True,1.5,66635.70000000001,164673.0,2024-05-20 02:00:00+00:00,16.0,4.0,True,2.087875939849541,0.7951127819549311,-1.961080122180356,-1.6565688439849602
1976,1976,2024-05-20 17:30:00+00:00,1,164735,68239.9,329.0499999999998,2024-05-21 05:30:00+00:00,71116.7,0.10369229600364692,8.639051967786065,8.742744263789712,False,1.5,67746.325,,,,,,,,,
1977,1977,2024-05-21 16:00:00+00:00,-1,164825,70015.7,369.0642857142863,2024-05-22 04:00:00+00:00,69855.0,0.0948556968394974,0.34056980007353665,0.43542549691303406,False,1.5,70569.29642857143,,,,,,,,,
1978,1978,2024-05-22 18:45:00+00:00,-1,164932,69617.2,324.33571428571514,2024-05-23 06:45:00+00:00,69591.8,0.10732274759398301,-0.02900883123749226,0.07831391635649075,False,1.5,70103.70357142857,,,,,,,,,
1979,1979,2024-05-23 13:45:00+00:00,-1,165008,68062.8,368.74285714285776,2024-05-24 01:45:00+00:00,67761.3,0.09229033007903287,0.7253526266852615,0.8176429567642943,False,1.5,68615.91428571429,,,,,,,,,
