source_index,parent_time,signal_time,fill_time,real_fill,real_R,episode_7d,ret_24h,ret_72h,ret_7d,range_pos_7d,range_pos_30d,rv_ratio_24h_7d,range_ratio_24h_7d,parent_range_pct,parent_body_frac,parent_reclaim_frac,router_conf,child_latency_h,child_parent_range_ratio,prior_virtual_fills,episode_age_h
69,2022-10-11 03:45:00+00:00,2022-10-11 04:00:00+00:00,2022-10-11 04:15:00+00:00,True,1.3325225514331007,27,-0.01902374008087504,-0.022037492803942738,-0.024703318366117832,0.08348251463944104,0.20358140988054835,0.9987987257310085,0.3455694791441262,0.009635731440807383,0.4747970137866951,0.5162116505912602,0.4753453020575121,0.25,0.30990136777288424,1.0,3.5
70,2022-11-21 23:45:00+00:00,2022-11-22 00:15:00+00:00,2022-11-22 00:45:00+00:00,False,0.0,28,-0.01805270056809294,-0.045789164339512745,-0.04254115513938006,0.27152753076222774,0.07500520430000068,1.5231441209101233,0.5082324002676816,0.02653395254760541,0.14276161818789868,0.7290681568515094,0.3924682747583956,0.5,0.2661317285188914,0.0,0.0
71,2022-12-07 11:45:00+00:00,2022-12-07 13:15:00+00:00,,False,0.0,29,-0.009221141601317928,-0.005464900115081495,-0.0019425870758733588,0.23217783263126843,0.25404169836264157,1.014795651458895,0.6216361246008941,0.009400183049301056,0.19168883821108973,0.7250728493602011,0.3152484836247357,1.5,0.26548840744964314,0.0,0.0
72,2022-12-19 19:45:00+00:00,2022-12-19 20:45:00+00:00,,False,0.0,30,-0.009455095308792849,-0.016172393315071143,-0.030571406379302002,0.05029873337050856,0.3858960490393032,0.6294416620633262,0.1902652752330111,0.011949329960485108,0.5686195218116411,0.2564828388009966,0.3630164080153772,1.0,0.15493100136479576,0.0,0.0
73,2022-12-30 07:45:00+00:00,2022-12-30 08:15:00+00:00,,False,0.0,31,-0.0033335227952977498,-0.02296165450525478,-0.0206011536788665,0.0991670191052353,0.10631670302347987,0.9788372632095204,0.43287424378941786,0.01131112544939484,0.6646632680440115,0.2464716930507145,0.3913032113290691,0.5,0.14027367856184395,0.0,0.0
76,2023-02-09 07:45:00+00:00,2023-02-09 08:15:00+00:00,2023-02-09 08:30:00+00:00,False,0.0,33,-0.01915551342572197,-0.004373271649336319,-0.045972691392431875,0.21759887431529265,0.7853727037027571,1.0309510885823436,0.4864510221060815,0.016923754686037185,0.4087083409333673,0.8408682283659493,0.3984719956720459,0.5,0.231414649399383,0.0,0.0
77,2023-02-10 07:45:00+00:00,2023-02-10 10:45:00+00:00,2023-02-10 11:00:00+00:00,True,-1.3841514778324866,33,-0.037409911566960385,-0.049345378490926683,-0.06753738811731513,0.1084316629245687,0.6533389053808689,1.1432959480011984,0.5775617446137672,0.013864732601882705,0.283475971033572,0.9523041474654325,0.3602286776075005,3.0,0.09354838709678065,1.0,26.5
78,2023-02-10 23:45:00+00:00,2023-02-11 03:00:00+00:00,,False,0.0,33,-0.008339296501516658,-0.06620637843145427,-0.071426095848942,0.11739158921367679,0.5987458647325533,0.8722964176659758,0.22272297569239702,0.01571870582408748,0.4326606260296554,0.5124441044951741,0.361605236764146,3.25,0.23279006825135745,2.0,42.75
79,2023-02-13 19:45:00+00:00,2023-02-13 20:00:00+00:00,,False,0.0,33,-0.017179133234641264,-0.005998993272393394,-0.05910582821218291,0.12950455274568962,0.3160206349000092,1.0055443301697282,0.3157506437625237,0.015130177468239506,0.14061113999939168,0.7853057229376361,0.3324570828618629,0.25,0.23261860337074972,2.0,107.75
80,2023-02-25 23:45:00+00:00,2023-02-26 02:30:00+00:00,,False,0.0,34,0.00372253003784051,-0.055967938210796264,-0.061332328383550405,0.1749604430379744,0.46505836216603,0.5838135574004139,0.18354034810126646,0.020036645395984966,0.3734778766783773,0.9376710704972051,0.3938359338480783,2.75,0.19000409491583772,0.0,0.0
