signal_ts,entry_ts,exit_ts,side,R,entry_overlap,any_lifetime_overlap,same_core_overlap_count,opposite_core_overlap_count,later_core_same_entries,later_core_opposite_entries,branch,align_tf,response_ratio,confirm_min,abs_z
1618950300,1618950360,1619036760,-1,1.3212603447542164,CORE_OPPOSITE,True,1,1,1,0,STRONG_RESPONSE_GE_2.50,H4_ALIGN,5.710083942447051,1.0,1.2057057652434628
1619302200,1619302320,1619322420,1,-1.0023374928832303,CORE_SAME,True,1,0,0,0,STRONG_RESPONSE_GE_2.50,H1_ALIGN,4.197932764219217,2.0,1.8698728632240675
1619404200,1619404440,1619457720,-1,-1.0010215364731692,NONE,True,0,1,0,1,STRONG_RESPONSE_GE_2.50,H4_ALIGN,75.62457057297958,4.0,2.0331166798693867
1619672400,1619672460,1619719200,1,-1.002469332210997,NONE,True,0,1,0,1,STRONG_RESPONSE_GE_2.50,H4_ALIGN,504719324.3914488,1.0,1.1150375043912026
1619762700,1619762940,1619789880,-1,-1.0029669157551069,CORE_SAME,True,1,0,0,0,STRONG_RESPONSE_GE_2.50,H4_ALIGN,399098075.49569,4.0,1.4681228349805562
1619950500,1619955600,1620006000,-1,-1.0020025880123309,NONE,False,0,0,0,0,MID_RESPONSE_0.50_1.00,H1_ALIGN,0.7557342392779655,85.0,1.6782590987660875
1620081000,1620081060,1620146880,-1,2.22045313908915,CORE_SAME,True,1,1,0,1,STRONG_RESPONSE_GE_2.50,H1_ALIGN,346477446.7270561,1.0,1.7942717862658295
1620230100,1620230280,1620316680,1,-0.22718227494181284,NONE,True,0,1,0,1,STRONG_RESPONSE_GE_2.50,H1_ALIGN,4.581561652998918,3.0,2.014162412437253
1620330900,1620331080,1620403980,-1,-1.0014975381024287,CORE_SAME,True,1,0,0,0,STRONG_RESPONSE_GE_2.50,H1_ALIGN,374105601.9523766,3.0,1.3554269632432783
1620564900,1620564960,1620598740,-1,-1.0017229624439214,NONE,True,1,0,1,0,STRONG_RESPONSE_GE_2.50,H1_ALIGN,1315922671.7660456,1.0,2.0022500970298993
1620650700,1620650760,1620677100,-1,2.2206239740143525,CORE_SAME,True,1,0,0,0,STRONG_RESPONSE_GE_2.50,H1_ALIGN,482988531.0748513,1.0,1.553488591561578
1620789000,1620789660,1620843300,-1,2.21998563805128,NONE,False,0,0,0,0,MID_RESPONSE_0.50_1.00,H4_ALIGN,0.9786368238716336,11.0,1.037455876226848
1621009800,1621010220,1621096620,-1,1.9596743263736487,NONE,True,0,1,0,1,MID_RESPONSE_0.50_1.00,H4_ALIGN,0.970543226692633,7.0,1.0658646465155213
1621154700,1621154940,1621191540,-1,2.2206645458273306,NONE,False,0,0,0,0,MID_RESPONSE_0.50_1.00,H4_ALIGN,0.8834388875649527,4.0,2.035988358001398
1621513800,1621514100,1621600500,-1,0.1847749806762862,CORE_OPPOSITE,True,1,1,1,0,STRONG_RESPONSE_GE_2.50,H4_ALIGN,543813203.1877836,5.0,1.0435677367923968
1621848600,1621848780,1621935180,1,0.6219697657360995,CORE_OPPOSITE,True,0,1,0,0,STRONG_RESPONSE_GE_2.50,H1_ALIGN,453041319.8824437,3.0,1.0609184452075993
