transition_time,destination,origin,lag,event_count,control_change,d1_conflict,stack_break_change,bos_against_control,rev_rank,winner_margin,rev_vs_pullback,rev_vs_expansion,rev_vs_range,atr_ratio,adx14,range24_ratio,ema_spread_atr,relvol20
2022-12-01 16:00:00+00:00,PULLBACK,EXPANSION,-1,3.0,False,False,False,False,1.0,3.3333333333333286,3.3333333333333286,9.999999999999996,21.666666666666664,1.0277495500281806,28.14830127424647,1.1468437421198612,4.097817733373995,2.266805018357796
2022-12-01 16:00:00+00:00,PULLBACK,EXPANSION,0,1.0,False,False,False,False,3.0,13.333333333333332,-18.333333333333332,-5.0,8.333333333333332,0.9958536368931034,29.13533895839482,1.1468437421198612,4.1711954452140665,0.5937766539547354
2022-12-05 00:00:00+00:00,EXPANSION,PULLBACK,-2,1.0,True,False,False,True,4.0,3.3333333333333357,-43.333333333333336,-25.0,-40.0,0.8514817700037222,24.755254626355512,0.5367566581539577,3.861289998912318,1.6216446536969973
2022-12-05 00:00:00+00:00,EXPANSION,PULLBACK,-1,1.0,True,False,False,True,4.0,3.3333333333333357,-36.666666666666664,-31.666666666666664,-40.0,0.8520632470649099,25.0433446308,0.5367566581539577,3.7815984693488076,0.8449903292141245
2022-12-05 00:00:00+00:00,EXPANSION,PULLBACK,0,2.0,True,False,False,True,4.0,0.0,-16.666666666666668,-35.0,-35.0,0.9027233623048834,26.022834723068435,0.5367566581539577,3.4768399892564137,1.8457719313718233
2022-12-05 20:00:00+00:00,PULLBACK,EXPANSION,-2,3.0,False,False,False,False,3.0,1.6666666666666643,3.3333333333333357,-13.333333333333329,-11.666666666666664,0.9695029281405938,27.25305656037171,0.6110908427581166,2.967707073706506,2.12746521474449
2022-12-05 20:00:00+00:00,PULLBACK,EXPANSION,-1,3.0,False,False,False,False,2.0,1.6666666666666643,-1.6666666666666643,1.6666666666666714,3.3333333333333357,1.0054950260392195,25.570727114675158,0.6110908427581166,2.823111742074833,1.837298821832214
2022-12-05 20:00:00+00:00,PULLBACK,EXPANSION,0,1.0,False,False,False,False,2.0,23.333333333333336,-23.333333333333336,4.9999999999999964,1.6666666666666643,0.9681700773613697,24.00856405795693,0.6110908427581166,2.8859959018518833,0.753377902412302
2022-12-06 20:00:00+00:00,RANGE,PULLBACK,-2,2.0,False,False,False,False,4.0,1.6666666666666643,-40.0,-1.6666666666666679,-38.333333333333336,0.8789078752030909,18.709111385150035,0.528912805545422,2.988514362931019,1.2083020031771212
2022-12-06 20:00:00+00:00,RANGE,PULLBACK,-1,2.0,False,False,False,False,3.0,10.000000000000007,-36.666666666666664,1.6666666666666679,-46.66666666666667,0.8610050423237926,17.46155101338599,0.528912805545422,3.0123840553088663,0.9697249108899906
2022-12-06 20:00:00+00:00,RANGE,PULLBACK,0,2.0,False,False,False,False,3.0,21.666666666666664,-31.666666666666668,8.333333333333334,-53.33333333333333,0.8629466010471896,16.825379861275753,0.528912805545422,2.9470204697352824,0.8596269396624119
2022-12-13 16:00:00+00:00,EXPANSION,RANGE,-2,1.0,True,False,False,True,4.0,31.66666666666667,-26.666666666666664,-11.666666666666666,-58.333333333333336,0.9481933195633201,14.250878579310394,0.9120213963963966,1.6090605101517081,2.9007749633606186
2022-12-13 16:00:00+00:00,EXPANSION,RANGE,-1,1.0,True,False,False,True,4.0,15.0,-8.333333333333334,-26.66666666666667,-41.66666666666667,1.2473650713334006,17.760405803532198,1.7384572072072035,1.0921559770839446,4.832341120247802
2022-12-13 16:00:00+00:00,EXPANSION,RANGE,0,2.0,True,False,False,True,3.0,20.0,9.999999999999998,-40.0,-20.000000000000004,1.2692460692767533,21.01925251173816,1.7384572072072035,0.9510874521767597,1.4758492208199672
2022-12-18 16:00:00+00:00,PULLBACK,EXPANSION,-2,1.0,False,False,False,False,3.0,10.0,-40.0,-30.000000000000004,18.333333333333332,1.0463658681555188,27.75888179582372,2.4243870967741956,1.8020897238844156,0.5376451095505276
2022-12-18 16:00:00+00:00,PULLBACK,EXPANSION,-1,1.0,False,False,False,False,3.0,11.666666666666671,-43.333333333333336,-31.666666666666664,15.0,0.9959983878845541,27.31834677065659,2.4243870967741956,2.012312102101741,0.38532692592808077
2022-12-18 16:00:00+00:00,PULLBACK,EXPANSION,0,2.0,False,False,False,False,3.0,13.333333333333336,-46.66666666666667,-33.33333333333333,11.666666666666668,0.9731851587007474,26.34685093525144,1.8365161290322618,2.1275613467353147,0.64537575000207
2022-12-19 20:00:00+00:00,EXPANSION,PULLBACK,-2,1.0,False,False,False,False,3.0,26.666666666666664,-55.0,-28.333333333333336,5.0,0.8719794026802296,21.575576810239422,1.2992258064516147,2.704862270108017,0.9532903268501967
2022-12-19 20:00:00+00:00,EXPANSION,PULLBACK,-1,0.0,False,False,False,False,4.0,3.3333333333333357,-53.333333333333336,-50.0,-5.0,0.8826616972833118,21.955723656606683,1.3110967741935464,2.790009347538591,1.8602729106634082
2022-12-19 20:00:00+00:00,EXPANSION,PULLBACK,0,1.0,False,False,False,False,4.0,18.333333333333336,-45.0,-63.333333333333336,-3.333333333333333,0.993969328984702,23.63244944330345,1.7006451612903226,2.6196371774925358,1.710056310847965
2022-12-20 08:00:00+00:00,PULLBACK,EXPANSION,-2,3.0,False,False,False,False,3.0,15.0,-36.66666666666667,-51.66666666666667,18.333333333333332,1.1164848650383818,23.349002091973997,1.7006451612903226,2.3056493163568272,2.1501287572062235
2022-12-20 08:00:00+00:00,PULLBACK,EXPANSION,-1,2.0,False,False,False,False,3.0,5.0,-43.33333333333333,-38.33333333333333,31.666666666666668,1.1031169835603738,23.08580098002522,1.6780645161290322,2.2708538748920257,1.458085426941648
2022-12-20 08:00:00+00:00,PULLBACK,EXPANSION,0,2.0,False,False,False,False,3.0,26.666666666666664,-55.0,-28.333333333333336,35.0,1.0553848424385843,22.841399947501355,1.1185806451612923,2.310989377870965,1.011550734215605
2022-12-28 00:00:00+00:00,RANGE,PULLBACK,-2,2.0,False,False,False,False,4.0,3.3333333333333286,-38.33333333333333,-21.666666666666664,-35.0,0.7337360029125723,14.102105422895285,0.4621248213434977,2.4809258537432517,2.771921438791272
2022-12-28 00:00:00+00:00,RANGE,PULLBACK,-1,1.0,False,False,False,False,4.0,8.333333333333336,-31.666666666666664,-30.0,-40.0,0.7226401977469314,15.56140851799253,0.4621248213434977,2.61784254476022,1.0090310380646126
2022-12-28 00:00:00+00:00,RANGE,PULLBACK,0,1.0,False,False,False,False,4.0,5.0,-30.0,-45.0,-50.0,0.7852871525635338,17.67629481843551,0.508575512148643,2.534277539701562,1.8698545257218324
2022-12-28 12:00:00+00:00,EXPANSION,RANGE,-2,1.0,False,False,False,False,4.0,6.666666666666664,-35.0,-48.333333333333336,-55.0,0.7863335110873412,19.640117811703995,0.508575512148643,2.6559152437050866,1.2268528333146407
2022-12-28 12:00:00+00:00,EXPANSION,RANGE,-1,1.0,False,False,False,False,4.0,6.666666666666671,-40.0,-50.0,-43.33333333333333,0.7739129072457512,21.252787690535385,0.508575512148643,2.7981089861188564,0.8096199927349094
2022-12-28 12:00:00+00:00,EXPANSION,RANGE,0,2.0,False,False,False,False,4.0,6.666666666666671,-40.0,-46.66666666666667,-31.666666666666668,0.8494366758537409,21.21359893640842,0.508575512148643,2.709724065009442,2.5464393045458675
2022-12-29 08:00:00+00:00,PULLBACK,EXPANSION,-2,3.0,False,False,False,False,4.0,10.0,-18.33333333333333,-28.33333333333333,-6.666666666666664,0.9016216987728761,22.932974282391676,0.6102906145783734,2.9677347714409175,0.835528077766746
