decision_time,entry_time,split,impulse_dir,entry,cont_24h,rev_24h,tail_cont_24h,tail_rev_24h,paxg_z24h,paxg_corr30d,BTC_ONLY_side,BTC_ONLY_conf,BTC_ONLY_top20,BTC_ONLY_chosen_ret,BTC_ONLY_tail_hit,BTC_PLUS_PAXG_side,BTC_PLUS_PAXG_conf,BTC_PLUS_PAXG_top20,BTC_PLUS_PAXG_chosen_ret,BTC_PLUS_PAXG_tail_hit
2023-12-05 22:15:00+00:00,2023-12-05 22:30:00+00:00,DEV_2021_2024,1.0,44403.99,-0.011106209149222779,0.011106209149222779,0,0,-1.057429509901135,0.15000870946479788,CONT,0.25148486214976634,False,-0.011106209149222779,0,CONT,0.223809514742003,False,-0.011106209149222779,0
2023-12-06 11:15:00+00:00,2023-12-06 11:30:00+00:00,DEV_2021_2024,-1.0,43698.58,0.007846250381591369,-0.007846250381591369,0,0,-0.28456869528464374,0.1470601894711302,REV,0.19960753016681912,False,-0.007846250381591369,0,CONT,0.14192650019521605,False,0.007846250381591369,0
2023-12-07 09:15:00+00:00,2023-12-07 09:30:00+00:00,DEV_2021_2024,-1.0,43059.62,-0.004256191763884587,0.004256191763884587,0,0,0.16852899990660547,0.14184199309623574,REV,0.26642118657762953,False,0.004256191763884587,0,REV,0.31317053138005824,False,0.004256191763884587,0
2023-12-08 21:15:00+00:00,2023-12-08 21:30:00+00:00,DEV_2021_2024,1.0,44563.95,-0.013307841876673776,0.013307841876673776,0,0,-1.705914331839111,0.1547521035228943,CONT,0.24529027985411522,False,-0.013307841876673776,0,CONT,0.20937630036691302,False,-0.013307841876673776,0
2023-12-11 02:00:00+00:00,2023-12-11 02:15:00+00:00,DEV_2021_2024,-1.0,41714.0,-0.0014611401447954808,0.0014611401447954808,0,0,-1.294143585120876,0.15448170848511913,REV,0.36185047215309124,True,0.0014611401447954808,0,REV,0.2076538480936944,False,0.0014611401447954808,0
2023-12-11 18:00:00+00:00,2023-12-11 18:15:00+00:00,DEV_2021_2024,-1.0,41017.89,-0.0031018172802161903,0.0031018172802161903,0,0,-1.6187998078429429,0.1953040219995592,REV,0.2714578369464156,False,0.0031018172802161903,0,CONT,0.2860926431184916,False,-0.0031018172802161903,0
2023-12-12 01:00:00+00:00,2023-12-12 01:15:00+00:00,DEV_2021_2024,1.0,41859.9,-0.01230987173882403,0.01230987173882403,0,0,-1.3702653079395324,0.1897186385778514,REV,0.314742851384139,False,0.01230987173882403,0,CONT,0.26991854964848927,False,-0.01230987173882403,0
2023-12-12 15:15:00+00:00,2023-12-12 15:30:00+00:00,DEV_2021_2024,-1.0,41252.02,-0.012362788537385594,0.012362788537385594,0,0,-0.5200450720382012,0.19246604015320243,REV,0.2676396927085559,False,0.012362788537385594,0,REV,0.2673402127671535,False,0.012362788537385594,0
2023-12-13 15:30:00+00:00,2023-12-13 15:45:00+00:00,DEV_2021_2024,1.0,41899.99,0.011819573226628632,-0.011819573226628632,0,0,-0.26601000375804795,0.1989752680058805,REV,0.2186952277627144,False,-0.011819573226628632,0,CONT,0.28413146761582336,False,0.011819573226628632,0
2023-12-13 19:30:00+00:00,2023-12-13 19:45:00+00:00,DEV_2021_2024,1.0,42735.6,0.003495680416327307,-0.003495680416327307,0,0,2.295447287062342,0.20445492333726967,CONT,0.2084575739980984,False,0.003495680416327307,0,CONT,0.2454666222316358,False,0.003495680416327307,0
2023-12-14 13:15:00+00:00,2023-12-14 13:30:00+00:00,DEV_2021_2024,-1.0,42407.19,-0.0010651495654392384,0.0010651495654392384,0,0,2.9855319709662176,0.20629200272808346,REV,0.2452862855455449,False,0.0010651495654392384,0,REV,0.20519227578929108,False,0.0010651495654392384,0
