method,filled,fill_bar,entry,price_improvement_vs_mkt0,rev_return,mfe,mae,event_row,event_time,split,impulse_dir
MKT_60,True,12837.0,50084.83,,0.04042820949976278,0.07223404771464736,0.0,86,2021-05-15 01:45:00+00:00,DEV_2021_2024,1.0
LIMIT_R0.50_T60,False,,,,,,,86,2021-05-15 01:45:00+00:00,DEV_2021_2024,1.0
LIMIT_R0.25_T60_AUDIT,False,,,,,,,86,2021-05-15 01:45:00+00:00,DEV_2021_2024,1.0
LIMIT_R1.00_T60_AUDIT,False,,,,,,,86,2021-05-15 01:45:00+00:00,DEV_2021_2024,1.0
MKT_0,True,12946.0,49313.71,,0.0874184886920899,0.14431564771744,0.009777808240345338,89,2021-05-16 06:00:00+00:00,DEV_2021_2024,1.0
MKT_15,True,12947.0,49122.47,,0.08386569323570259,0.14098436011055632,0.013709001196397457,89,2021-05-16 06:00:00+00:00,DEV_2021_2024,1.0
MKT_30,True,12948.0,49117.48,,0.08377262025657672,0.14089708999728817,0.013811987097057834,89,2021-05-16 06:00:00+00:00,DEV_2021_2024,1.0
MKT_60,True,12950.0,48956.42,,0.08075835610528714,0.1380707576248426,0.01714729140733741,89,2021-05-16 06:00:00+00:00,DEV_2021_2024,1.0
LIMIT_R0.50_T60,False,,,,,,,89,2021-05-16 06:00:00+00:00,DEV_2021_2024,1.0
LIMIT_R0.25_T60_AUDIT,False,,,,,,,89,2021-05-16 06:00:00+00:00,DEV_2021_2024,1.0
LIMIT_R1.00_T60_AUDIT,False,,,,,,,89,2021-05-16 06:00:00+00:00,DEV_2021_2024,1.0
MKT_0,True,13008.0,45459.81,,0.03185451061058109,0.07608500783439258,0.02697305598065637,91,2021-05-16 21:30:00+00:00,DEV_2021_2024,1.0
MKT_15,True,13009.0,45195.29,,0.02618812712563634,0.07067749758879743,0.03298374675768203,91,2021-05-16 21:30:00+00:00,DEV_2021_2024,1.0
MKT_30,True,13010.0,45954.97,,0.04228617709901672,0.08604009533680472,0.015907528608983944,91,2021-05-16 21:30:00+00:00,DEV_2021_2024,1.0
MKT_60,True,13012.0,45591.0,,0.03464038955056925,0.07874361167774341,0.024017898269395276,91,2021-05-16 21:30:00+00:00,DEV_2021_2024,1.0
LIMIT_R0.50_T60,True,13010.0,46079.565,0.013633031022347095,0.04487574915257997,0.08851136073007639,0.013160606008324896,91,2021-05-16 21:30:00+00:00,DEV_2021_2024,1.0
LIMIT_R0.25_T60_AUDIT,True,13009.0,45769.6875,0.0068165155111735475,0.03840920915179946,0.08234024975591105,0.020020073329100184,91,2021-05-16 21:30:00+00:00,DEV_2021_2024,1.0
LIMIT_R1.00_T60_AUDIT,False,,,,,,,91,2021-05-16 21:30:00+00:00,DEV_2021_2024,1.0
MKT_0,True,13024.0,45025.19,,-0.002489495324728308,0.017208367138483983,0.06716662383878896,92,2021-05-17 01:30:00+00:00,DEV_2021_2024,-1.0
MKT_15,True,13025.0,44870.16,,0.0009569834384364206,0.020722903595618923,0.06394360973974693,92,2021-05-17 01:30:00+00:00,DEV_2021_2024,-1.0
MKT_30,True,13026.0,45134.62,,-0.004907984159388201,0.01474212035018789,0.06942830137929604,92,2021-05-17 01:30:00+00:00,DEV_2021_2024,-1.0
MKT_60,True,13028.0,44342.78,,0.01286162031338578,0.03286262160378761,0.052810852183827875,92,2021-05-17 01:30:00+00:00,DEV_2021_2024,-1.0
LIMIT_R0.50_T60,True,13024.0,44791.97,0.005179767148123109,0.0027042793607872095,0.022504703410008507,0.062309605940529096,92,2021-05-17 01:30:00+00:00,DEV_2021_2024,-1.0
LIMIT_R0.25_T60_AUDIT,True,13024.0,44908.58,0.0025898835740615547,0.0001006489183135173,0.019849659018387984,0.06474442077660887,92,2021-05-17 01:30:00+00:00,DEV_2021_2024,-1.0
LIMIT_R1.00_T60_AUDIT,True,13024.0,44558.75,0.010359534296246219,0.00795242236373328,0.027856481611355795,0.0574017448873678,92,2021-05-17 01:30:00+00:00,DEV_2021_2024,-1.0
