cohort,geometry,stop_atr,rr,signals,known_signals,filled,fill_rate_pct,tp,sl,timeout,data_gap,ev_r_per_filled_trade,ev_r_per_signal,wr_filled_pct,pf,max_dd_r_per_signal,ci95_day_ev_r_per_signal
COMMON_CLOCK,LIM_050ATR_10M,1.0,3.0,245,245,192,78.36734693877551,35,155,2,0,-0.26171811144361545,-0.20510154039662926,18.75,0.6767729103606037,53.249877397174174,"[-0.46362544143828355, 0.07992753667044433]"
COMMON_CLOCK,LIM_050ATR_10M,1.5,1.5,245,245,192,78.36734693877551,60,127,5,0,-0.1901374845931841,-0.14900570221180143,32.8125,0.7137282943604488,39.083550772718354,"[-0.30987904029385366, 0.011963538039053187]"
COMMON_CLOCK,LIM_050ATR_10M,1.5,2.0,245,245,192,78.36734693877551,48,134,10,0,-0.16490454717343983,-0.1292313186012263,29.166666666666668,0.7646385151696582,38.54092326013983,"[-0.30684540968231677, 0.05695655728063055]"
COMMON_CLOCK,LIM_050ATR_10M,1.5,3.0,245,245,192,78.36734693877551,29,139,24,0,-0.1512262746319959,-0.1185120193034417,26.5625,0.7918958099152176,42.2268421689016,"[-0.32794637100909163, 0.10363956953841376]"
COMMON_CLOCK,LIM_075ATR_10M,1.0,1.5,245,245,180,73.46938775510205,52,128,0,0,-0.2777777777777778,-0.20408163265306123,28.888888888888886,0.609375,54.0,"[-0.3509180803185044, -0.06026116071428581]"
COMMON_CLOCK,LIM_075ATR_10M,1.0,2.0,245,245,180,73.46938775510205,48,132,0,0,-0.2,-0.1469387755102041,26.666666666666668,0.7272727272727273,42.0,"[-0.31900227460711333, 0.03174783549783547]"
COMMON_CLOCK,LIM_075ATR_10M,1.0,3.0,245,245,180,73.46938775510205,34,142,4,0,-0.19335002049982283,-0.1420530762855841,20.555555555555554,0.7552756411446456,37.80300368996811,"[-0.32508906444806546, 0.05521460237025613]"
COMMON_CLOCK,LIM_075ATR_10M,1.5,1.5,245,245,180,73.46938775510205,66,107,7,0,-0.03218139673863095,-0.02364347515491252,39.44444444444444,0.9460911884677827,16.548211394082255,"[-0.16728631601669966, 0.12472525423533447]"
COMMON_CLOCK,LIM_075ATR_10M,1.5,2.0,245,245,180,73.46938775510205,51,113,16,0,-0.01797782577836652,-0.013208198531044798,34.44444444444444,0.9717138129676111,15.590579949467818,"[-0.14893558568307602, 0.12388346300780077]"
COMMON_CLOCK,LIM_075ATR_10M,1.5,3.0,245,245,180,73.46938775510205,34,116,30,0,0.06450324979643542,0.047390142707585216,32.22222222222222,1.0987801158541077,12.474566084530345,"[-0.11703675728681799, 0.2144481764117725]"
COMMON_CLOCK,LIM_100ATR_10M,1.0,1.5,245,245,157,64.08163265306122,48,108,1,0,-0.228167624784225,-0.14621353914744215,31.210191082802545,0.6683118787858952,41.0,"[-0.25000621280851576, -0.040586898488080635]"
