feed,period,shift_min,horizon,candidate_n,candidate_ev,complement_ev,incremental
RITHMIC,LATE,15,15,10,1.2030263356844562,0.2486077724879787,0.9544185631964774
RITHMIC,LATE,30,5,12,0.11357125696200789,-0.1404533037850639,0.2540245607470718
RITHMIC,LATE,30,15,12,-0.5105061930773971,0.3089752586327983,-0.8194814517101954
RITHMIC,LATE,60,5,17,0.12446302930354755,-0.14520913036526498,0.2696721596688125
RITHMIC,LATE,60,15,17,0.1827316011706926,0.28368698480494786,-0.10095538363425527
RITHMIC,LATE,120,5,6,-0.8381569567855495,-0.1176314847094558,-0.7205254720760936
RITHMIC,LATE,120,15,6,0.2244140101369235,0.2793676080628075,-0.05495359792588403
RITHMIC,POST,-120,5,0,,-0.16968800863386194,
RITHMIC,POST,-120,15,0,,-0.6943343005716834,
RITHMIC,POST,-60,5,0,,-0.16968800863386194,
RITHMIC,POST,-60,15,0,,-0.6943343005716834,
RITHMIC,POST,-30,5,0,,-0.16968800863386194,
RITHMIC,POST,-30,15,0,,-0.6943343005716834,
RITHMIC,POST,-15,5,0,,-0.16968800863386194,
RITHMIC,POST,-15,15,0,,-0.6943343005716834,
RITHMIC,POST,-10,5,0,,-0.16968800863386194,
RITHMIC,POST,-10,15,0,,-0.6943343005716834,
RITHMIC,POST,-5,5,0,,-0.16968800863386194,
RITHMIC,POST,-5,15,0,,-0.6943343005716834,
RITHMIC,POST,-3,5,0,,-0.16968800863386194,
RITHMIC,POST,-3,15,0,,-0.6943343005716834,
RITHMIC,POST,-2,5,0,,-0.16968800863386194,
RITHMIC,POST,-2,15,0,,-0.6943343005716834,
RITHMIC,POST,-1,5,0,,-0.16968800863386194,
RITHMIC,POST,-1,15,0,,-0.6943343005716834,
RITHMIC,POST,1,5,0,,-0.16968800863386194,
RITHMIC,POST,1,15,0,,-0.6943343005716834,
RITHMIC,POST,2,5,0,,-0.16968800863386194,
RITHMIC,POST,2,15,0,,-0.6943343005716834,
RITHMIC,POST,3,5,0,,-0.16968800863386194,
RITHMIC,POST,3,15,0,,-0.6943343005716834,
RITHMIC,POST,5,5,1,0.39386189258323767,-0.20994157300651192,0.6038034655897496
RITHMIC,POST,5,15,1,-1.5396419437340303,-0.6339551832029445,-0.9056867605310858
RITHMIC,POST,10,5,0,,-0.16968800863386194,
RITHMIC,POST,10,15,0,,-0.6943343005716834,
RITHMIC,POST,15,5,0,,-0.16968800863386194,
RITHMIC,POST,15,15,0,,-0.6943343005716834,
RITHMIC,POST,30,5,0,,-0.16968800863386194,
RITHMIC,POST,30,15,0,,-0.6943343005716834,
RITHMIC,POST,60,5,0,,-0.16968800863386194,
RITHMIC,POST,60,15,0,,-0.6943343005716834,
RITHMIC,POST,120,5,0,,-0.16968800863386194,
RITHMIC,POST,120,15,0,,-0.6943343005716834,
RITHMIC,PRE_DISCOVERY,-120,5,41,0.08757604272216224,-0.02869138938938001,0.11626743211154225
RITHMIC,PRE_DISCOVERY,-120,15,41,-0.40233335038066753,0.14373973845901553,-0.5460730888396831
RITHMIC,PRE_DISCOVERY,-60,5,63,-0.10473813393984496,-0.02322114478269347,-0.0815169891571515
