episode_id,rule,gc_t0_ms,event_utc,period,prediction,source_signal_direction,quiet_start,signal_index,elapsed_s,directional_balance,run_length_same_direction,direction_flips_so_far,hit1,hit2,hit3,fixed5m_ev_atr,mfe5_atr,mae5_atr
157,R3_RUN3_BEFORE240,1786112730000,2026-08-07T14:25:30+00:00,TRAIN,-1,-1,True,4,180.0,0.5,3,1,,False,False,0.8697439140057898,1.2260512171991038,-0.5067973442934044
157,R4_DOMINANCE_THEN_OPPOSITE_FLIP,1786112820000,2026-08-07T14:27:00+00:00,TRAIN,1,1,True,5,270.0,0.2,1,2,,False,False,-0.6692522774422042,0.7904753314693361,-1.4357355461350212
159,R3_RUN3_BEFORE240,1786113480000,2026-08-07T14:38:00+00:00,TRAIN,1,1,True,4,240.0,0.5,3,1,,False,False,-0.0152041702864865,1.1676802780192053,-1.0399652476108374
165,R4_DOMINANCE_THEN_OPPOSITE_FLIP,1786116000000,2026-08-07T15:20:00+00:00,TRAIN,1,1,True,4,210.0,0.0,1,2,,False,False,0.5809001097695939,1.1510428100990568,-0.0491767288693303
165,R5_DOMINANCE_REASSERT_AFTER_FLIP,1786116090000,2026-08-07T15:21:30+00:00,TRAIN,-1,-1,True,5,300.0,0.2,1,3,,False,False,-0.2297697743330537,0.279234100752229,-0.9557784362890231
168,R4_DOMINANCE_THEN_OPPOSITE_FLIP,1786117170000,2026-08-07T15:39:30+00:00,TRAIN,1,1,True,4,240.0,0.0,1,2,,False,False,-1.3854714994737458,0.2210858775754469,-1.625507595127515
172,R5_DOMINANCE_REASSERT_AFTER_FLIP,1786118640000,2026-08-07T16:04:00+00:00,TRAIN,1,1,True,4,240.0,0.5,1,2,,True,True,3.2531120331953427,3.513521247674759,-0.0761196165404901
173,R1_EARLY_DOMINANCE_3,1786118880000,2026-08-07T16:08:00+00:00,TRAIN,-1,-1,False,3,150.0,1.0,3,0,,False,False,0.3119658119660379,1.7670940170942455,-0.7457264957268949
173,R3_RUN3_BEFORE240,1786118880000,2026-08-07T16:08:00+00:00,TRAIN,-1,-1,False,3,150.0,1.0,3,0,,False,False,0.3119658119660379,1.7670940170942455,-0.7457264957268949
173,R4_DOMINANCE_THEN_OPPOSITE_FLIP,1786119030000,2026-08-07T16:10:30+00:00,TRAIN,1,1,True,4,300.0,0.5,1,1,,False,False,-0.2544656847383175,0.3246631150109018,-1.605766217486762
175,R4_DOMINANCE_THEN_OPPOSITE_FLIP,1786119720000,2026-08-07T16:22:00+00:00,TRAIN,1,1,True,4,240.0,0.0,1,2,,False,False,-2.9163477310003656,0.2028430836525099,-3.4081465281568546
177,R1_EARLY_DOMINANCE_3,1786120590000,2026-08-07T16:36:30+00:00,TRAIN,-1,-1,True,3,180.0,1.0,3,0,,False,False,-0.9524315705551928,0.7013021525375925,-1.3672601647621885
177,R2_EARLY_QUIET_DOMINANCE_3,1786120590000,2026-08-07T16:36:30+00:00,TRAIN,-1,-1,True,3,180.0,1.0,3,0,,False,False,-0.9524315705551928,0.7013021525375925,-1.3672601647621885
177,R3_RUN3_BEFORE240,1786120590000,2026-08-07T16:36:30+00:00,TRAIN,-1,-1,True,3,180.0,1.0,3,0,,False,False,-0.9524315705551928,0.7013021525375925,-1.3672601647621885
178,R4_DOMINANCE_THEN_OPPOSITE_FLIP,1786121070000,2026-08-07T16:44:30+00:00,TRAIN,-1,-1,False,4,270.0,0.0,1,3,,False,False,0.5947586206896411,0.90179310344829,-1.593103448275862
189,R1_EARLY_DOMINANCE_3,1786125510000,2026-08-07T17:58:30+00:00,TRAIN,1,1,True,3,120.0,1.0,3,0,,False,False,-1.6486684583435485,0.1710236989983037,-1.7068165160036188
