gc_end_ms,gc_end_utc,period,direction,side,xau_atr,r5,r10,r30,mfe_15m_atr,mae_15m_atr,first025_hit,first025_ms,gc_delta_frac,gc_volume,gc_impact,bias_60s_atr,bias_180s_atr,bias_300s_atr,bias_600s_atr,bias_900s_atr,state
1787922360000,2026-08-28T13:06:00+00:00,VALID,-1,SHORT,2.619999999999826,-0.11832061068683636,-0.1221374045800497,0.31679389312976425,2.408396946564851,-2.0305343511450618,OPP,6455,0.49056603773584906,106.0,-0.221635883905155,0.21374045801508698,-1.7480916030535234,0.6183206106873694,1.8969465648857193,0.2919847328245718,ALL
1787922360000,2026-08-28T13:06:00+00:00,VALID,-1,SHORT,2.619999999999826,-0.11832061068683636,-0.1221374045800497,0.31679389312976425,2.408396946564851,-2.0305343511450618,OPP,6455,0.49056603773584906,106.0,-0.221635883905155,0.21374045801508698,-1.7480916030535234,0.6183206106873694,1.8969465648857193,0.2919847328245718,CROWD_PERSISTS
1787922360000,2026-08-28T13:06:00+00:00,VALID,-1,SHORT,2.619999999999826,-0.11832061068683636,-0.1221374045800497,0.31679389312976425,2.408396946564851,-2.0305343511450618,OPP,6455,0.49056603773584906,106.0,-0.221635883905155,0.21374045801508698,-1.7480916030535234,0.6183206106873694,1.8969465648857193,0.2919847328245718,REVERSAL_CONFIRM
1787930520000,2026-08-28T15:22:00+00:00,VALID,1,LONG,5.34500000000006,-0.039289055191604215,0.566884939195626,0.6323666978484698,2.233863423760594,-0.4303086997192229,PRED,5561,-0.32516703786191536,898.0,-0.36649214659685164,1.1936389148737208,1.5594013096351622,1.6875584658560028,0.44527595884005283,0.5163704396632717,ALL
1787930520000,2026-08-28T15:22:00+00:00,VALID,1,LONG,5.34500000000006,-0.039289055191604215,0.566884939195626,0.6323666978484698,2.233863423760594,-0.4303086997192229,PRED,5561,-0.32516703786191536,898.0,-0.36649214659685164,1.1936389148737208,1.5594013096351622,1.6875584658560028,0.44527595884005283,0.5163704396632717,REVERSAL_CONFIRM
1787933190000,2026-08-28T16:06:30+00:00,VALID,-1,SHORT,6.294285714285771,-0.1636404902405391,0.09055832955071023,-0.4424648206990196,6.493191103041231,-0.8102587380843362,OPP,24906,0.29315068493150687,365.0,-0.15217391304347977,-0.3527008624603187,0.447231048570064,0.5751248297775535,2.348161597821091,6.488424875170042,ALL
1787946930000,2026-08-28T19:55:30+00:00,VALID,1,LONG,2.653214285714252,0.018845066631182888,0.10930138645880402,0.13945349306801105,2.0277291694714017,-0.7481491452411639,PRED,30760,-0.5902439024390244,205.0,-0.21483375959060044,0.8762955983311509,1.170278637771091,-0.2694844528197451,1.1891237044019312,1.4717997038635042,ALL
1787946930000,2026-08-28T19:55:30+00:00,VALID,1,LONG,2.653214285714252,0.018845066631182888,0.10930138645880402,0.13945349306801105,2.0277291694714017,-0.7481491452411639,PRED,30760,-0.5902439024390244,205.0,-0.21483375959060044,0.8762955983311509,1.170278637771091,-0.2694844528197451,1.1891237044019312,1.4717997038635042,DIVERGE_EARLY
1788137190000,2026-08-31T00:46:30+00:00,VALID,-1,SHORT,2.561428571428743,-0.08198549916342199,-0.027328499721022307,-0.23034021193534537,11.360847741214867,-0.673452314556706,OPP,24156,0.5277777777777778,72.0,-0.0375335120644777,-0.5934188510873384,-0.24595649749026596,1.2336865588397936,1.2180702732848732,8.838817624093235,ALL
1788137190000,2026-08-31T00:46:30+00:00,VALID,-1,SHORT,2.561428571428743,-0.08198549916342199,-0.027328499721022307,-0.23034021193534537,11.360847741214867,-0.673452314556706,OPP,24156,0.5277777777777778,72.0,-0.0375335120644777,-0.5934188510873384,-0.24595649749026596,1.2336865588397936,1.2180702732848732,8.838817624093235,CROWD_PERSISTS
