cohort,key,depth_atr,expiry_min,full_signals,full_filled,full_fill_rate_pct,full_tp,full_sl,full_timeout,full_ev_r_per_signal,full_ev_r_per_filled,full_wr_filled_pct,full_pf,full_max_dd_r,full_median_fill_delay_sec,full_ci_lo,full_ci_hi,early_ev_r_per_signal,early_pf,early_fill_rate_pct,late_ev_r_per_signal,late_pf,late_fill_rate_pct,stable_gate_pass
AMP_ALL,D1.00_E3M,1.0,3,279,117,41.935483870967744,23,71,23,0.07963489374320697,0.18989859277226276,38.46153846153847,1.3113995533684635,8.0,71.259,-0.0157539171517613,0.1791601441378896,0.06586647215663982,1.260266428933331,42.05128205128205,0.11159730099773786,1.4260987856277265,41.66666666666667,False
AMP_ALL,D1.00_E5M,1.0,5,279,147,52.68817204301075,27,89,31,0.07960687014139038,0.15109059026835317,36.734693877551024,1.2452074219898166,9.379038134574955,88.506,-0.04184861527639165,0.21189208324882847,0.09426409511971831,1.3104207772334402,50.76923076923077,0.045581169298843406,1.122081176658273,57.14285714285714,False
AMP_ALL,D1.00_E10M,1.0,10,279,179,64.15770609318996,31,112,36,0.051077564787284896,0.07961251718241613,34.63687150837989,1.125265330125693,14.141140882484155,108.904,-0.09611548380756113,0.20686226005400454,0.06461972970850385,1.1675315279007286,62.05128205128205,0.019640396220169463,1.0427974557504138,69.04761904761905,False
AMP_ALL,D1.00_E15M,1.0,15,279,194,69.53405017921148,31,121,42,0.03678703988877388,0.052905072829731496,35.051546391752574,1.0836044262940898,14.355287987335307,119.1055,-0.10974212471739501,0.18669456951730934,0.04920258325503541,1.1196101707878374,66.15384615384615,0.007965242788523917,1.0157249885950959,77.38095238095238,False
AMP_ALL,D1.25_E3M,1.25,3,279,86,30.824372759856633,16,56,14,0.015823043368900797,0.05133289651073629,32.55813953488372,1.077733730617215,12.534456908517306,104.11,-0.062459573148065106,0.10028775413861198,-0.011655790350532559,0.9442808151707369,31.794871794871792,0.07961319307472821,1.4179692636423231,28.57142857142857,False
AMP_ALL,D1.25_E5M,1.25,5,279,114,40.86021505376344,20,75,19,0.009458877256580442,0.02314935749636795,31.57894736842105,1.0347867852499784,11.071230585424303,120.608,-0.08021546073948178,0.10117855077430638,0.015501277547349115,1.057258059638834,42.05128205128205,-0.004568123418418259,0.9833679280467356,38.095238095238095,False
AMP_ALL,D1.25_E10M,1.25,10,279,152,54.48028673835126,25,99,28,-0.00223818066262457,-0.004108239505738529,30.263157894736842,0.9938176757825055,14.938091393091245,150.00549999999998,-0.13096539601358653,0.13097053497369598,-0.003797196305700511,0.9890974414067184,53.84615384615385,0.0013809627945159967,1.0035055600526679,55.952380952380956,False
AMP_ALL,D1.25_E15M,1.25,15,279,170,60.93189964157706,25,112,33,-0.034119896158285014,-0.0559967707538913,30.0,0.9165005052565803,18.033866309059793,176.3315,-0.16665092825971656,0.10364042049086027,-0.02875367508487689,0.9251561721248955,58.97435897435898,-0.04657719507869672,0.8999122447989097,65.47619047619048,False
AMP_ALL,D1.50_E3M,1.5,3,279,63,22.58064516129032,12,43,8,0.014653043757699222,0.0648920509269537,30.158730158730158,1.095039144526749,14.161048169996612,116.565,-0.07447922681179611,0.10972166876494036,-0.04728845148904526,0.7026933669007993,21.53846153846154,0.1584458005804989,2.1091206040634924,25.0,False
AMP_ALL,D1.50_E5M,1.5,5,279,87,31.182795698924732,15,60,12,-0.0040514308686076346,-0.012992519682086541,29.88505747126437,0.9811658535992318,15.611415923883538,128.257,-0.09369407104468337,0.09567699897024554,-0.059155038678696786,0.7254558757459837,29.743589743589745,0.1238676586905279,1.5780490738891304,34.523809523809526,False
AMP_ALL,D1.50_E10M,1.5,10,279,127,45.51971326164875,21,85,21,-0.017776405773597136,-0.03905210402231183,29.92125984251969,0.9423818666764521,20.393975903873056,181.954,-0.13363458126890432,0.10435253681469864,-0.03919813896832978,0.8718740477283925,44.61538461538462,0.03195261771417506,1.1015898613786759,47.61904761904761,False
AMP_ALL,D1.50_E15M,1.5,15,279,152,54.48028673835126,24,99,29,-0.005331819810606988,-0.009786695573416784,32.23684210526316,0.9851357227812119,15.850956205608977,235.958,-0.12872505793361788,0.12319081661464193,-0.028084336857095212,0.9178416630116409,51.7948717948718,0.04748652333302639,1.1193551602423168,60.71428571428571,False
