cohort,candidate,mode,cost_r,original_signals,accepted_signals,accept_rate_pct,fills,fill_rate_original_pct,fill_rate_accepted_pct,ev_r_per_original_signal,ev_r_per_accepted_signal,ev_r_per_fill,pf,max_dd_r,positive_weeks,weeks,positive_week_pct,worst_closed_utc_day_r,early_ev_r_per_original_signal,late_ev_r_per_original_signal,dd_pct_at_025risk,dd_pct_at_050risk,worst_day_pct_at_025risk,worst_day_pct_at_050risk
COMMON_CLOCK,D1.00_E5M,ALL_SIGNALS,0.05,245,245,100.0,126,51.42857142857142,51.42857142857142,0.05638537353827257,0.05638537353827257,0.10963822632441891,1.1693406619966258,10.337897252090816,4,6,66.66666666666666,-4.2,0.07875855658396258,-0.001850705860067558,2.584474313022704,5.168948626045408,-1.05,-2.1
COMMON_CLOCK,D1.00_E5M,ALL_SIGNALS,0.1,245,245,100.0,126,51.42857142857142,51.42857142857142,0.03067108782398683,0.03067108782398683,0.05963822632441882,1.087808146467729,11.437897252090794,4,6,66.66666666666666,-4.4,0.05361731364610941,-0.02905658821300876,2.8594743130226985,5.718948626045397,-1.1,-2.2
COMMON_CLOCK,D1.00_E5M,ONE_ACTIVE_SETUP,0.0,245,202,82.44897959183673,107,43.673469387755105,52.97029702970298,0.07903897492898787,0.09586410325545558,0.1809770921271217,1.2998644745012495,11.2378972520908,5,6,83.33333333333334,-4.0,0.10531297658805999,0.01064929413993245,2.8094743130227,5.6189486260454,-1.0,-2.0
COMMON_CLOCK,D1.00_E5M,ONE_ACTIVE_SETUP,0.025,245,202,82.44897959183673,107,43.673469387755105,52.97029702970298,0.0681206075820491,0.08262152899802985,0.1559770921271217,1.251907569063206,11.737897252090795,4,6,66.66666666666666,-4.1,0.09500224212478317,-0.001850705860067522,2.9344743130226987,5.868948626045397,-1.025,-2.05
COMMON_CLOCK,D1.00_E5M,ONE_ACTIVE_SETUP,0.05,245,202,82.44897959183673,107,43.673469387755105,52.97029702970298,0.05720224023511033,0.06937895474060411,0.13097709212712177,1.2063157621919798,12.237897252090814,4,6,66.66666666666666,-4.2,0.08469150766150634,-0.014350705860067566,3.0594743130227036,6.118948626045407,-1.05,-2.1
COMMON_CLOCK,D1.00_E5M,ONE_ACTIVE_SETUP,0.1,245,202,82.44897959183673,107,43.673469387755105,52.97029702970298,0.03536550554123274,0.04289380622575258,0.08097709212712174,1.1215604963992203,13.237897252090796,4,6,66.66666666666666,-4.4,0.06407003873495262,-0.03935070586006758,3.309474313022699,6.618948626045398,-1.1,-2.2
COMMON_CLOCK,D0.75_E3M,ALL_SIGNALS,0.0,245,245,100.0,124,50.61224489795918,50.61224489795918,0.04980734787615162,0.04980734787615162,0.09840967927142859,1.1494466592547192,9.757309214614512,4,6,66.66666666666666,-4.5797692893676185,0.056243517570133156,0.03305437676093496,2.439327303653628,4.878654607307256,-1.1449423223419046,-2.2898846446838093
COMMON_CLOCK,D0.75_E3M,ALL_SIGNALS,0.025,245,245,100.0,124,50.61224489795918,50.61224489795918,0.03715428665166186,0.03715428665166186,0.07340967927142862,1.1087184315044734,10.432309214614511,3,6,50.0,-4.754769289367618,0.043531653163353536,0.020554376760934998,2.6080773036536278,5.2161546073072556,-1.1886923223419046,-2.377384644683809
COMMON_CLOCK,D0.75_E3M,ALL_SIGNALS,0.05,245,245,100.0,124,50.61224489795918,50.61224489795918,0.024501225427172042,0.024501225427172042,0.04840967927142862,1.069960085008229,11.10730921461451,2,6,33.33333333333333,-4.929769289367619,0.030819788756573846,0.008054376760934937,2.7768273036536275,5.553654607307255,-1.2324423223419048,-2.4648846446838095
COMMON_CLOCK,D0.75_E3M,ALL_SIGNALS,0.1,245,245,100.0,124,50.61224489795918,50.61224489795918,-0.000804897021807603,-0.000804897021807603,-0.0015903207285714353,0.997807751841939,12.457309214614511,1,6,16.666666666666664,-5.27976928936762,0.005396059943014482,-0.016945623239065108,3.114327303653628,6.228654607307256,-1.319942322341905,-2.63988464468381
