### SHEET Sheet1 dim=273x15
161	2025.12.19 16:00:00	80	XAUUSD	buy	0.12 / 0.12		0.0	4308.21	4359.18	2025.12.19 16:00:00		filled	CTX BUY E100 C76		
162	2025.12.22 02:00:28	81	XAUUSD	sell	0.12 / 0.12		0.0			2025.12.22 02:00:28		filled	tp 4359.18		
163	2026.01.09 01:05:00	82	XAUUSD	buy	0.04 / 0.04		0.0	4417.29	4568.02	2026.01.09 01:05:00		filled	CTX BUY E75 C76		
164	2026.01.12 02:30:42	83	XAUUSD	sell	0.04 / 0.04		0.0			2026.01.12 02:30:42		filled	tp 4568.02		
165	2026.01.16 01:05:00	84	XAUUSD	buy	0.1 / 0.1		0.0	4593.16	4657.59	2026.01.16 01:05:00		filled	CTX BUY E75 C76		
166	2026.01.16 04:36:39	85	XAUUSD	sell	0.1 / 0.1		0.0			2026.01.16 04:36:39		filled	sl 4593.16		
167	2026.02.12 12:00:00	86	XAUUSD	buy	0.05 / 0.05		0.0	5024.26	5147.11	2026.02.12 12:00:00		filled	CTX BUY E75 C76		
168	2026.02.12 18:11:28	87	XAUUSD	sell	0.05 / 0.05		0.0			2026.02.12 18:11:28		filled	sl 5024.26		
169	2026.02.25 01:05:00	88	XAUUSD	buy	0.06 / 0.06		0.0	5097.38	5195.26	2026.02.25 01:05:00		filled	CTX BUY E75 C76		
170	2026.02.25 07:27:36	89	XAUUSD	sell	0.06 / 0.06		0.0			2026.02.25 07:27:36		filled	tp 5195.26		
171	2026.02.27 01:05:00	90	XAUUSD	buy	0.07 / 0.07		0.0	5145.47	5237.5	2026.02.27 01:05:00		filled	CTX BUY E75 C76		
172	2026.02.27 15:25:41	91	XAUUSD	sell	0.07 / 0.07		0.0			2026.02.27 15:25:41		filled	tp 5237.50		
173	2026.02.27 16:00:00	92	XAUUSD	buy	0.06 / 0.06		0.0	5182.91	5283.54	2026.02.27 16:00:00		filled	CTX BUY E75 C76		
174	2026.03.02 01:05:00	93	XAUUSD	sell	0.06 / 0.06		0.0			2026.03.02 01:05:00		filled	tp 5283.54		
175	2026.03.12 16:00:00	94	XAUUSD	buy	0.06 / 0.06		0.0	5141.52	5239.9	2026.03.12 16:00:00		filled	CTX BUY E100 C76		
176	2026.03.12 17:38:02	95	XAUUSD	sell	0.06 / 0.06		0.0			2026.03.12 17:38:02		filled	sl 5141.52		
177	Deals														
178	Time	Deal	Symbol	Type	Direction	Volume	Price	Order	Commission	Swap	Profit	Balance	Comment		
179	2018.01.01 00:00:00	1		balance					0	0	100000.0	100000.0			
180	2022.08.09 04:00:00	2	XAUUSD	buy	in	0.36	1789.3	2	-0.45	0.0	0.0	99999.55	CTX BUY E75 C76		
181	2022.08.09 16:32:39	3	XAUUSD	sell	out	0.36	1799.44	3	-0.45	0.0	365.04	100364.14	tp 1799.44		
182	2022.08.10 12:00:00	4	XAUUSD	buy	in	0.42	1792.48	4	-0.53	0.0	0.0	100363.61	CTX BUY E100 C76		
183	2022.08.10 15:30:37	5	XAUUSD	sell	out	0.42	1801.33	5	-0.53	0.0	371.7	100734.78	tp 1801.31		
184	2022.08.12 16:00:00	6	XAUUSD	buy	in	0.29	1793.45	6	-0.36	0.0	0.0	100734.42	CTX BUY E75 C76		
185	2022.08.15 11:47:25	7	XAUUSD	sell	out	0.29	1784.88	7	-0.36	-24.07	-248.53	100461.46	sl 1784.91		
186	2022.11.24 12:00:00	8	XAUUSD	buy	in	0.38	1756.36	8	-0.47	0.0	0.0	100460.99	CTX BUY E100 C76		
187	2022.11.25 11:46:01	9	XAUUSD	sell	out	0.38	1749.91	9	-0.47	-31.54	-245.1	100183.88	sl 1749.92		
188	2022.11.30 08:00:00	10	XAUUSD	buy	in	0.41	1753.86	10	-0.5	0.0	0.0	100183.38	CTX BUY E75 C76		
189	2022.11.30 12:11:29	11	XAUUSD	sell	out	0.41	1762.85	11	-0.51	0.0	368.59	100551.46	tp 1762.85		
190	2022.12.09 12:00:00	12	XAUUSD	buy	in	0.39	1792.81	12	-0.49	0.0	0.0	100550.97	CTX BUY E75 C76		
191	2022.12.09 15:19:38	13	XAUUSD	sell	out	0.39	1802.36	13	-0.49	0.0	372.45	100922.93	tp 1802.36		
192	2022.12.27 16:00:00	14	XAUUSD	buy	in	0.43	1806.64	14	-0.54	0.0	0.0	100922.39	CTX BUY E75 C76		
193	2022.12.27 17:09:39	15	XAUUSD	sell	out	0.43	1815.39	15	-0.55	0.0	376.25	101298.09	tp 1815.39		
194	2023.03.30 12:00:00	16	XAUUSD	buy	in	0.24	1968.05	16	-0.33	0.0	0.0	101297.76	CTX BUY E75 C76		
195	2023.03.30 19:49:27	17	XAUUSD	sell	out	0.24	1983.71	17	-0.33	0.0	375.84	101673.27	tp 1983.70		
196	2023.03.30 20:00:00	18	XAUUSD	buy	in	0.2	1983.48	18	-0.28	0.0	0.0	101672.99	CTX BUY E75 C76		
197	2023.03.31 20:26:26	19	XAUUSD	sell	out	0.2	1971.08	19	-0.28	-16.6	-248.0	101408.11	sl 1971.10		
198	2023.04.04 12:00:00	20	XAUUSD	buy	in	0.31	1980.75	20	-0.43	0.0	0.0	101407.68	CTX BUY E75 C76		
