flow_id,signal_time,side,horizon,state,signal_close,atr14,passage_time,delay_h,total12_atr,residual12_atr,mae12_atr,mfe12_atr,stop15_touch,frozen_signed12_atr
732,2022-03-30 07:30:00+00:00,-1,2H,ACCEPT_FIRST,47412.3,138.9357142857147,2022-03-30 08:00:00+00:00,0.5,3.279214436275802,2.7792144362757867,1.9886895275306806,4.047195516940012,True,3.279214436275802
733,2022-03-30 19:30:00+00:00,-1,2H,ACCEPT_FIRST,46956.7,210.23571428571398,2022-03-30 19:45:00+00:00,0.25,-0.7282302177827896,-1.2282302177827735,2.149967723303778,0.6506981959025385,True,-0.7282302177827896
734,2022-03-31 13:45:00+00:00,-1,2H,ACCEPT_FIRST,46905.4,164.24285714285725,2022-03-31 14:00:00+00:00,0.25,12.051056797425426,11.551056797425414,0.042619813864486364,12.44681221188137,False,12.051056797425426
735,2022-04-01 01:45:00+00:00,-1,2H,AMBIGUOUS_SAME_BAR,44926.1,224.1642857142859,,,-2.149762610330438,,2.916610903992618,3.2114839244176823,True,-2.149762610330438
736,2022-04-01 13:45:00+00:00,1,2H,ACCEPT_FIRST,45408.0,215.01428571428602,2022-04-01 14:00:00+00:00,0.25,6.176333798418701,5.6763337984186855,0.05441498903725966,8.505481363364561,False,6.176333798418701
737,2022-04-02 01:45:00+00:00,-1,2H,ACCEPT_FIRST,46736.0,243.22857142857174,2022-04-02 02:30:00+00:00,0.75,0.04070245506872436,-0.4592975449312682,0.8707858569247142,2.1132385762950756,False,0.0407024550687243
738,2022-04-02 13:45:00+00:00,1,2H,ADVERSE_FIRST,46726.1,176.28571428571377,2022-04-02 14:00:00+00:00,0.25,-5.073581847649942,-4.573581847649953,6.9495137763371275,0.3760940032415087,True,-5.073581847649942
739,2022-04-03 05:45:00+00:00,-1,2H,ADVERSE_FIRST,46337.9,118.80000000000031,2022-04-03 06:00:00+00:00,0.25,-0.3543771043770912,0.14562289562291975,3.174242424242404,2.267676767676774,True,-0.3543771043770912
740,2022-04-03 21:45:00+00:00,1,2H,AMBIGUOUS_SAME_BAR,46963.6,179.12857142857268,,,-5.9923438870723,,6.858760666719778,2.7042028869925723,True,-5.9923438870723
741,2022-04-04 12:15:00+00:00,1,2H,ADVERSE_FIRST,46182.1,149.15714285714265,2022-04-04 12:30:00+00:00,0.25,2.5221722057274536,3.022172205727471,7.294990901254669,4.782875203524583,True,2.5221722057274536
742,2022-04-05 00:15:00+00:00,1,2H,ADVERSE_FIRST,46558.3,197.40714285714265,2022-04-05 00:30:00+00:00,0.25,2.8615985816115814,3.3615985816115943,0.7775807793899491,3.1898541809892422,False,2.861598581611581
743,2022-04-05 12:30:00+00:00,1,2H,AMBIGUOUS_SAME_BAR,46874.5,148.5071428571412,,,-13.144822278870803,,17.001202443365127,0.5757298831225114,True,-13.144822278870803
744,2022-04-06 00:45:00+00:00,-1,2H,ADVERSE_FIRST,44980.0,265.1285714285711,2022-04-06 01:00:00+00:00,0.25,0.8890026402284508,1.3890026402284616,1.9077536505199768,1.3201142302925821,True,0.8890026402284508
745,2022-04-06 13:15:00+00:00,-1,2H,ACCEPT_FIRST,44882.4,250.19285714285692,2022-04-06 13:30:00+00:00,0.25,6.819938904273863,6.319938904273862,0.26619464984154523,8.782824678105476,False,6.819938904273863
746,2022-04-07 03:30:00+00:00,1,2H,ACCEPT_FIRST,43296.6,239.67142857142866,2022-04-07 04:45:00+00:00,1.25,-0.33796268701198057,-0.8379626870119752,1.2542170829111219,2.4675448530726642,False,-0.3379626870119805
747,2022-04-07 15:30:00+00:00,1,2H,ACCEPT_FIRST,43215.6,225.67857142857196,2022-04-07 15:45:00+00:00,0.25,1.5087830352903906,1.0087830352904055,0.18876404494381332,2.661750276942567,False,1.5087830352903906
748,2022-04-08 03:30:00+00:00,1,2H,ACCEPT_FIRST,43556.1,117.95714285714348,2022-04-08 03:45:00+00:00,0.25,0.6951677364660251,0.1951677364659943,7.020346372774566,3.4927939929756384,True,0.6951677364660251
749,2022-04-08 15:30:00+00:00,1,2H,ADVERSE_FIRST,43638.1,280.9214285714287,2022-04-08 16:45:00+00:00,1.25,-4.702382465864882,-4.202382465864886,5.567748989295423,0.3940603625823338,True,-4.702382465864882
750,2022-04-09 04:00:00+00:00,1,2H,ACCEPT_FIRST,42388.4,141.59285714285735,2022-04-09 04:15:00+00:00,0.25,-0.7726378449276184,-1.2726378449276001,1.683700751652129,1.7063007617413986,True,-0.7726378449276184
751,2022-04-09 16:45:00+00:00,1,2H,ACCEPT_FIRST,42434.3,113.0928571428589,2022-04-09 17:00:00+00:00,0.25,2.5501168445650575,2.0501168445650872,0.6127707951746515,4.013516074022497,False,2.550116844565057
752,2022-04-10 05:45:00+00:00,1,2H,ACCEPT_FIRST,42636.3,69.69999999999916,2022-04-10 06:00:00+00:00,0.25,6.281205164992839,5.781205164992854,3.1047345767575902,10.067431850789175,True,6.281205164992839
753,2022-04-10 18:00:00+00:00,-1,2H,ACCEPT_FIRST,43203.8,155.72857142857123,2022-04-10 18:30:00+00:00,0.5,6.0701770479772765,5.570177047977286,1.2560315567379061,9.977616732409903,False,6.0701770479772765
754,2022-04-11 07:30:00+00:00,1,2H,ACCEPT_FIRST,42249.4,103.28571428571429,2022-04-11 07:45:00+00:00,0.25,-22.252835408022143,-22.752835408022122,24.390594744121756,0.8626556016597369,True,-22.252835408022143
755,2022-04-11 19:30:00+00:00,-1,2H,ACCEPT_FIRST,39951.0,265.726428571429,2022-04-11 20:00:00+00:00,0.5,-0.49524618498616374,-0.9952461849861726,1.1308622993035247,3.0644298513240047,False,-0.4952461849861637
