SL,TP,hold,RR,N,pos_years,EV,PF,MaxDD_R,SumR,R_DD,Y2021,Y2022,Y2023,Y2024,Y2025
2.0,3.0,18,1.5,2409,2,-0.023604236072264386,0.960410996858036,118.14147228371652,-56.86260469808491,-0.4813094301172197,20.180354205955688,2.145286982368218,-22.619587390365837,-39.393246880693724,-17.17541161534926
2.0,3.0,24,1.5,2392,2,-0.020572060418897996,0.965924268974137,115.36147311869699,-49.20836852200401,-0.42655808036858933,22.329337321911055,4.461826054948915,-23.957187692145872,-38.636153860434,-13.406190346284092
2.0,4.0,6,2.0,2444,1,-0.019904527342440904,0.963724217806596,106.33736288658676,-48.64666482492557,-0.45747480945911057,24.559836377018506,-9.07446575878288,-15.407255076765951,-29.61113142060552,-19.113648945789834
2.0,4.0,12,2.0,2381,2,-0.0009687477538139784,0.9984106210334913,60.06100701307915,-2.3065884018310827,-0.03840409138209737,17.28074460875694,14.555349945088132,-2.84444987415222,-5.988444155352307,-25.309788926171688
2.0,4.0,18,2.0,2335,2,-0.005604722254396592,0.9912649009653296,80.41335767619768,-13.087026464016041,-0.16274692218068884,23.56108327913424,11.995091585850362,-6.839515326975596,-21.238313073356856,-20.565372928668214
2.0,4.0,24,2.0,2299,2,-0.005918577858534882,0.9909522556065944,86.27209858619992,-13.606810496771693,-0.1577197114682016,29.1121337086692,10.953159403332283,-9.034936116093416,-26.489326555403306,-18.147840937276506
2.0,6.0,6,3.0,2399,2,0.002654782391831916,1.0047405951276,83.42599674272338,6.368822958004766,0.07634098730214177,53.986079729136144,-6.694747919802406,-18.6839883188853,-34.787271078699575,12.548750546255977
2.0,6.0,12,3.0,2302,3,0.013406484884758412,1.0207916890258415,70.6971273545014,30.861728204713867,0.4365344018854091,39.05555052614588,-8.211877701085589,0.24468198278960696,-14.625703599251585,14.399076996115507
2.0,6.0,18,3.0,2201,2,0.017828652062980732,1.025959734667675,72.69174772985153,39.240863190620594,0.5398255567668238,44.201887735881826,-4.291345585081551,-8.301275006949226,-15.328821450108583,22.960417496878136
2.0,6.0,24,3.0,2138,2,0.031193124741060393,1.0443182815953111,82.90433174683875,66.69090069638712,0.8044320398123241,57.00192655718895,-2.7206892340084616,-14.983352119610462,-2.2355753137320344,29.628590806549166
2.0,8.0,6,4.0,2370,2,-0.0006387091470548019,0.9988720400799125,105.50823797128676,-1.5137406785198806,-0.014347132580603168,72.56941263752168,-19.98740583834169,-21.982782156293762,-41.01827980990984,8.905314488503706
2.0,8.0,12,4.0,2251,3,0.02493010918816336,1.0379622210163348,72.92617409316924,56.11767578255572,0.7695135043127415,58.44277760447993,-19.956626311052027,7.727707349309215,-17.69206559622304,27.59588273604174
