transition_time,destination,lag,window,seq_score,active_count,rank,top2
2020-01-20 00:00:00+00:00,PULLBACK,1,1,50.0,3.0,2.0,True
2020-01-20 00:00:00+00:00,PULLBACK,1,2,50.0,3.0,2.0,True
2020-01-20 00:00:00+00:00,PULLBACK,1,3,50.0,3.0,2.0,True
2020-01-20 00:00:00+00:00,PULLBACK,2,1,20.0,2.0,3.0,False
2020-01-20 00:00:00+00:00,PULLBACK,2,2,20.0,2.0,3.0,False
2020-01-20 00:00:00+00:00,PULLBACK,2,3,100.0,6.0,1.0,True
2020-01-20 00:00:00+00:00,PULLBACK,3,1,20.0,2.0,3.0,False
2020-01-20 00:00:00+00:00,PULLBACK,3,2,100.0,6.0,1.0,True
2020-01-20 00:00:00+00:00,PULLBACK,3,3,100.0,6.0,1.0,True
2020-01-23 08:00:00+00:00,RANGE,1,1,10.0,1.0,4.0,False
2020-01-23 08:00:00+00:00,RANGE,1,2,10.0,1.0,4.0,False
2020-01-23 08:00:00+00:00,RANGE,1,3,10.0,1.0,4.0,False
2020-01-23 08:00:00+00:00,RANGE,2,1,0.0,0.0,4.0,False
2020-01-23 08:00:00+00:00,RANGE,2,2,10.0,1.0,4.0,False
2020-01-23 08:00:00+00:00,RANGE,2,3,10.0,1.0,4.0,False
2020-01-23 08:00:00+00:00,RANGE,3,1,10.0,1.0,4.0,False
2020-01-23 08:00:00+00:00,RANGE,3,2,10.0,1.0,4.0,False
2020-01-23 08:00:00+00:00,RANGE,3,3,20.0,2.0,3.0,False
2020-01-28 08:00:00+00:00,EXPANSION,1,1,20.0,1.0,3.0,False
2020-01-28 08:00:00+00:00,EXPANSION,1,2,20.0,1.0,3.0,False
2020-01-28 08:00:00+00:00,EXPANSION,1,3,30.0,2.0,2.0,True
2020-01-28 08:00:00+00:00,EXPANSION,2,1,0.0,0.0,4.0,False
2020-01-28 08:00:00+00:00,EXPANSION,2,2,30.0,2.0,2.0,True
2020-01-28 08:00:00+00:00,EXPANSION,2,3,30.0,2.0,2.0,True
2020-01-28 08:00:00+00:00,EXPANSION,3,1,30.0,2.0,3.0,False
2020-01-28 08:00:00+00:00,EXPANSION,3,2,30.0,2.0,3.0,False
2020-01-28 08:00:00+00:00,EXPANSION,3,3,30.0,2.0,3.0,False
2020-01-31 08:00:00+00:00,PULLBACK,1,1,30.0,2.0,2.0,True
2020-01-31 08:00:00+00:00,PULLBACK,1,2,60.0,3.0,1.0,True
2020-01-31 08:00:00+00:00,PULLBACK,1,3,70.0,4.0,1.0,True
2020-01-31 08:00:00+00:00,PULLBACK,2,1,60.0,3.0,1.0,True
2020-01-31 08:00:00+00:00,PULLBACK,2,2,70.0,4.0,1.0,True
2020-01-31 08:00:00+00:00,PULLBACK,2,3,70.0,4.0,1.0,True
2020-01-31 08:00:00+00:00,PULLBACK,3,1,10.0,1.0,2.0,True
2020-01-31 08:00:00+00:00,PULLBACK,3,2,10.0,1.0,2.0,True
2020-01-31 08:00:00+00:00,PULLBACK,3,3,20.0,2.0,2.0,True
2020-02-04 16:00:00+00:00,RANGE,1,1,10.0,1.0,4.0,False
2020-02-04 16:00:00+00:00,RANGE,1,2,10.0,1.0,4.0,False
2020-02-04 16:00:00+00:00,RANGE,1,3,50.0,3.0,4.0,False
2020-02-04 16:00:00+00:00,RANGE,2,1,0.0,0.0,4.0,False
2020-02-04 16:00:00+00:00,RANGE,2,2,50.0,3.0,4.0,False
2020-02-04 16:00:00+00:00,RANGE,2,3,50.0,3.0,4.0,False
2020-02-04 16:00:00+00:00,RANGE,3,1,50.0,3.0,3.0,False
2020-02-04 16:00:00+00:00,RANGE,3,2,50.0,3.0,3.0,False
2020-02-04 16:00:00+00:00,RANGE,3,3,50.0,3.0,3.0,False
2020-02-05 16:00:00+00:00,EXPANSION,1,1,0.0,0.0,4.0,False
2020-02-05 16:00:00+00:00,EXPANSION,1,2,25.0,2.0,4.0,False
2020-02-05 16:00:00+00:00,EXPANSION,1,3,25.0,2.0,4.0,False
2020-02-05 16:00:00+00:00,EXPANSION,2,1,25.0,2.0,4.0,False
2020-02-05 16:00:00+00:00,EXPANSION,2,2,25.0,2.0,4.0,False
2020-02-05 16:00:00+00:00,EXPANSION,2,3,25.0,2.0,4.0,False
2020-02-05 16:00:00+00:00,EXPANSION,3,1,10.0,1.0,4.0,False
2020-02-05 16:00:00+00:00,EXPANSION,3,2,10.0,1.0,4.0,False
2020-02-05 16:00:00+00:00,EXPANSION,3,3,20.0,2.0,4.0,False
2020-02-08 00:00:00+00:00,PULLBACK,1,1,10.0,1.0,4.0,False
2020-02-08 00:00:00+00:00,PULLBACK,1,2,30.0,2.0,3.0,False
2020-02-08 00:00:00+00:00,PULLBACK,1,3,30.0,2.0,3.0,False
2020-02-08 00:00:00+00:00,PULLBACK,2,1,30.0,2.0,3.0,False
