R,signal_ts,entry_ts,exit_ts,side,exit_reason,confirm_age_min,confirm_z,max_adverse_atr,response_ratio,signal_z,signal_abs_z,signal_atr,signal_px,atr_pct,h1_state,h4_state,trend_relation,vol_regime,mins_since_prior_same_extreme,episode_role,z_bucket,confirm_speed,adverse_bucket,response_bucket,prior_extreme_gap,z_persistence,z_persistence_bucket,is_rapid30,is_highvol,is_z100_125,is_z125_200,is_z200_plus,toxic_any,risk_mult
1.3839270980524148,1776994200,1776994678,1776996253,1,PROTECTED_STOP,7.966666666666667,-1.483566946037734,0.4542633920227399,0.7165898601736179,-1.049441496522842,1.049441496522842,191.07857142857287,77987.8,0.002450108496823514,1,1,ALIGNED_WITH,MID_VOL,5.0,REPEAT_WITHIN_3H,1.00-1.25,5-15m,0.30-0.50,<0.75,<=30m,1.4136728449864848,1.00-1.50,True,False,True,False,False,True,1.0
0.07693355909101084,1777075200,1777076233,1777077565,-1,PROTECTED_STOP,17.216666666666665,1.428988258539379,0.575170915596466,0.5520995324771013,1.2390295706749859,1.2390295706749859,111.7928571428586,77395.4,0.0014444380046211868,-1,1,MIXED,LOW_VOL,5.0,REPEAT_WITHIN_3H,1.00-1.25,15-30m,0.50-0.75,<0.75,<=30m,1.1533124732122058,1.00-1.50,True,False,True,False,False,True,1.0
0.06951117648710979,1777179000,1777179080,1777179329,1,PROTECTED_STOP,1.3333333333333333,-1.1514909922382475,0.6013280658988501,0.5107632085441557,-1.1514909922382475,1.1514909922382475,84.9785714285733,77700.9,0.0010936626400540187,-1,1,MIXED,LOW_VOL,70.0,REPEAT_WITHIN_3H,1.00-1.25,<=5m,0.50-0.75,<0.75,30-90m,0.9999999999991315,0.75-1.00,False,False,True,False,False,False,1.0
0.0889374842460462,1777268100,1777268108,1777268428,-1,PROTECTED_STOP,0.13333333333333333,1.1518947830317618,0.0,304793267.4716161,1.1518947830317618,1.1518947830317618,234.25714285714432,77815.5,0.003010417498533638,1,1,ALIGNED_COUNTER,MID_VOL,640.0,FIRST_OR_RESET,1.00-1.25,<=5m,<=0.15,2.00+,>180m,0.9999999999991318,0.75-1.00,False,False,True,False,False,False,1.0
0.08018590193927855,1777335000,1777335060,1777336984,1,PROTECTED_STOP,1.0,-1.2269828747222609,0.19978046103183472,1.534615376933652,-1.2269828747222609,1.2269828747222609,130.14285714285612,77320.0,0.0016831719754637367,-1,1,MIXED,LOW_VOL,525.0,FIRST_OR_RESET,1.00-1.25,<=5m,0.15-0.30,1.00-2.00,>180m,0.9999999999991849,0.75-1.00,False,False,True,False,False,False,1.0
-1.0200772542633045,1777427400,1777427422,1777429771,1,SL,0.36666666666666664,-1.0026536143490432,0.20834503285224776,2.320754705842135,-1.0026536143490432,1.0026536143490432,127.19285714285797,76571.8,0.0016610926887295058,-1,-1,ALIGNED_COUNTER,LOW_VOL,5.0,REPEAT_WITHIN_3H,1.00-1.25,<=5m,0.15-0.30,2.00+,<=30m,0.9999999999990026,0.75-1.00,True,False,True,False,False,True,1.0
0.07973750355096233,1777594800,1777594946,1777597196,-1,PROTECTED_STOP,2.433333333333333,1.078265294242201,0.11135730924379351,2.7285714040694105,1.078265294242201,1.078265294242201,125.72142857142795,76461.1,0.0016442534644600711,-1,-1,ALIGNED_WITH,LOW_VOL,1360.0,FIRST_OR_RESET,1.00-1.25,<=5m,<=0.15,2.00+,>180m,0.9999999999990725,0.75-1.00,False,False,True,False,False,False,1.0
-1.020031696746944,1777683300,1777683854,1777690336,-1,SL,9.233333333333333,0.9332793151714215,0.09600087772230861,3.767999960749661,1.0348357381032753,1.0348357381032753,130.20714285714556,78295.2,0.001663028421373795,1,1,ALIGNED_COUNTER,LOW_VOL,1375.0,FIRST_OR_RESET,1.00-1.25,5-15m,<=0.15,2.00+,>180m,0.9018622770809056,0.75-1.00,False,False,True,False,False,False,1.0
-1.0151388315584047,1777767300,1777767947,1777770111,1,SL,10.783333333333333,-1.844795472657407,0.4992982745810719,0.6562499986855553,-1.1281522508378248,1.1281522508378248,173.04285714285965,78533.3,0.002203432902257509,1,1,ALIGNED_WITH,MID_VOL,195.0,FIRST_OR_RESET,1.00-1.25,5-15m,0.30-0.50,<0.75,>180m,1.63523626468478,1.50+,False,False,True,False,False,False,1.0
0.08998734240776396,1777876200,1777877131,1777878011,1,PROTECTED_STOP,15.516666666666667,-0.7864371598078571,0.2858449453919214,1.2727272682749378,-1.224958565662518,1.224958565662518,265.5285714285689,79671.5,0.0033327924217388767,1,1,ALIGNED_WITH,HIGH_VOL,5.0,REPEAT_WITHIN_3H,1.00-1.25,15-30m,0.15-0.30,1.00-2.00,<=30m,0.6420112335651705,0.50-0.75,True,True,True,False,False,True,1.0
