flow_id,signal_time,side,frozen_signed12_atr,signal_close,atr14,level,distance_atr,distance_bin,oi_logchg_3h,oi_backed,touch_time,class_time,state,class_price,residual_atr,oi_flush,oi_flush_logchg
1033,2022-09-26 06:15:00+00:00,-1,-5.557027713370847,18744.0,64.69285714285745,18621.0,1.9012918184829324,1-2,0.028518562605155395,True,,,NO_TOUCH,,,,
1034,2022-09-26 18:15:00+00:00,-1,-13.232692307692252,19103.5,89.14285714285741,18671.0,4.851762820512806,>2,-0.018700714333789392,False,,,NO_TOUCH,,,,
1035,2022-09-27 06:15:00+00:00,1,-10.167352240744814,20283.1,131.97142857142768,20296.1,0.09850617016670342,<=0.5,0.025977625458967424,True,2022-09-27 06:15:00+00:00,2022-09-27 07:00:00+00:00,REJECT,20174.0,-9.34065815111503,False,0.021207596493891145
1036,2022-09-27 18:15:00+00:00,-1,0.8144534778681121,18941.3,197.67857142857142,18850.1,0.4613550135501392,<=0.5,-0.0786359036774531,False,2022-09-27 18:15:00+00:00,2022-09-27 19:00:00+00:00,REJECT,19153.0,1.8853839205058756,True,-0.05472701017895254
1037,2022-09-28 09:00:00+00:00,1,11.701747791768376,18633.9,76.01428571428629,19228.3,7.819582785190666,>2,0.01388488596207793,True,2022-09-28 14:15:00+00:00,2022-09-28 14:15:00+00:00,ACCEPT,19288.0,3.096786318361206,False,0.015079193469764718
1038,2022-09-28 21:00:00+00:00,1,-0.918310540965766,19523.4,118.04285714285677,19667.0,1.2165073217959494,1-2,0.0022126451925590374,True,2022-09-28 21:15:00+00:00,2022-09-28 21:15:00+00:00,ACCEPT,19701.0,-2.422848844245439,False,0.0032748850418347075
1039,2022-09-29 09:00:00+00:00,-1,-0.6942148760330794,19415.0,81.24285714285672,19259.4,1.9152452962897757,1-2,-0.014872559816328845,False,2022-09-29 12:30:00+00:00,2022-09-29 12:30:00+00:00,ACCEPT,19215.6,-3.148584490944311,True,-0.018355770238512648
1040,2022-09-29 21:00:00+00:00,1,0.8636076349386816,19471.4,113.0142857142855,19648.8,1.5697130577676488,1-2,-0.0035344743531329215,False,2022-09-30 00:30:00+00:00,2022-09-30 01:15:00+00:00,REJECT,19450.0,1.0529642270256625,True,-0.013428819362308886
1041,2022-09-30 09:00:00+00:00,1,-2.6594474243497763,19569.0,70.57857142857132,19698.6,1.8362513915595409,1-2,0.04348992377582306,True,2022-09-30 14:30:00+00:00,2022-09-30 14:30:00+00:00,ACCEPT,19782.5,-5.6844448942414925,False,0.08989930159721027
1042,2022-09-30 21:00:00+00:00,-1,0.4419333046735664,19381.3,116.30714285714306,19066.0,2.7109255051280368,>2,-0.0757748639036091,False,,,NO_TOUCH,,,,
