flow_id,signal_time,side,origin,entry,atr14,extension_parent_reaccept_time,extension_time,residual_atr,failure_time,origin_reclaim_time,full_reaccept_time,extra_bad_closes_before_reaccept,accept_time,recon_failure_time,recon_reaccept_time,cycle_count,bad_closes,signal_to_accept_h,accept_to_failure_h,failure_to_origin_reclaim_h,failure_to_full_reaccept_h,reaccept_to_extension_h,signal_to_extension_h,accept_to_extension_h,cycle_count_accept_to_extension,origin_bad_close_count_accept_to_extension,clock_order_valid,failure_parity,reaccept_parity
153,2021-03-21 17:15:00+00:00,1,57192.15,57331.75607142857,279.21214285714296,2021-03-22 03:15:00+00:00,2021-03-22 03:30:00+00:00,-0.1471001312366122,2021-03-22 00:30:00+00:00,2021-03-22 03:00:00+00:00,2021-03-22 03:15:00+00:00,9,2021-03-21 17:30:00+00:00,2021-03-22 00:30:00+00:00,2021-03-22 03:15:00+00:00,1.0,11.0,0.25,7.0,2.5,2.75,0.25,10.25,10.0,1.0,11.0,True,True,True
154,2021-03-22 05:15:00+00:00,1,57430.29,57559.50785714286,258.4357142857147,2021-03-22 10:00:00+00:00,2021-03-22 10:15:00+00:00,-3.080053066526633,2021-03-22 08:45:00+00:00,2021-03-22 09:45:00+00:00,2021-03-22 10:00:00+00:00,3,2021-03-22 05:30:00+00:00,2021-03-22 08:45:00+00:00,2021-03-22 10:00:00+00:00,1.0,5.0,0.25,3.25,1.0,1.25,0.25,5.0,4.75,1.0,5.0,True,True,True
161,2021-03-25 20:15:00+00:00,-1,52248.29,52028.72535714286,439.129285714285,2021-03-25 22:45:00+00:00,2021-03-25 23:00:00+00:00,-4.180384559704999,2021-03-25 21:45:00+00:00,2021-03-25 22:30:00+00:00,2021-03-25 22:45:00+00:00,2,2021-03-25 20:30:00+00:00,2021-03-25 21:45:00+00:00,2021-03-25 22:45:00+00:00,1.0,4.0,0.25,1.25,0.75,1.0,0.25,2.75,2.5,1.0,4.0,True,True,True
164,2021-03-27 13:00:00+00:00,1,54276.77,54409.97785714285,266.41571428571376,2021-03-27 13:45:00+00:00,2021-03-27 14:00:00+00:00,5.13143261605122,2021-03-27 13:30:00+00:00,2021-03-27 13:45:00+00:00,2021-03-27 13:45:00+00:00,0,2021-03-27 13:15:00+00:00,,,0.0,1.0,0.25,0.25,0.25,0.25,0.25,1.0,0.75,0.0,1.0,True,False,False
169,2021-03-30 17:30:00+00:00,-1,58857.37,58758.319285714286,198.10142857142844,2021-03-30 20:00:00+00:00,2021-03-30 20:15:00+00:00,0.2707126940744547,2021-03-30 18:15:00+00:00,2021-03-30 19:00:00+00:00,2021-03-30 20:00:00+00:00,5,2021-03-30 17:45:00+00:00,2021-03-30 18:15:00+00:00,2021-03-30 20:00:00+00:00,1.0,7.0,0.25,0.5,0.75,1.75,0.25,2.75,2.5,1.0,7.0,True,True,True
173,2021-04-01 19:00:00+00:00,-1,58931.24,58788.08892857143,286.30214285714254,2021-04-01 21:15:00+00:00,2021-04-01 21:30:00+00:00,-3.746364355338878,2021-04-01 20:00:00+00:00,2021-04-01 21:00:00+00:00,2021-04-01 21:15:00+00:00,3,2021-04-01 19:15:00+00:00,2021-04-01 20:00:00+00:00,2021-04-01 21:15:00+00:00,1.0,5.0,0.25,0.75,1.0,1.25,0.25,2.5,2.25,1.0,5.0,True,True,True
176,2021-04-03 08:45:00+00:00,-1,59113.87,58995.82607142857,236.08785714285736,2021-04-03 15:45:00+00:00,2021-04-03 16:00:00+00:00,3.230924928068533,2021-04-03 09:15:00+00:00,2021-04-03 15:15:00+00:00,2021-04-03 15:45:00+00:00,24,2021-04-03 09:00:00+00:00,2021-04-03 09:30:00+00:00,2021-04-03 15:45:00+00:00,1.0,25.0,0.25,0.25,6.0,6.5,0.25,7.25,7.0,1.0,25.0,True,False,True
184,2021-04-07 18:30:00+00:00,-1,56220.26,56038.30464285715,363.9107142857128,2021-04-07 23:45:00+00:00,2021-04-08 00:00:00+00:00,-3.5036635752490355,2021-04-07 21:30:00+00:00,2021-04-07 23:45:00+00:00,2021-04-07 23:45:00+00:00,8,2021-04-07 18:45:00+00:00,2021-04-07 21:30:00+00:00,2021-04-07 23:45:00+00:00,1.0,11.0,0.25,2.75,2.25,2.25,0.25,5.5,5.25,1.0,11.0,True,True,True
199,2021-04-16 21:15:00+00:00,1,61828.39,61961.56357142857,266.3471428571419,2021-04-17 01:30:00+00:00,2021-04-17 02:00:00+00:00,-0.9585878794054828,2021-04-16 22:00:00+00:00,2021-04-16 22:30:00+00:00,2021-04-17 01:30:00+00:00,11,2021-04-16 21:30:00+00:00,2021-04-16 22:00:00+00:00,2021-04-17 01:30:00+00:00,1.0,13.0,0.25,0.5,0.5,3.5,0.5,4.75,4.5,1.0,13.0,True,True,True
203,2021-04-19 00:45:00+00:00,1,56753.21,56965.58321428571,424.7464285714278,2021-04-19 02:30:00+00:00,2021-04-19 03:45:00+00:00,-1.4180847396345655,2021-04-19 02:00:00+00:00,2021-04-19 02:15:00+00:00,2021-04-19 02:30:00+00:00,0,2021-04-19 01:00:00+00:00,2021-04-19 02:00:00+00:00,2021-04-19 02:30:00+00:00,1.0,2.0,0.25,1.0,0.25,0.5,1.25,3.0,2.75,1.0,2.0,True,True,True
