impulse_dir,btc_z15,btc_z60,btc_z4h,btc_z24h,btc_vol_z,btc_range_z,btc_corr7d_lag,hour_sin,hour_cos,event_i,event_time,split,event_open,event_high,event_low,event_close,common_exit,parent_family,raw_24h,cont_24h,rev_24h,p_cont,p_rev,router_conf,router_side,source_row,filled,fill_time,signal_net_R,gross_R,cost_R,outcome,stop_frac,episode_7d,prior_virtual_fills,vf1_mature,real_R,real_fill
-1.0,0.10913474459373511,-0.5389506226038077,-3.0019810367265243,-1.667665175096333,-0.16912352878132386,-0.5364753865012548,-0.048434138176392666,0.06540312923014312,-0.9978589232386035,89641,2023-07-24 11:45:00+00:00,DEV_2021_2024,29828.0,29832.54,29000.0,29269.99,29128.29,H4_DISPLACEMENT_EXTREME,-0.004841135921126116,0.004841135921126116,-0.004841135921126116,0.15835855698469092,0.4512440346007097,0.4512440346007097,REV,153,False,,0.0,0.0,0.0,NO_FILL,,20,0,False,0.0,False
-1.0,-1.4283792358023784,-1.1393840389688805,-3.4178216579641094,-1.7670130211420423,0.5548797373873618,0.9147532604054678,0.2851682747002726,-0.8968727415326885,0.442288690219001,93321,2023-08-31 19:45:00+00:00,DEV_2021_2024,26922.01,26924.87,25928.0,26162.79,25645.66,H4_DISPLACEMENT_EXTREME,-0.019765858304867323,0.019765858304867323,-0.019765858304867323,0.34101778229229485,0.40786747058868217,0.40786747058868217,REV,161,False,,0.0,0.0,0.0,NO_FILL,,21,0,False,0.0,False
-1.0,-1.4532315575476846,0.28932816275387646,-2.698552419742296,-2.243260493817783,0.9047313356018282,0.5646799938432722,0.03288710521016692,-0.8968727415326885,0.442288690219001,100521,2023-11-14 19:45:00+00:00,DEV_2021_2024,36147.09,36417.23,34800.0,35293.99,37499.99,H4_DISPLACEMENT_EXTREME,0.06250325834419446,-0.06250325834419446,0.06250325834419446,0.2701597803428737,0.359718004404747,0.359718004404747,REV,176,False,,0.0,0.0,0.0,NO_FILL,,22,0,False,0.0,False
-1.0,-3.586399901819848,-3.6326992489533567,-3.622894449236123,-2.150127409635908,1.95419587557713,2.249559307906576,0.0062885642767969005,-0.0654031292301428,0.9978589232386035,101209,2023-11-21 23:45:00+00:00,DEV_2021_2024,36979.99,37170.0,35735.0,35741.65,37408.34,H4_DISPLACEMENT_EXTREME,0.046631590875071405,-0.046631590875071405,0.046631590875071405,0.25229986167460683,0.3233482749101118,0.3233482749101118,REV,178,False,,0.0,0.0,0.0,NO_FILL,,23,0,False,0.0,False
-1.0,-0.685440282455522,0.1275742953016341,-3.1311499331766544,-1.4407313116705518,0.9839298682043188,0.3440903296658189,-0.07474918235466306,-0.8314696123025452,-0.5555702330196022,109241,2024-02-13 15:45:00+00:00,DEV_2021_2024,49988.12,49996.0,48400.0,48727.47,51590.0,H4_DISPLACEMENT_EXTREME,0.05874571366007708,-0.05874571366007708,0.05874571366007708,0.19814490223236872,0.3482520391306673,0.3482520391306673,REV,191,False,,0.0,0.0,0.0,NO_FILL,,24,0,False,0.0,False
-1.0,0.24445471185673884,-0.6146795353509522,-3.0855994055875438,-1.8422119652036395,0.24367918976685365,-0.2050404539357852,0.08302081807174601,0.8314696123025451,0.5555702330196024,113897,2024-04-02 03:45:00+00:00,DEV_2021_2024,69649.81,69674.23,66000.0,66703.97,66225.79,H4_DISPLACEMENT_EXTREME,-0.007168688760204378,0.007168688760204378,-0.007168688760204378,0.25485039118254743,0.466872309769328,0.466872309769328,REV,204,False,,0.0,0.0,0.0,NO_FILL,,25,0,False,0.0,False
-1.0,-1.111452575126978,0.8154663121333128,-2.773862497680816,-1.6595270314844337,1.430480329709739,0.2919556267940351,-0.007655402174787855,-0.8968727415326885,0.442288690219001,114921,2024-04-12 19:45:00+00:00,DEV_2021_2024,69347.3,69580.0,65086.86,66843.98,64788.01,H4_DISPLACEMENT_EXTREME,-0.030757743629269196,0.030757743629269196,-0.030757743629269196,0.2822696000009213,0.3181545833629184,0.3181545833629184,REV,205,False,,0.0,0.0,0.0,NO_FILL,,26,0,False,0.0,False
-1.0,-1.1377172510931646,-5.138898400264968,-3.6587548421479363,-3.313090418238358,2.3400772467917537,1.6167604401265203,0.06073972435264814,0.8968727415326884,-0.44228869021900113,116697,2024-05-01 07:45:00+00:00,DEV_2021_2024,60246.02,60361.09,57100.0,57499.99,57681.08,H4_DISPLACEMENT_EXTREME,0.0031492173913043597,-0.0031492173913043597,0.0031492173913043597,0.27157561036236527,0.3884181492368982,0.3884181492368982,REV,209,False,,0.0,0.0,0.0,NO_FILL,,27,0,False,0.0,False
-1.0,-0.19980982039093767,-0.3014014756809036,-2.9841760950216605,-0.5972710768784103,0.9519404599201379,0.3446823615845738,-0.006628057410039732,-0.8314696123025452,-0.5555702330196022,117593,2024-05-10 15:45:00+00:00,DEV_2021_2024,63299.63,63469.13,60690.0,60928.02,61174.18,H4_DISPLACEMENT_EXTREME,0.004040177245214993,-0.004040177245214993,0.004040177245214993,0.20219092937649008,0.33886328373723845,0.33886328373723845,REV,211,False,,0.0,0.0,0.0,NO_FILL,,28,0,False,0.0,False
-1.0,-1.3260264739287526,0.3132990464396496,-3.1968288586150617,-1.0267609234493515,0.8870621975061125,0.0772486673811985,0.011786020608837855,-0.8968727415326885,0.442288690219001,120297,2024-06-07 19:45:00+00:00,DEV_2021_2024,71111.55,71208.89,68420.0,69255.0,69460.01,H4_DISPLACEMENT_EXTREME,0.0029600746574147685,-0.0029600746574147685,0.0029600746574147685,0.2442760965973255,0.33824626843168637,0.33824626843168637,REV,214,False,,0.0,0.0,0.0,NO_FILL,,29,0,False,0.0,False
