impulse_dir,btc_z15,btc_z60,btc_z4h,btc_z24h,btc_vol_z,btc_range_z,btc_corr7d_lag,hour_sin,hour_cos,event_i,event_time,split,event_open,event_high,event_low,event_close,common_exit,parent_family,raw_24h,cont_24h,rev_24h
-1.0,0.5026527763306822,1.2646652227447672,-3.591768755736843,-1.7310669276845747,0.7700216775321983,1.4450010787486098,0.005019394734202554,-0.8968727415326885,0.442288690219001,149385,2025-04-06 19:45:00+00:00,BRIDGE_2025,82548.36,82554.15,78694.99,79614.35,78130.44,H4_DISPLACEMENT_EXTREME,-0.018638602040788044,0.018638602040788044,-0.018638602040788044
-1.0,-0.5464594436272995,0.8354489254175075,-3.2137263012935207,-4.1774441394589,1.1493460671387319,0.5396280584211878,-0.028315064090744642,0.8968727415326884,-0.44228869021900113,149433,2025-04-07 07:45:00+00:00,BRIDGE_2025,77707.78,77984.0,74508.0,75126.01,79496.0,H4_DISPLACEMENT_EXTREME,0.05816880199014962,-0.05816880199014962,0.05816880199014962
1.0,-0.9714957144104662,2.010159378797508,3.2432881052009446,-0.8499648560750743,0.93201077236199,0.10330173652711268,-0.04158542773047976,0.8968727415326884,-0.44228869021900113,149625,2025-04-09 07:45:00+00:00,BRIDGE_2025,75073.34,77979.3,75000.0,77694.12,81595.81,H4_DISPLACEMENT_EXTREME,0.05021860084135077,0.05021860084135077,-0.05021860084135077
1.0,0.10418782438969808,1.150811074536415,5.822233625467473,2.906266056912145,2.6086599332591067,0.17180716694789958,-0.019368028124066468,-0.8968727415326885,0.442288690219001,149673,2025-04-09 19:45:00+00:00,BRIDGE_2025,77258.01,82990.0,77136.0,82332.08,79649.34,H4_DISPLACEMENT_EXTREME,-0.032584382661047906,-0.032584382661047906,0.032584382661047906
-1.0,-2.061908283878029,-5.663151718933859,-3.5280150166406203,0.6966427518314259,2.8338252222933584,1.528125616419502,0.007532152529027034,-0.8314696123025452,-0.5555702330196022,149753,2025-04-10 15:45:00+00:00,BRIDGE_2025,81882.0,82466.35,78606.06,78757.0,82521.74,H4_DISPLACEMENT_EXTREME,0.04779878015024397,-0.04779878015024397,0.04779878015024397
1.0,3.3838227450085876,1.3028884838491686,3.464154999306842,1.484551493106445,2.719146847260893,3.774138908611284,-0.047526268692498534,-0.0654031292301428,0.9978589232386035,153433,2025-05-18 23:45:00+00:00,BRIDGE_2025,103883.98,106660.0,103285.71,106454.26,105573.74,H4_DISPLACEMENT_EXTREME,-0.008271438994415181,-0.008271438994415181,0.008271438994415181
-1.0,-1.138244306466638,-2.85313002477864,-4.17032866184374,-0.24081945533480423,1.568432575991682,1.0066502566840827,-0.04165999924585965,0.8314696123025451,0.5555702330196024,153449,2025-05-19 03:45:00+00:00,BRIDGE_2025,106454.27,107108.62,103534.47,103605.88,105761.92,H4_DISPLACEMENT_EXTREME,0.020809818745843645,-0.020809818745843645,0.020809818745843645
1.0,0.3270812643275948,-0.14435741842962954,3.0189442784645353,1.6261464953584541,2.2687705192933025,2.148430089984123,0.01992349707530828,-0.8314696123025452,-0.5555702330196022,153689,2025-05-21 15:45:00+00:00,BRIDGE_2025,106546.43,109458.0,106329.47,108973.35,111290.86,H4_DISPLACEMENT_EXTREME,0.02126685297523223,0.02126685297523223,-0.02126685297523223
-1.0,-1.4510962575123107,-2.758924282728918,-3.491473146134446,-1.9677735708782882,0.9855662761998041,0.3650617352650729,-0.029654910682939073,-0.8968727415326885,0.442288690219001,155145,2025-06-05 19:45:00+00:00,BRIDGE_2025,104531.5,104598.87,101596.62,101914.77,104219.8,H4_DISPLACEMENT_EXTREME,0.02261733236677399,-0.02261733236677399,0.02261733236677399
1.0,0.09986020137834455,1.4201263502522148,2.8649035264628324,1.2752468160394055,1.4868858361521051,-0.20265386185325251,0.03757928174424927,0.06540312923014312,-0.9978589232386035,155497,2025-06-09 11:45:00+00:00,BRIDGE_2025,105560.71,107806.0,105473.57,107759.21,109541.28,H4_DISPLACEMENT_EXTREME,0.0165375191596151,0.0165375191596151,-0.0165375191596151
-1.0,-2.14191168875818,-2.0732548502982318,-5.426946766901985,-2.8570215504661793,2.1266782232823593,1.945746134682609,-0.0015829384595524366,-0.8314696123025452,-0.5555702330196022,156761,2025-06-22 15:45:00+00:00,BRIDGE_2025,102739.47,102831.0,98889.35,98906.21,101420.7,H4_DISPLACEMENT_EXTREME,0.025422973946731764,-0.025422973946731764,0.025422973946731764
1.0,0.7342253885089206,-0.02071486160026793,2.994431245073125,-0.5656289492322253,0.12584200491034495,0.2714306058816167,-0.0015480523773958154,-0.0654031292301428,0.9978589232386035,156793,2025-06-22 23:45:00+00:00,BRIDGE_2025,98882.85,101034.65,98200.0,100963.87,105333.93,H4_DISPLACEMENT_EXTREME,0.043283404251441615,0.043283404251441615,-0.043283404251441615
1.0,2.2935965893465897,0.6418454691492066,2.4214650868590244,2.927935420199723,0.8294715750476744,1.777451690916916,0.00961335258258319,-0.8968727415326885,0.442288690219001,156873,2025-06-23 19:45:00+00:00,BRIDGE_2025,101420.71,103300.0,99613.33,103161.29,105643.19,H4_DISPLACEMENT_EXTREME,0.024058343584270503,0.024058343584270503,-0.024058343584270503
