split,state_feature,state,horizon,n,cont_win_rate,cont_mean,cont_ci_lo,cont_ci_hi,cont_median,rev_mean
BRIDGE_2025,paxg_state,INVERSE,4h,62,0.4838709677419355,0.0007491698702843314,-0.0033202702036958603,0.004838528169685517,-0.0004192717361477527,-0.0007491698702843314
BRIDGE_2025,paxg_state,NEUTRAL,4h,114,0.5526315789473685,0.0016063529683528375,-0.0007887363359733737,0.003946854299652492,0.0006081806224906283,-0.0016063529683528375
BRIDGE_2025,paxg_state,ALL,4h,301,0.53156146179402,0.0011693814192365716,-0.0005937218393382266,0.00290305989953762,0.0006413592233009968,-0.0011693814192365716
OOS_2026,paxg_state,ALIGNED,4h,119,0.42016806722689076,-0.0005777168058847673,-0.0033093132093361265,0.0023123489514820044,-0.0023409501422831935,0.0005777168058847673
OOS_2026,paxg_state,INVERSE,4h,25,0.48,0.0009148683694359061,-0.004437747398165873,0.007274744245400178,-0.0029548071419256416,-0.0009148683694359061
OOS_2026,paxg_state,NEUTRAL,4h,59,0.4745762711864407,-0.0008403636863996991,-0.0036987121806505486,0.0021426323519865556,-0.0006577380952380585,0.0008403636863996991
OOS_2026,paxg_state,ALL,4h,203,0.4433497536945813,-0.00047023669045306355,-0.0022802867202924865,0.0014976737874639408,-0.0016788825314221212,0.00047023669045306355
DEV_2021_2024,paxg_state,ALIGNED,24h,648,0.48919753086419754,0.0024481645980122587,-0.00041730064936500324,0.005354889046008193,-0.00042231660545083427,-0.0024481645980122587
DEV_2021_2024,paxg_state,INVERSE,24h,160,0.4625,-0.0015061634395035447,-0.008084228088030278,0.005397778569652372,-0.0034524751772918583,0.0015061634395035447
DEV_2021_2024,paxg_state,NEUTRAL,24h,347,0.46397694524495675,-0.0026242600541960155,-0.006712182594642733,0.0016627306753480408,-0.0038341834529265206,0.0026242600541960155
DEV_2021_2024,paxg_state,ALL,24h,1155,0.4779220779220779,0.0003764556453552895,-0.0020117642048193885,0.0025398270669710825,-0.001620985202328784,-0.0003764556453552895
BRIDGE_2025,paxg_state,ALIGNED,24h,125,0.464,-0.0026726360366100366,-0.0072984000333642576,0.001960324120310052,-0.0013180591119723584,0.0026726360366100366
BRIDGE_2025,paxg_state,INVERSE,24h,62,0.5483870967741935,-0.001066390583082057,-0.0073064533805190755,0.005287115737598814,0.0018566827758382254,0.001066390583082057
BRIDGE_2025,paxg_state,NEUTRAL,24h,114,0.5,0.0005949943967526987,-0.003616941493783788,0.004828338102882945,-0.0003820661399004388,-0.0005949943967526987
BRIDGE_2025,paxg_state,ALL,24h,301,0.4950166112956811,-0.0011042071744104135,-0.004062271826190663,0.0017731523412789503,-0.0008208734726172784,0.0011042071744104135
OOS_2026,paxg_state,ALIGNED,24h,119,0.5126050420168067,0.0005231871919242105,-0.005163862466649013,0.005925535670456288,0.001606169477872288,-0.0005231871919242105
OOS_2026,paxg_state,INVERSE,24h,25,0.4,0.00293432833959288,-0.007184326001536503,0.01460774957326123,-0.0036269690118382325,-0.00293432833959288
OOS_2026,paxg_state,NEUTRAL,24h,59,0.6440677966101694,0.011098532853697924,0.0032112646263454296,0.019287764315744225,0.009647986057781721,-0.011098532853697924
OOS_2026,paxg_state,ALL,24h,203,0.5369458128078818,0.003893748387669855,-0.0001359972720866387,0.008211388033863886,0.002178064843000871,-0.003893748387669855
DEV_2021_2024,paxg_pre_state,ALIGNED_LEAD,15m,332,0.46686746987951805,8.53637302907923e-05,-0.0007105898808055665,0.000838303106415384,-0.00044613208687238615,-8.53637302907923e-05
DEV_2021_2024,paxg_pre_state,INVERSE_LEAD,15m,319,0.46394984326018807,0.00025932753407030166,-0.00046698029534392784,0.0009655049281258435,-0.0004015518577193955,-0.00025932753407030166
