time,ratio,delta,q20,q80,ratio_reported,longAccount,shortAccount,p_lo,p_hi,r_lo,r_hi,cell_width,cell_valid,delta_lo,delta_hi,delta_mid,side_arc,recovered_side,recovered_label,certain,certain_correct,short_arc,buy_arc,short_pred,buy_pred,nearest_threshold_dist
2026-09-03 18:30:00+00:00,0.80445343,-0.10087751,-0.04114807800000011,0.037381454000000126,0.8044,0.4458,0.5542,0.44575,0.44584999999999997,0.8042399639152007,0.8045655508436343,0.0003255869284336521,True,-0.10142940244973486,-0.1007407271405516,-0.10108506479514323,1,1.0,CERTAIN_BUY,True,True,False,True,False,True,0.059729431999999895
2026-09-03 18:45:00+00:00,0.80429095,-0.08154173000000009,-0.041171062000000036,0.037349181999999974,0.8044,0.4458,0.5542,0.44575,0.44584999999999997,0.8042399639152007,0.8045655508436343,0.0003255869284336521,True,-0.08166291208668519,-0.08098172925441416,-0.08132232067054967,1,1.0,CERTAIN_BUY,True,True,False,True,False,True,0.040370668000000054
2026-09-03 19:00:00+00:00,0.81750292,-0.03332172,-0.041232309999999994,0.037349181999999974,0.8175,0.4498,0.5502,0.44975,0.44984999999999997,0.817355747387551,0.8176860856130146,0.00033033822546357783,True,-0.03363916237644715,-0.03296626934210711,-0.03330271585927713,0,0.0,CERTAIN_NEUTRAL,True,True,False,False,False,False,0.007910589999999995
2026-09-03 19:15:00+00:00,0.8057619,-0.021101399999999937,-0.041232309999999994,0.037349181999999974,0.8057,0.4462,0.5538,0.44615000000000005,0.44625,0.8055430170623816,0.8058690744920993,0.0003260574297176966,True,-0.0214415449180696,-0.020781761200658,-0.0211116530593638,0,0.0,CERTAIN_NEUTRAL,True,True,False,False,False,False,0.020130910000000057
2026-09-03 19:30:00+00:00,0.80291822,-0.022142070000000014,-0.041232309999999994,0.037349181999999974,0.8028,0.4453,0.5547,0.44525000000000003,0.44534999999999997,0.8026137899954936,0.8029387902280716,0.0003250002325779766,True,-0.02270335885911967,-0.02204524116165385,-0.02237430001038676,0,0.0,CERTAIN_NEUTRAL,True,True,False,False,False,False,0.01909023999999998
2026-09-03 19:45:00+00:00,0.81020198,-0.014131950000000004,-0.041232309999999994,0.037349181999999974,0.8103,0.4476,0.5524,0.44755,0.44765,0.8101185627658611,0.8104462750067891,0.0003277122409279798,True,-0.014532472723601364,-0.013871886080504714,-0.014202179402053039,0,0.0,CERTAIN_NEUTRAL,True,True,False,False,False,False,0.02710035999999999
2026-09-03 20:00:00+00:00,0.8082944,-0.014723609999999998,-0.041232309999999994,0.037349181999999974,0.8083,0.447,0.553,0.44695,0.44704999999999995,0.8081547780490009,0.8084817795460709,0.0003270014970699897,True,-0.015165488155757911,-0.01450609758454624,-0.014835792870152076,0,0.0,CERTAIN_NEUTRAL,True,True,False,False,False,False,0.026508699999999996
2026-09-03 20:15:00+00:00,0.80505532,-0.013134380000000001,-0.041232309999999994,0.037349181999999974,0.8051,0.446,0.554,0.44595,0.44604999999999995,0.8048912553018682,0.8052170773535516,0.00032582205168341094,True,-0.013455867163810309,-0.012799466596998488,-0.013127666880404398,0,0.0,CERTAIN_NEUTRAL,True,True,False,False,False,False,0.028097929999999993
2026-09-03 20:30:00+00:00,0.80291822,-0.015000319999999956,-0.041232309999999994,0.037349181999999974,0.8028,0.4453,0.5547,0.44525000000000003,0.44534999999999997,0.8026137899954936,0.8029387902280716,0.0003250002325779766,True,-0.015402753955056192,-0.014747295384943238,-0.015075024669999715,0,0.0,CERTAIN_NEUTRAL,True,True,False,False,False,False,0.02623199000000004
2026-09-03 20:45:00+00:00,0.80103083,-0.013557820000000054,-0.041171062000000036,0.037349181999999974,0.8012,0.4448,0.5552,0.44475,0.44484999999999997,0.8009905447996397,0.8013149599207421,0.0003244151211023727,True,-0.01372681297188727,-0.013073137693337622,-0.013399975332612446,0,0.0,CERTAIN_NEUTRAL,True,True,False,False,False,False,0.027613241999999982
2026-09-03 21:00:00+00:00,0.79540176,-0.017466450000000022,-0.04114807800000011,0.037349181999999974,0.7953,0.443,0.557,0.44295,0.44304999999999994,0.7951709900368009,0.7954933117874134,0.0003223217506125309,True,-0.01790126089239863,-0.017250275632146095,-0.017575768262272362,0,0.0,CERTAIN_NEUTRAL,True,True,False,False,False,False,0.023681628000000086
2026-09-03 21:15:00+00:00,0.79390361,-0.012029430000000008,-0.04112280600000004,0.037349181999999974,0.794,0.4426,0.5574,0.44255,0.44265,0.7938828594492779,0.7942047187584103,0.00032185930913231076,True,-0.012312390257215311,-0.01166435573368918,-0.011988372995452246,0,0.0,CERTAIN_NEUTRAL,True,True,False,False,False,False,0.029093376000000032
2026-09-03 21:30:00+00:00,0.806676,0.0022225699999999238,-0.04110114200000003,0.037349181999999974,0.8067,0.4465,0.5535,0.44645,0.44655,0.8065215427693976,0.8068479537446924,0.0003264109752948441,True,0.001955991925763234,0.0026079898294917303,0.002281990877627482,0,0.0,CERTAIN_NEUTRAL,True,True,False,False,False,False,0.03512661200000005
2026-09-03 21:45:00+00:00,0.80342876,-0.0008621899999999849,-0.04108773000000014,0.037349181999999974,0.8034,0.4455,0.5545,0.44545,0.44555,0.803263907672888,0.8035891423933628,0.000325234720474743,True,-0.001301643170746325,-0.0006508215218379299,-0.0009762323462921274,0,0.0,CERTAIN_NEUTRAL,True,True,False,False,False,False,0.03821137199999996
2026-09-03 22:00:00+00:00,0.79374926,-0.02375366000000001,-0.041084412000000015,0.037349181999999974,0.7937,0.4425,0.5575,0.44245,0.44255,0.793561115595014,0.7938828594492779,0.00032174385426397833,True,-0.024124970018000624,-0.023472887938273068,-0.023798928978136846,0,0.0,CERTAIN_NEUTRAL,True,True,False,False,False,False,0.017330752000000005
