time,ratio,ratio_reported,longAccount,shortAccount,p_lo,p_hi,r_lo,r_hi,cell_width,cell_valid,archive_inside_cell
2026-08-25 04:15:00+00:00,0.85378203,0.8539,0.4606,0.5394,0.46055,0.46065,0.8537399202891834,0.8540836191712247,0.00034369888204122123,True,True
2026-08-25 04:20:00+00:00,0.85280242,0.8529,0.4603,0.5397,0.46025000000000005,0.46035,0.8527095877721169,0.853052904660428,0.0003433168883111293,True,True
2026-08-25 04:25:00+00:00,0.85576018,0.8556,0.4611,0.5389,0.46105,0.46114999999999995,0.8554596901382318,0.8558040270947386,0.00034433695650681884,True,True
2026-08-25 04:30:00+00:00,0.85474316,0.8546,0.4608,0.5392,0.46075,0.46085,0.8544274455261938,0.8547713994250208,0.00034395389882702077,True,True
2026-08-25 04:35:00+00:00,0.86540954,0.8653,0.4639,0.5361,0.46385,0.46395,0.8651496782616804,0.8654976214905326,0.00034794322885212114,True,True
2026-08-25 04:40:00+00:00,0.86614182,0.866,0.4641,0.5359,0.46405,0.46414999999999995,0.86584569456106,0.8661938975459549,0.00034820298489490753,True,True
2026-08-25 04:45:00+00:00,0.86755811,0.8674,0.4645,0.5355,0.46445000000000003,0.46455,0.8672392867145926,0.8675880100849753,0.0003487233703827197,True,True
2026-08-25 04:50:00+00:00,0.869799,0.8699,0.4652,0.5348,0.46515,0.46524999999999994,0.8696830887164625,0.8700327255726973,0.0003496368562347918,True,True
2026-08-25 04:55:00+00:00,0.86976177,0.8699,0.4652,0.5348,0.46515,0.46524999999999994,0.8696830887164625,0.8700327255726973,0.0003496368562347918,True,True
2026-08-25 05:00:00+00:00,0.87636481,0.8765,0.4671,0.5329,0.46705,0.46714999999999995,0.8763486255746318,0.8767007600638077,0.00035213448917592594,True,True
2026-08-25 05:05:00+00:00,0.88171276,0.8818,0.4686,0.5314,0.46855,0.46865,0.881644557343118,0.8819986826009222,0.00035412525780420534,True,True
2026-08-25 05:10:00+00:00,0.8835502,0.8836,0.4691,0.5309,0.46905,0.46914999999999996,0.883416517562859,0.8837713101629461,0.0003547926000870838,True,True
2026-08-25 05:15:00+00:00,0.88523494,0.8854,0.4696,0.5304,0.46955,0.46965,0.8851918182675088,0.8855472800980485,0.00035546183053969393,True,True
2026-08-25 05:20:00+00:00,0.88549669,0.8854,0.4696,0.5304,0.46955,0.46965,0.8851918182675088,0.8855472800980485,0.00035546183053969393,True,True
2026-08-25 05:25:00+00:00,0.89053747,0.8904,0.471,0.529,0.47095,0.47104999999999997,0.8901805122389187,0.8905378580206067,0.000357345781688001,True,True
2026-08-25 05:30:00+00:00,0.89008534,0.89,0.4709,0.5291,0.47085,0.47095,0.8898233015213077,0.8901805122389187,0.00035721071761096734,True,True
2026-08-25 05:35:00+00:00,0.89021368,0.8904,0.471,0.529,0.47095,0.47104999999999997,0.8901805122389187,0.8905378580206067,0.000357345781688001,True,True
2026-08-25 05:40:00+00:00,0.88676344,0.8868,0.47,0.53,0.46995,0.47004999999999997,0.8866144703329873,0.8869704689121614,0.00035599857917401057,True,True
2026-08-25 05:45:00+00:00,0.88435888,0.8843,0.4693,0.5307,0.46925000000000006,0.46935,0.8841262364578428,0.8844812965231319,0.0003550600652890701,True,True
2026-08-25 05:50:00+00:00,0.88357016,0.8836,0.4691,0.5309,0.46905,0.46914999999999996,0.883416517562859,0.8837713101629461,0.0003547926000870838,True,True
2026-08-25 05:55:00+00:00,0.88182886,0.8818,0.4686,0.5314,0.46855,0.46865,0.881644557343118,0.8819986826009222,0.00035412525780420534,True,True
2026-08-25 06:00:00+00:00,0.88005173,0.8801,0.4681,0.5319,0.46805,0.46814999999999996,0.8798759281887397,0.880229387985334,0.00035345979659429094,True,True
2026-08-25 06:05:00+00:00,0.87799175,0.8779,0.4675,0.5325,0.46745000000000003,0.46755,0.8777579569993429,0.8781106207155602,0.0003526637162173385,True,True
2026-08-25 06:10:00+00:00,0.87742597,0.8776,0.4674,0.5326,0.46735000000000004,0.46745,0.8774054257016805,0.8777579569993426,0.00035253129766210645,True,True
2026-08-25 06:15:00+00:00,0.877407,0.8776,0.4674,0.5326,0.46735000000000004,0.46745,0.8774054257016805,0.8777579569993426,0.00035253129766210645,True,True
2026-08-25 06:20:00+00:00,0.8759989,0.8762,0.467,0.533,0.46695000000000003,0.46704999999999997,0.8759966232060783,0.8763486255746317,0.0003520023685533724,True,True
2026-08-25 06:25:00+00:00,0.87323511,0.8734,0.4662,0.5338,0.46615,0.46624999999999994,0.8731853516905499,0.8735362997658077,0.00035094807525781757,True,True
2026-08-25 06:30:00+00:00,0.86887774,0.8688,0.4649,0.5351,0.46485,0.46495,0.8686349621601419,0.86898420708345,0.00034924492330812296,True,True
2026-08-25 06:35:00+00:00,0.86393786,0.8639,0.4635,0.5365,0.46345000000000003,0.46355,0.8637592023110615,0.8641066268990587,0.00034742458799719156,True,True
2026-08-25 06:40:00+00:00,0.86371268,0.8636,0.4634,0.5366,0.46335000000000004,0.46345,0.8634119072020872,0.8637592023110612,0.0003472951089740217,True,True
2026-08-25 06:45:00+00:00,0.86205621,0.8622,0.463,0.537,0.46295000000000003,0.46304999999999996,0.8620240201098595,0.8623707980258868,0.0003467779160273299,True,True
2026-08-25 06:50:00+00:00,0.85819663,0.858,0.4618,0.5382,0.46175,0.46185,0.8578727357176034,0.8582179689677598,0.00034523325015645145,True,True
2026-08-25 06:55:00+00:00,0.85789851,0.858,0.4618,0.5382,0.46175,0.46185,0.8578727357176034,0.8582179689677598,0.00034523325015645145,True,True
2026-08-25 07:00:00+00:00,0.86243628,0.8625,0.4631,0.5369,0.46305,0.46314999999999995,0.8623707980258869,0.8627177051317871,0.00034690710590024043,True,True
