source_index,parent_time,signal_time,fill_time,real_fill,real_R,episode_7d,ret_24h,ret_72h,ret_7d,range_pos_7d,range_pos_30d,rv_ratio_24h_7d,range_ratio_24h_7d,parent_range_pct,parent_body_frac,parent_reclaim_frac,router_conf,child_latency_h,child_parent_range_ratio,prior_virtual_fills,episode_age_h,parent_bin,response_bin,parent_class,vf_class
63,2022-08-27 07:45:00+00:00,2022-08-27 10:15:00+00:00,2022-08-27 11:00:00+00:00,True,-1.1568488959726293,25,-0.0564199073047152,-0.0540601652651138,-0.0456396925047561,0.1444747474747481,0.0540621243848418,1.4684770582176596,0.993318181818182,0.0176290248985682,0.1903296211315693,0.9856455313671694,0.3875928520826897,2.5,0.1799485141865832,1.0,14.25,1P5_2,MID,LARGE,VF1
64,2022-08-27 15:45:00+00:00,2022-08-27 16:45:00+00:00,,False,0.0,25,-0.0347487496839223,-0.0789772855466162,-0.0581509450664528,0.0965095238095229,0.0374529689613621,1.0167569055225842,0.4656047619047621,0.0221260466848472,0.5290484593457272,0.4012488122709389,0.322973858805032,1.0,0.2817067101036159,2.0,20.75,2_3,HIGH,LARGE,VF2PLUS
65,2022-09-06 23:45:00+00:00,2022-09-07 00:45:00+00:00,2022-09-07 01:30:00+00:00,False,0.0,26,-0.0630764324777709,-0.0491829018507832,-0.0564682871890753,0.0997560432276198,0.0279800847631982,1.488655652230371,0.8315665936788574,0.0250385697962972,0.069863333970964,0.2999001041467442,0.3225893602368502,1.0,0.230355586728731,0.0,0.0,2_3,MID,LARGE,VF1
66,2022-09-07 03:45:00+00:00,2022-09-07 05:15:00+00:00,2022-09-07 05:45:00+00:00,True,1.3027211639654743,26,-0.0506644371239101,-0.0509457326868496,-0.0775854400628272,0.1305659271534881,0.0385669833073401,1.4583119941558609,0.7680006871359062,0.0193322788777248,0.1235099337748408,0.6486754966887404,0.4043468713618851,1.5,0.1310982339955813,1.0,4.5,1P5_2,LOW,LARGE,VF1
68,2022-10-10 23:45:00+00:00,2022-10-11 00:30:00+00:00,2022-10-11 00:45:00+00:00,False,0.0,27,-0.021775726812208,-0.0260550233483534,-0.0279288941615843,0.0605053147889496,0.1960830469375263,0.973661357359096,0.3770450953776753,0.0136886775835294,0.3044026117835783,0.4262094772614427,0.3695652823966094,0.75,0.1756080797281366,0.0,0.0,1_1P5,MID,COMPACT,VF1
69,2022-10-11 03:45:00+00:00,2022-10-11 04:00:00+00:00,2022-10-11 04:15:00+00:00,True,1.3325225514331007,27,-0.019023740080875,-0.0220374928039427,-0.0247033183661178,0.083482514639441,0.2035814098805483,0.9987987257310084,0.3455694791441262,0.0096357314408073,0.4747970137866951,0.5162116505912602,0.4753453020575121,0.25,0.3099013677728842,1.0,3.5,LT1,HIGH,COMPACT,VF1
70,2022-11-21 23:45:00+00:00,2022-11-22 00:15:00+00:00,2022-11-22 00:45:00+00:00,False,0.0,28,-0.0180527005680929,-0.0457891643395127,-0.04254115513938,0.2715275307622277,0.0750052043000006,1.5231441209101233,0.5082324002676816,0.0265339525476054,0.1427616181878986,0.7290681568515094,0.3924682747583956,0.5,0.2661317285188914,0.0,0.0,2_3,HIGH,LARGE,VF1
71,2022-12-07 11:45:00+00:00,2022-12-07 13:15:00+00:00,,False,0.0,29,-0.0092211416013179,-0.0054649001150814,-0.0019425870758733,0.2321778326312684,0.2540416983626415,1.014795651458895,0.6216361246008941,0.009400183049301,0.1916888382110897,0.7250728493602011,0.3152484836247357,1.5,0.2654884074496431,0.0,0.0,LT1,HIGH,COMPACT,VF1
72,2022-12-19 19:45:00+00:00,2022-12-19 20:45:00+00:00,,False,0.0,30,-0.0094550953087928,-0.0161723933150711,-0.030571406379302,0.0502987333705085,0.3858960490393032,0.6294416620633262,0.1902652752330111,0.0119493299604851,0.5686195218116411,0.2564828388009966,0.3630164080153772,1.0,0.1549310013647957,0.0,0.0,1_1P5,MID,COMPACT,VF1
73,2022-12-30 07:45:00+00:00,2022-12-30 08:15:00+00:00,,False,0.0,31,-0.0033335227952977,-0.0229616545052547,-0.0206011536788665,0.0991670191052353,0.1063167030234798,0.9788372632095204,0.4328742437894178,0.0113111254493948,0.6646632680440115,0.2464716930507145,0.3913032113290691,0.5,0.1402736785618439,0.0,0.0,1_1P5,LOW,COMPACT,VF1
