signal_ts,entry_ts,exit_ts,side,entry_price,atr,rejection_ts,rejection_minute,rejection_close,action_minute,action_close,anchor_high,anchor_low,early_R,original_R,delta_R,saved_R,given_up_R,original_exit_ts,original_exit_reason,mfe_15m,mae_15m,ret_15m,mfe_30m,mae_30m,ret_30m,mfe_60m,mae_60m,ret_60m,mfe_120m,mae_120m,ret_120m,period
1614819600,1614819900,1614820380,-1,50750.48,446.27357142857153,1614820200,5,50977.76,8,51330.19,50946.78,50750.48,-0.8697916274930642,-1.0037906852992686,0.13399905780620447,0.13399905780620447,0.0,1614820500,INITIAL_STOP,0.033454815511946394,1.9013449469655788,-1.5263731567600274,0.033454815511946394,2.064563216348701,-1.8688312582128392,0.033454815511946394,2.064563216348701,-1.761990963262432,0.033454815511946394,2.351741324587889,-0.5619423063687685,historical
1614949800,1614950100,1614951000,-1,47846.29,304.68785714285644,1614950820,12,48060.0,15,48114.29,47972.93,47827.98,-0.5916269348255724,-1.0052344597789051,0.41360752495333275,0.41360752495333275,0.0,1614953100,INITIAL_STOP,0.2736571151271831,0.9115886750608958,-0.8795887125700093,1.7518912798343975,0.9906203772948039,-0.7059684032604765,1.7518912798343975,1.5022259314567843,-1.1936806520959322,1.7518912798343975,2.966019087450158,-1.7104390207308269,historical
1617008400,1617008700,1617009000,1,57266.51,303.01285714285666,1617008820,2,57105.7,5,57119.91,57459.05,57167.51,-0.3288382477876914,1.493700321218486,-1.8225385690061775,0.0,1.8225385690061775,1617011700,PROFIT_STOP,0.026632533272986085,0.9224361059643944,-0.7059766440839573,0.5164467325761696,0.9224361059643944,0.011484661188337844,3.342927457109312,0.9224361059643944,1.9025265311702908,3.685223163562131,0.9224361059643944,2.230169394037964,historical
1617250500,1617250800,1617251460,1,59291.12,198.317142857143,1617251280,8,59186.0,11,59148.01,59316.34,59200.45,-0.4910469963934647,-1.0099657076447948,0.51891871125133,0.51891871125133,0.0,1617252900,INITIAL_STOP,0.17083747532810467,0.7569693564420751,-0.48614052527699064,0.17083747532810467,1.1860295918514303,-1.089416663064946,0.17083747532810467,2.9806802956303864,-2.543703447580348,0.17083747532810467,2.9806802956303864,-1.4124346285170957,historical
1617440400,1617440700,1617441420,-1,58969.9,236.08785714285736,1617441240,9,59176.16,12,59228.05,59166.78,58922.44,-0.737291893957963,-1.0083259823572532,0.2710340883992902,0.2710340883992902,0.0,1617442800,INITIAL_STOP,0.2960762185990141,1.1652441736278492,-0.9840828021045499,0.2960762185990141,1.3960480813740486,-1.3134517113786173,0.2960762185990141,2.7719765341594975,-2.4024107248209647,0.2960762185990141,3.518012362225914,-2.2722473171307147,historical
1617447600,1617448200,1617449160,1,59549.95,272.1050000000001,1617448980,13,59441.49,16,59407.57,59560.2,59487.53,-0.356130899223945,-1.0072949719164808,0.6511640726925358,0.6511640726925358,0.0,1617462300,INITIAL_STOP,0.07364804027857212,0.48492309953877016,-0.46335054482642524,0.07364804027857212,0.7348266294261298,-0.19591701732786115,0.07364804027857212,1.139082339538035,-0.5547858363499351,0.07364804027857212,1.139082339538035,-0.7884823873137046,historical
1617603000,1617603600,1617604200,-1,57030.57,234.23000000000008,1617604020,7,57164.99,10,57190.0,57076.44,56956.07,-0.46188654598756274,-1.0081160355206449,0.5462294895330821,0.5462294895330821,0.0,1617606600,INITIAL_STOP,0.7619433889766516,1.0896554668488372,-0.603936301925454,0.7619433889766516,1.430858557827782,-1.136276309610218,0.7619433889766516,1.6657558809716866,-0.8344789309652866,0.7619433889766516,1.6657558809716866,-0.7686035093711258,historical
1617753600,1617753900,1617754200,-1,58001.28,195.51071428571387,1617754020,2,58088.35,5,58152.14,58076.44,58001.27,-0.5243022598932011,-1.0098888493506126,0.4855865894574115,0.4855865894574115,0.0,1617754500,INITIAL_STOP,0.006546955775161661,1.5351076850008492,-1.0410682644356422,0.006546955775161661,1.5351076850008492,-0.29159527245493677,2.563951555450011,1.5351076850008492,1.8996401366384859,3.8658750890524884,1.5351076850008492,1.4576183256306565,historical
1617774900,1617775500,1617776520,1,58565.1,266.7178571428573,1617776340,14,58262.33,17,58114.85,58720.0,58314.93,-1.1327281941413025,-1.007319232468766,-0.12540896167253646,0.0,0.12540896167253646,1617776700,INITIAL_STOP,0.25258901193075506,1.45322103346232,-1.267706645599264,0.25258901193075506,2.381167900804749,-0.9414442763219499,0.25258901193075506,2.8394049356596693,-2.687859027061773,0.25258901193075506,3.993358417803717,-2.8333685944216014,historical
1617963600,1617964200,1617965040,1,58611.0,209.25571428571337,1617964860,11,58519.95,14,58470.37,58700.0,58521.66,-0.45736879234110284,-1.009336423651162,0.5519676313100591,0.5519676313100591,0.0,1617976800,INITIAL_STOP,0.3297400992633771,0.6790734508018175,-0.38981014343353004,0.46832651779436163,0.8888646154056252,0.42536472804976616,1.2377200827422414,0.8888646154056252,1.0063763406358468,1.6200274442070266,0.8888646154056252,-0.36964343011625705,historical
